"","title","author","subject","abstract","meta"
"42","Coherent feedback for quantum expander in gravitational wave observatories","Niels Böttner, Joe Bentley, Roman Schnabel, Mikhail Korobko","Instrumentation and Detectors (physics.ins-det)","The observation of gravitational waves from binary neutron star mergers offers insights into properties of extreme nuclear matter. However, their high-frequency signals in the kHz range are often masked by quantum noise of the laser light used. Here, we propose the ""quantum expander with coherent feedback"", a new detector design that features an additional optical cavity in the detector output and an internal squeeze operation. This approach allows to boost the sensitivity at high frequencies, at the same time providing a compact and tunable design for signal extraction. It allows to tailor the sensitivity of the detector to the specific signal frequency range. We demonstrate that our design allows to improve the sensitivity of the high-frequency detector concept NEMO (neutron star extreme matter observatory), increasing the detection rates by around 15%. Our approach promises new level of flexibility in designing the detectors aiming at high-frequency signals.","Wed, 6 Mar 2024 14:48:13 UTC (1,459 KB)"
"43","Don't forget the electrons: extending moderately-sized nuclear networks for multidimensional hydrodynamic codes","Domingo García-Senz, Rubén M. Cabezón, Moritz Reichert, Axel Sanz, José A. Escartín, Athanasios Psaltis, Almudena Arcones, Friedrich-Karl Thielemann","Solar and Stellar Astrophysics (astro-ph.SR)","We present here an extended nuclear network, with 90 species, designed for being coupled with hydrodynamic simulations, which includes neutrons, protons, electrons, positrons, and the corresponding neutrino and anti-neutrino emission. This network is also coupled with temperature, making it extremely robust and, together with its size, unique of its kind. The inclusion of electron captures on free protons makes the network very appropriate for multidimensional studies of Type Ia supernova explosions, especially when the exploding object is a massive white dwarf. The results obtained with the proposed medium-sized network compare fairly well, to a few percent, with those computed with the extended network WinNet (> 2000 isotopes) in scenarios reproducing the gross physical conditions of current Type Ia supernova explosion models. In those cases where the carbon and oxygen fuel ignites at high density, the high-temperature plateau typical of the nuclear statistical equilibrium regime is well defined and stable, allowing large integration time steps. We show that the inclusion of electron captures on free protons substantially improves the estimation of the electron fraction of the mixture. Therefore, the pressure is better determined than in networks where electron captures are excluded, which will ultimately lead to more reliable hydrodynamic models. Explosive combustion of helium at low density, occurring near the surface layer of a white dwarf, is also better described with the proposed network, which gives nuclear energy generation rates much closer to WinNet than typical reduced alpha networks.","Wed, 6 Mar 2024 14:33:51 UTC (6,386 KB)"
"44","Nuclear magnetism in the deformed halo nucleus $^{31}$Ne","Cong Pan, Kaiyuan Zhang, Shuangquan Zhang","Nuclear Theory (nucl-th)","Based on the point-coupling density functional, the time-odd deformed relativistic Hartree-Bogoliubov theory in continuum (TODRHBc) is developed. Then the effects of nuclear magnetism on halo phenomenon are explored by taking the experimentally suggested deformed halo nucleus $^{31}$Ne as an example. For $^{31}$Ne, nuclear magnetism contributes 0.09 MeV to total binding energy, and the breaking of Kramers degeneracy results in 0-0.2 MeV splitting in canonical single-particle spectra. The blocked neutron level has a dominant component of $p$ wave and it is marginally bound. However, if we ignore nuclear magnetism, the level becomes unbound. This shows a subtle mechanism that nuclear magnetism changes the single-particle energies, causing a nucleus to become bound. Based on the TODRHBc results, a prolate one-neutron halo is formed around the near-spherical core in $^{31}$Ne. The nucleon current is mostly contributed by the halo rather than the core, except near the center of the nucleus. A layered structure in the neutron current distribution is observed and studied in detail.","Wed, 6 Mar 2024 13:57:52 UTC (427 KB)"
"45","The double-peaked type I X-ray bursts with different mass accretion rate and fuel composition","Liyu Song, Helei Liu, Chunhua Zhu, Guoqing Zhen, Guoliang Lv, Renxin Xu","High Energy Astrophysical Phenomena (astro-ph.HE)","Using the MESA code, we have carried out a detailed survey of the available parameter space for the double-peaked type I X-ray bursts. We find that the double-peaked structure appears at mass accretion rate $\dot{M}$ in the range of $\sim(4-8)\times10^{-10}\,M_{\odot}/{\rm yr}$ when metallicity $Z=0.01$, while in the range of $\sim(4-8)\times10^{-9}\,M_{\odot}/\rm{yr}$ when $Z=0.05$. Calculations of the metallicity impact suggest that the double peaks will disappear when $Z\lesssim0.005$ for $\dot{M}=5\times10^{-10}\,M_{\odot}/\rm{yr}$ and $Z\lesssim0.04$ for $\dot{M}=5\times10^{-9}\,M_{\odot}/\rm{yr}$. Besides, the impacts of base heating $Q_{\rm b}$, as well as nuclear reaction waiting points: $^{22}\rm{Mg}$, $^{26}\rm{Si}$, $^{30}\rm{S}$, $^{34}\rm{Ar}$, $^{56}{\rm Ni}$, $^{60}\rm Zn$, $^{64}\rm{Ge}$, $^{68}\rm{Se}$, $^{72}\rm{Kr}$ have been explored. The luminosity of the two peaks decreases as $Q_{\rm b}$ increases. $^{68}{\rm Se}(p,\gamma){^{69}{\rm Br}}$ is the most sensitive reaction, the double peaks disappear assuming that $^{56}{\rm Ni}(p,\gamma)^{57}{\rm Cu}$ and $^{64}{\rm Ge}(p,\gamma)^{65}{\rm As}$ reaction rates have been underestimated by a factor of 100 and the $^{22}{\rm Mg}(\alpha,p)^{25}{\rm Al}$ reaction rate has been overestimated by a factor of 100, which indicates that $^{22}{\rm Mg}$, $^{56}{\rm Ni}$, $^{64}{\rm Ge}$, $^{68}{\rm Se}$ are possibly the most important nuclear waiting points impedance. Comparisons to the double-peaked bursts from 4U 1636-53 and 4U 1730-22 suggest that the nuclear origins of double-peaked type I X-ray bursts are difficult to explain the observed larger peak times ($t_{\rm p,1}\gtrsim4\,{\rm s}$, $t_{\rm p,2}\gtrsim8\,{\rm s}$) and smaller peak ratio($r_{1,2}\lesssim0.5$). The composition of ashes from double-peaked bursts is very different from the single-peaked bursts especially for the heavier p-nuclei.","Wed, 6 Mar 2024 13:27:00 UTC (688 KB)"
"46","Controlling volume fluctuations for studies of critical phenomena in nuclear collisions","Romain Holzmann, Volker Koch, Anar Rustamov, Joachim Stroth","Nuclear Theory (nucl-th)","We generalize and extend the recently proposed method to account for contributions of system size (or volume/participant) fluctuations to the experimentally measured moments of particle multiplicity distributions. We find that in the general case there are additional biases which are not directly accessible to experiment. These biases are, however, parametrically suppressed if the multiplicity of the particles of interest is small compared to the total charged-particle multiplicity, e.g., in the case of proton number fluctuations at top RHIC and LHC energies. They are also small if the multiplicity distribution of charged particles per wounded nucleon is close to the Poissonian limit, which is the case at low energy nuclear collisions, e.g., at GSI/SIS18. We further find that mixed events are not necessarily needed to extract the correction for volume fluctuations, albeit it can help if event statistics is small, which is typically the case for reconstructing the higher-order cumulants. We provide the formulas to correct pure and mixed cumulants of particle multiplicity distributions up to any order together with their associated biases.","Wed, 6 Mar 2024 10:35:21 UTC (962 KB)"
"47","Neutron radius determination of 133Cs and constraint on the weak mixing angle","Y. Huang, S. Y. Xia, Y. F. Li, X. L. Tu, J. T. Zhang, C. J. Shao, K. Yue, P. Ma, Y. F. Niu, Z. P. Li, Y. Kuang, X. Q. Liu, J. F. Han, P.Egelhof, Yu. A. Litvinov, M. Wang, Y. H. Zhang, X. H. Zhou, Z. Y. Sun","Nuclear Experiment (nucl-ex)","Proton-$^{133}$Cs elastic scattering at low momentum transfer is performed using an in-ring reaction technique at the Cooler Storage Ring at the Heavy Ion Research Facility in Lanzhou. Recoil protons from the elastic collisions between the internal H$_2$-gas target and the circulating $^{133}$Cs ions at 199.4 MeV/u are detected by a silicon-strip detector. The matter radius of $^{133}$Cs is deduced by describing the measured differential cross sections using the Glauber model. Employing the adopted proton distribution radius, a point-neutron radius of 4.86(21) fm for $^{133}$Cs is obtained. With the newly determined neutron radius, the weak mixing angle sin$^2 \theta_W$ is independently extracted to be 0.227(28) by fitting the coherent elastic neutrino-nucleus scattering data. This work limits the sin$^2 \theta_W$ value in a range smaller than the ones proposed by the previous independent approaches.","Wed, 6 Mar 2024 09:23:08 UTC (289 KB)"
"48","Mass and decay width of $T_{ccs}$ from symmetries","Mitsuru Tanaka, Yasuhiro Yamaguchi, Masayasu Harada","High Energy Physics - Phenomenology (hep-ph)","We analyze the mass and width of the doubly heavy tetraquark $T_{ccs}$ composed of a heavy diquark and a light quark cloud with strangeness with assuming that a color anti-triplet heavy diquark is a dominant component of the doubly charmed tetraquarks $T_{cc}$ and $T_{ccs}$. We construct an effective Lagrangian for masses of heavy hadrons based on the superflavor symmetry between the doubly heavy tetraquarks and the singly heavy baryons with including the terms which simultaneously break the heavy-quark and light flavor symmetries, and predict the mass of $T_{ccs}$ as $M(T_{ccs}) = 4057\pm40$\,MeV. The comparison of this prediction with future experimental observation will give a clue to understand the color structure of the heavy diquark. We also predict the spin-averaged mass of $\Omega_{cc}$ ($J^P = 1/2^+, 3/2^+)$ as $M(\Omega_{cc}) = 3760\pm 18\,$MeV. We next calculate the decay width of $T_{ccs}$, based on solely the light flavor symmetry, as $\Gamma(T_{ccs}) = 1.2\pm 0.3$\,MeV.","Wed, 6 Mar 2024 08:50:15 UTC (81 KB)"
"49","Scalable ATLAS pMSSM computational workflows using containerised REANA reusable analysis platform","Marco Donadoni, Matthew Feickert, Lukas Heinrich, Yang Liu, Audrius Mečionis, Vladyslav Moisieienkov, Tibor Šimko, Giordon Stark, Marco Vidal García","Distributed, Parallel, and Cluster Computing (cs.DC)","In this paper we describe the development of a streamlined framework for large-scale ATLAS pMSSM reinterpretations of LHC Run-2 analyses using containerised computational workflows. The project is looking to assess the global coverage of BSM physics and requires running O(5k) computational workflows representing pMSSM model points. Following ATLAS Analysis Preservation policies, many analyses have been preserved as containerised Yadage workflows, and after validation were added to a curated selection for the pMSSM study. To run the workflows at scale, we utilised the REANA reusable analysis platform. We describe how the REANA platform was enhanced to ensure the best concurrent throughput by internal service scheduling changes. We discuss the scalability of the approach on Kubernetes clusters from 500 to 5000 cores. Finally, we demonstrate a possibility of using additional ad-hoc public cloud infrastructure resources by running the same workflows on the Google Cloud Platform.","Wed, 6 Mar 2024 06:40:06 UTC (2,066 KB)"
"50","Parameterized Post-Tolman-Oppenheimer-Volkoff Framework for Screened Modified Gravity with an Application to the Secondary Component of GW190814","Christopher Reyes, Jeremy Sakstein","General Relativity and Quantum Cosmology (gr-qc)","The secondary component of GW190814 has mass in the range $2.5$--$2.67{\rm M}_\odot$, placing it within the lower mass gap separating neutron stars from black holes. According to the predictions of general relativity and state-of-the-art nuclear equations of state, this object is too heavy to be a neutron star.~In this work, we explore the possibility that this object is a neutron star under the hypothesis that general relativity is modified to include screening mechanisms, and that the neutron star formed in an unscreened environment. We introduce a set of parameterized-post-Tolman-Oppenheimer-Volkoff (post-TOV) equations appropriate for screened modified gravity whose free parameters are environment-dependent. We find that it is possible that the GW190814 secondary could be a neutron star that formed in an unscreened environment for a range of reasonable post-TOV parameters.","Wed, 6 Mar 2024 01:46:25 UTC (176 KB)"
"51","Microscopic description of hexadecapole collectivity in even-even rare-earth nuclei around $N=90$","L. Lotina, K. Nomura","Nuclear Theory (nucl-th)","We present an extensive study of hexadecapole correlations in the rare-earth region around $N=90$ and the effects these correlations have on various nuclear properties, such as the low-energy spectra, as well as quadrupole, hexadecapole and monopole transition strengths. In order to examine hexadecapole correlations, we employ a mapped $sdg$ interacting boson model, with parameters derived from a self-consistent mean-field calculations with a relativistic energy density functional. We apply this model to even-even isotopes of Nd, Sm, Gd, Dy and Er ($Z=60 - 68$) with the neutron number $N=84-96$. The obtained results show a good agreement with the experiment. By comparing the results with the ones obtained from a simpler mapped $sd$ interacting boson model, we show that the inclusion of hexadecapole, $g$ boson is necessary to improve the results of the $J^{\pi} \geq 6^{+}$ yrast energies in the nuclei with $N=84$ and 86, being near the neutron shell closure. The $sdg$ interacting boson model increases the quadrupole transition strengths between yrast states in the $N=90$ and 92 well deformed nuclei, which is in good agreement with the experiment for most of those isotopes. The presence of $g$ bosons does have an important effect on hexadecapole transition strengths, although experimental data for such transitions are limited. The obtained monopole transition strengths do not differ significantly from the ones obtained from the simpler $sd$ model.","Wed, 6 Mar 2024 01:04:03 UTC (3,014 KB)"
"52","Quark Counting, Drell-Yan West, and the Pion Wave Function","Mary Alberg, Gerald A. Miller","High Energy Physics - Phenomenology (hep-ph)","The relation between the pion's quark distribution function, $q(x)$, its light-front wave function, and the elastic charge form factor, $F(\Delta^2)$ is explored. The square of the leading-twist pion wave function at a special probe scale, $\zeta_H$, is determined using models and Poincare covariance from realistic results for $q(x)$. This wave function is then used to compute form factors with the result that the Drell-Yan-West and quark counting relationships are not satisfied. A new relationship between $q(x)$ and $F(\Delta^2)$ is proposed.","Tue, 5 Mar 2024 22:50:07 UTC (73 KB)"
"53","QCD critical point and hydrodynamic fluctuations in relativistic fluids","Mikhail Stephanov","Nuclear Theory (nucl-th)","These lecture notes consist of two major connected parts. The first part (Sections 1, 2), after a brief historical introduction, deals with the physics of critical points in thermodynamic equilibrium. The features of the fluctuations relevant for the QCD critical point search are highlighted. The second part (Sections 3, 4) focuses on the recent developments in the description of the fluctuation dynamics especially relevant for the QCD critical point search in heavy-ion collisions.","Tue, 5 Mar 2024 19:00:07 UTC (582 KB)"
"54","Dynamical tidal response of non-rotating relativistic stars","Abhishek Hegade K. R., Justin L. Ripley, Nicolás Yunes","General Relativity and Quantum Cosmology (gr-qc)","Accurately modeling the tidal response of neutron stars is crucial to connecting gravitational wave observations of binaries to ultra-dense nuclear physics. Most current models of the tidal response of relativistic stars either assume a static response model, or use phenomenological models inspired by Newtonian gravity. In this work, we present a general formalism for computing the linear dynamical tidal response function of relativistic, spherically symmetric stars. Our formalism incorporates stratification due to thermal and chemical imbalances, allowing one to study the effects of g modes on the tidal response function. We also describe how to incorporate sources of dissipation due to shear and bulk viscosity. To showcase the utility of our approach, we present several applications for polytropic stars in general relativity. We show how our formalism can capture the dynamical tidal resonance due to the f and g modes of inviscid stars and explore the sensitivity of the dynamical tidal response to the compactness of the star. We also compute the dissipative tidal deformability due to bulk and shear viscous dissipation. We find that, for the same viscous profile, the shear viscous tidal lag parameter is 100-1000 times larger than the dimensionless bulk viscous tidal lag parameter.","Tue, 5 Mar 2024 19:00:05 UTC (853 KB)[v2] Fri, 8 Mar 2024 16:14:55 UTC (842 KB)"
"55","Nature vs. Nurture: Distinguishing Effects from Stellar Processing and Chemical Evolution on Carbon and Nitrogen in Red Giant Stars","John D. Roberts, Marc H. Pinsonneault, Jennifer A. Johnson, Joel C. Zinn, David H. Weinberg, Mathieu Vrard, Jamie Tayar, Dennis Stello, Benoît Mosser, James W. Johnson, Kaili Cao, Keivan G. Stassun, Guy S. Stringfellow, Aldo Serenelli, Savita Mathur, Saskia Hekker, Rafael A. García, Yvonne P. Elsworth, Enrico Corsaro","Solar and Stellar Astrophysics (astro-ph.SR)","The surface [C/N] ratios of evolved giants are strongly affected by the first dredge-up (FDU) of nuclear-processed material from stellar cores. C and N also have distinct nucleosynthetic origins and serve as diagnostics of mixing and mass loss. We use subgiants to find strong trends in the birth [C/N] with [Fe/H], which differ between the low-$\alpha$ and high-$\alpha$ populations. We demonstrate that these birth trends have a strong impact on the surface abundances after the FDU. This effect is neglected in current stellar models, which use solar-scaled C and N. We map out the FDU as a function of evolutionary state, mass, and composition using a large and precisely measured asteroseismic dataset in first-ascent red giant branch (RGB) and core He-burning, or red clump (RC), stars. We describe the domains where [C/N] is a useful mass diagnostic and find that the RC complements the RGB and extends the range of validity to higher mass. We find evidence for extra mixing on the RGB below [Fe/H]= -0.4, matching literature results, for high-$\alpha$ giants, but there is no clear evidence of mixing in the low-$\alpha$ giants. The predicted signal of mass loss is weak and difficult to detect in our sample. We discuss implications for stellar physics and stellar population applications.","Tue, 5 Mar 2024 19:00:01 UTC (1,765 KB)"
"56","Listening to the long ringdown: a novel way to pinpoint the equation of state in neutron-star cores","Christian Ecker, Tyler Gorda, Aleksi Kurkela, Luciano Rezzolla","High Energy Astrophysical Phenomena (astro-ph.HE)","Multimessenger signals from binary neutron star (BNS) mergers are promising tools to infer the largely unknown properties of nuclear matter at densities that are presently inaccessible to laboratory experiments. The gravitational waves (GWs) emitted by BNS merger remnants, in particular, have the potential of setting tight constraints on the neutron-star equation of state (EOS) that would complement those coming from the late inspiral, direct mass-radius measurements, or ab-initio dense-matter calculations. To explore this possibility, we perform a representative series of general-relativistic simulations of BNS systems with EOSs carefully constructed so as to cover comprehensively the high-density regime of the EOS space. From these simulations, we identify a novel and tight correlation between the ratio of the energy and angular-momentum losses in the late-time portion of the post-merger signal, i.e., the ""long ringdown"", and the properties of the EOS at the highest pressures and densities in neutron-star cores. When applying this correlation to post-merger GW signals, we find a significant reduction of the EOS uncertainty at densities several times the nuclear saturation density, where no direct constraints are currently available. Hence, the long ringdown has the potential of providing new and stringent constraints on the state of matter in neutron stars in general and, in particular, in their cores.","Tue, 5 Mar 2024 19:00:01 UTC (4,735 KB)"
"57","Advancements and Applications of NMR and MRI Technologies in Medical Science: A Comprehensive Review","Islam G. Ali","Medical Physics (physics.med-ph)","Nuclear Magnetic Resonance (NMR) and Magnetic Resonance Imaging (MRI) represent versatile tools with diverse applications spanning physics, chemistry, geology, and medical science. This comprehensive review explores the foundational principles of NMR and MRI technologies, elucidating their evolution from fundamental quantum mechanical concepts to widespread applications in medical science. Commencing within a quantum mechanical framework, the concise review emphasizes the significant role played by NMR and MRI in clinical research. Furthermore, it provides a succinct survey of various NMR system types. Conclusively, the review delves into key applications of MRI techniques, presenting valuable methodologies for visualizing internal anatomical structures and soft tissues.","Tue, 5 Mar 2024 16:07:01 UTC (2,636 KB)"
"58","Transcription factor clusters as information transfer agents","Rahul Munshi, Jia Ling, Sergey Ryabichko, Eric F Wieschaus, Thomas Gregor","Biological Physics (physics.bio-ph)","Deciphering how genes interpret information from the concentration of transcription factors (TFs) within the cell nucleus remains a fundamental question in gene regulation. Recent advancements have unveiled the heterogeneous distribution of TF molecules in the nucleus, posing challenges to the precise decoding of concentration signals. To explore this phenomenon, we employ high-resolution single-cell imaging of a fluorescently tagged TF protein, Bicoid, in living fly embryos. We show that accumulation of Bicoid in submicron clusters preserves the spatial information of the maternal Bicoid gradient, and that cluster intensity, size, and frequency offer remarkably precise spatial cues. We further discover that various known gene targets of Bicoid activation colocalize with clusters and that for the target gene Hunchback, this colocalization is dependent on its enhancer binding affinity. Modeling information transfer through these clusters suggests that clustering offers a more rapid sensing mechanism for global nuclear concentrations than freely diffusing TF molecules detected by simple enhancers.","Tue, 5 Mar 2024 13:13:57 UTC (4,915 KB)"
"59","Microscopic parametrization of the near threshold oscillations of the nucleon time-like effective electromagnetic form factors","Francesco Rosini, Simone Pacetti, Olga Shekhovtsova, Egle Tomasi-Gustafsson","High Energy Physics - Phenomenology (hep-ph)","We present an analysis of the recent near threshold BESIII data for the nucleon time-like effective form factors. The damped oscillation emerging from the subtraction of the dipole formula is treated in non-perturbative-QCD, making use of the light cone distribution amplitudes expansion. Non-perturbative effects are accounted for by considering Q2-dependent coefficients in such expansions, whose free parameters are determined by fitting to the proton and neutron data. Possible implications and future analysis have been discussed.","Tue, 5 Mar 2024 12:34:29 UTC (130 KB)"
"60","Coupling Polyatomic Molecules to Lossy Nanocavities: Lindblad versus Schrödinger description","Csaba Fábri, Attila G. Császár, Gábor J. Halász, Lorenz S. Cederbaum, Ágnes Vibók","Chemical Physics (physics.chem-ph)","The usage of cavities to impact molecular structure and dynamics has become popular. As cavities, in particular plasmonic nanocavities, are lossy and the lifetime of their modes can be very short, their lossy nature must be incorporated into the calculations. The Lindblad master equation is commonly considered as an appropriate tool to describe this lossy nature. This approach requires the dynamics of the density operator and is thus substantially more costly than approaches employing the Schrödinger equation for the quantum wave function when several or many nuclear degrees of freedom are involved. In this work we compare numerically the Lindblad and Schrödinger descriptions discussed in the literature for a molecular example where the cavity is pumped by a laser. The laser and cavity properties are varied over a range of parameters. It is found that the Schrödinger description adequately describes the dynamics of the polaritons and emission signal as long as the laser intensity is moderate and the pump time is not much longer than the lifetime of the cavity mode. Otherwise, it is demonstrated that the Schrödinger description gradually fails. The results are discussed and analyzed.","Tue, 5 Mar 2024 11:51:00 UTC (7,660 KB)"
"61","Translationally invariant shell model calculation of the quasielastic $(p,2p)$ process at intermediate relativistic energies","A.B. Larionov, Yu.N. Uzikov","Nuclear Theory (nucl-th)","Relativistic beams of heavy ions interacting with various nuclear targets allow to study a broad range of problems starting from nuclear equation of state to the traditional nuclear structure. Some questions which were impossible to answer heretofore -- can be addressed nowadays by using inverse kinematics. These includes the structure of short-lived nuclei and the precision study of exclusive channels with production of residual nuclei in certain quantum states. Theoretical understanding such processes is so far based on factorization models which combine the single-step amplitude of the reaction on a bound nucleon or nuclear cluster with a certain wave function of its relative motion with respect to the residual nucleus. The nuclear structure information is encoded in the spectroscopic amplitude, calculable within nuclear many-body theories. In this work, we use for this purpose the translationally-invariant shell model with configuration mixing and demonstrate that it successfully reproduces the single-differential and integrated cross sections of the quasielastic proton knockout, $^{12}\mbox{C}(p,2p)^{11}\mbox{B}$, with outgoing $^{11}$B in the ground state and low-lying excited states measured at GSI at 400 MeV/nucleon.","Tue, 5 Mar 2024 09:29:24 UTC (49 KB)"
"62","What Can We Learn from Directed Flow at STAR-FXT Energies?","Yu. B. Ivanov, M. Kozhevnikova","Nuclear Theory (nucl-th)","We present results of simulations of directed flow of various hadrons in Au+Au collisions at collision energies of $\sqrt{s_{NN}}=$ 3 and 4.5 GeV. Simulations are performed within the model three-fluid dynamics (3FD) and the event simulator based on it (THESEUS). The results are compared with recent STAR data. The directed flows of various particles provide information on dynamics in various parts and at various stages of the colliding system depending on the particle. However, the information on the equation of state is not always directly accessible because of strong influence of the afterburner stage or insufficient equilibration of the matter. It is found that the crossover scenario gives the best overall description of the data. This crossover EoS is soft in the hadronic phase. The transition into QGP in Au+Au collisions occurs at collision energies between 3 and 4.5 GeV, at baryon densities $n_B \geq 4 n_0$ and temperatures $\approx 150$ MeV. In-medium effects in the directed flow of (anti)kaons are discussed.","Tue, 5 Mar 2024 09:00:44 UTC (1,411 KB)[v2] Thu, 7 Mar 2024 06:35:11 UTC (1,411 KB)"
"63","Kinetic temperature and radial flow velocity estimation using identified hadrons and light (anti-)nuclei produced in relativistic heavy-ion collisions at RHIC and LHC","Junaid Tariq, M. U. Ashraf, Grigory Nigmatkulov","Nuclear Theory (nucl-th)","We report the investigation of the kinetic freeze-out properties of identified hadrons ($\pi^\pm$, $K^\pm$ and $p(\bar p)$) along with light (anti-)nuclei $d (\bar d)$, $t (\bar t)$ and ${}^{3}He$ in relativistic heavy-ion collisions at RHIC and LHC energies. A simultaneous fit is performed with the Blast-Wave (BW) model to the transverse momentum ({\ppt}) spectra of identified hadrons together with light (anti-)nuclei produced in {\auau} collisions at {\sqrtsNN} = 7.7 -- 200 GeV and in {\pbpb} collisions at {\sqrtsNN} = 2.76. The energy and centrality dependence of kinetic freeze-out temperature ($T_{kin}$) and collective flow velocity $\langle \beta \rangle$ has been studied. It is observed that light (anti-)nuclei also participate in the collective expansion of the medium created in the collision when included in a common fit with the light hadrons. We observe a marginal rise in the $T_{kin}$ and a slight decrease in $\langle \beta \rangle$ when compared to the values obtained from the fit to light hadrons, indicating that heavier particles decouple earlier in time from the fireball compared to the light hadrons due to higher masses and are more sensitive to the effects of the radial flow. A similar $\langle \beta \rangle$ and significant larger $T_{kin}$ is observed when fit is performed to only protons and light (anti-)nuclei. Additionally, we also observe that the $T_{kin}$ increases from central to peripheral collisions, which is consistent with the argument of short-lived fireball in peripheral collisions. Whereas the $\langle \beta \rangle$ shows a decreasing trend from central to peripheral collisions indicating a more rapid expansion in the central collisions. Both, $T_{kin}$ and $\langle \beta \rangle$ show a weak dependence on the collision energy at most energies. We also observe a strong anti-correlation between $T_{kin}$ and $\langle \beta \rangle$.","Tue, 5 Mar 2024 08:28:42 UTC (200 KB)"
"64","Relativistic mean-field study of alpha decay in superheavy isotopes with 100 \texorpdfstring{$\leq$ Z $\leq$}-120","Nishu Jain, M. Bhuyan, Raj Kumar","Nuclear Theory (nucl-th)","The $\alpha$-decay half-lives of superheavy nuclei with $100 \leq Z \leq 120$ are comprehensively analyzed using the axially deformed relativistic mean field (RMF) formalism for the NL3$^*$ parameter set. We employ RMF binding energies to determine the $\alpha$-decay energies and make a comparison with both the available experimental data and the theoretical results obtained from the global nuclear mass model WS4. The four distinct formulae, specifically the modified scaling law Brown, modified Viola-Seaborg, Yibin {\it et al.} formula, and its modified form are used to calculate the decay half-lives and examine the numerical correlation between the half-life ($T_{1/2}$) for each $\alpha$-decay energy. We notice that $T_{1/2}$ is significantly dependent on the decay formula in terms of isospin asymmetry and decay energy. We also noticed that modified scaling law Brown formula estimates of half-lives agreed comparatively better with the experiment as compared to others. Moreover, the present investigation provides significant information on the stability of the superheavy island considered for ongoing and/or future experiments.","Tue, 5 Mar 2024 08:05:23 UTC (124 KB)"
"65","A numerical algorithm for solving the coupled Schrödinger equations using inverse power method","Jiaxing Zhao, Shuzhe Shi","Computational Physics (physics.comp-ph)","The inverse power method is a numerical algorithm to obtain the eigenvectors of a matrix. In this work, we develop an iteration algorithm, based on the inverse power method, to numerically solve the Schrödinger equation that couples an arbitrary number of components. Such an algorithm can also be applied to the multi-body systems. To show the power and accuracy of this method, we also present an example of solving the Dirac equation under the presence of an external scalar potential and a constant magnetic field, with source code publicly available.","Tue, 5 Mar 2024 08:02:18 UTC (99 KB)"
"66","Implementation of the microscopic nuclear potential in the coupled channels calculations to study the fusion dynamics of Oxygen based reactions","N. Jain, M. Bhuyan, Raj Kumar","Nuclear Theory (nucl-th)","In the present work, we have incorporated the microscopic relativistic nuclear potential obtained from recently developed relativistic R3Y NN potential in the coupled channels code CCFULL to study the fusion dynamics. The R3Y NN-potential and the densities of interacting nuclei are obtained for the relativistic mean-field approach for the NL3$^*$ parameter set. It is to be noted that the R3Y NN potential can be expressed in terms of masses of the mesons and their couplings by considering the meson degrees of freedom within the relativistic mean field, which has a form similar to the widely used M3Y potential. We focused on the fusion cross-sections for $Oxygen$-based reactions with targets from different mass regions of the periodic table i.e. $^{16}$O + $^{24}$Mg, $^{18}$O + $^{24}$Mg, $^{16}$O + $^{148}$Sm, $^{16}$O + $^{176}$Hf, $^{16}$O + $^{176}$Yb, $^{16}$O + $^{182}$W, and $^{16}$O + $^{186}$W. A comparison is also made with the ones calculated using the nuclear potential obtained from the traditional Woods-Saxon potential and the widely used M3Y NN potential within CCFULL. The coupled channel calculations are performed with shape and rotational degrees of freedom to examine the fusion enhancement at below-barrier energies. It is observed from the calculations that the fusion cross-sections obtained using R3Y NN potential with rotational degrees of freedom are found to be more consistent with the experimental data than those for the M3Y and Woods-Saxon potentials mainly at below barrier energies.","Tue, 5 Mar 2024 07:48:49 UTC (161 KB)"
"67","Distributed OpenMP Offloading of OpenMC on Intel GPU MAX Accelerators","Yehonatan Fridman, Guy Tamir, Uri Steinitz, Gal Oren","Distributed, Parallel, and Cluster Computing (cs.DC)","Monte Carlo (MC) simulations play a pivotal role in diverse scientific and engineering domains, with applications ranging from nuclear physics to materials science. Harnessing the computational power of high-performance computing (HPC) systems, especially Graphics Processing Units (GPUs), has become essential for accelerating MC simulations. This paper focuses on the adaptation and optimization of the OpenMC neutron and photon transport Monte Carlo code for Intel GPUs, specifically the Intel Data Center Max 1100 GPU (codename Ponte Vecchio, PVC), through distributed OpenMP offloading. Building upon prior work by Tramm J.R., et al. (2022), which laid the groundwork for GPU adaptation, our study meticulously extends the OpenMC code's capabilities to Intel GPUs. We present a comprehensive benchmarking and scaling analysis, comparing performance on Intel MAX GPUs to state-of-the-art CPU execution (Intel Xeon Platinum 8480+ Processor, codename 4th generation Sapphire Rapids). The results demonstrate a remarkable acceleration factor compared to CPU execution, showcasing the GPU-adapted code's superiority over its CPU counterpart as computational load increases.","Tue, 5 Mar 2024 07:43:24 UTC (80 KB)"
