"apUsernames","apReviewer_Date","apReviewer_Content","apRating"
"harry-76","14 November 2000","...which is your preference?  Norman Bates has graduated from that seedy, rundown motel off the beaten path, to the trendy American Gardens Apartments in chick Manhattan.  Norm's got everything needed for an unusal evening of cocktails, banter and bloodletting. Just don't bother to make plans too far in the future.  Chances are, they might have to be cancelled.  Rather indefinitely.We've moved up from the conventional quick jab in the gut to multiple maxi-whollops with an ax, s/m play with coathangers and specially selected surgical instruments, and a penultimate life-and-death nude race through the hall before the final deathblow.Welcome to ""Intro to Horror Genre-101,"" twenty-first-century-style. If this makes 1960's ""Psycho"" seem like a child's bedtime tale, what's 2040's product going to be that'll make ""American Psycho"" play like ""Harry Potter?""","
            8/10
            "
"Red-Barracuda","16 January 2017","I remember when the novel American Psycho by Bret Easton Ellis was first released. It caused huge amounts of controversy on account of its scenes of extreme violence which were considered to be very misogynistic. So much so, that someone even worked out that an anagram of the author's name was 'to sell be nastier'! I ended up reading the book myself and it is true that the acts of violence get progressively more and more extreme and grim, they are disturbing for sure. But it was also equally true that this was a highly satirical work of the blackest comedy.The film version came along after quite a long genesis and naturally it got people wondering how such a book could possibly be made without being banned in almost every territory on Earth. As it turned out, the film version was a very clever interpretation of the novel which wisely understood that it could not possibly depict the violent excesses of the novel in their undiluted form but instead deftly finds ways to get around this. The ultimate result in my view is one of the few examples where the movie matches up to the novel.Set in the late 80's Manhattan the film centres on Patrick Bateman, who by day is a narcissistic Wall Street yuppie who is obsessed with success, fashion and expensive restaurants, and who by night is a serial killer. By focusing on this character the story is perfectly positioned to become a satire of 80's America and the greed and selfishness that is synonymous with certain subcultures of that era. Bale himself is emotionally sterile, he has lots of money, an expensive apartment and a beautiful fiancé but he is utterly shallow and devoid of taste. Some of the funniest scenes focus on these aspects of his character such as when he hilariously offers up his opinions on his favourite music, giving detailed, yet inane, analysis on the very mainstream 80's acts Phil Collins, Whitney Houston and Huey Lewis and the News. In another brilliant, telling scene Bateman and several of his peers compare business cards; as Bateman eyes each, practically identical, card you can sense his discomfort that his card might not be 'the best'. This scene is presented like it's a highly suspenseful revelation from a thriller and is played completely straight. That's what makes it so funny because it is negligible subjects such as the font of a business card that truly are the things of paramount importance in the world of Bateman and his cronies.It has to be said here that Christian Bale in the title role is nothing short of a revelation. It's one of my all-time favourite performances from any actor and it really showcases what a brilliant talent he is; he completely nails this character in a way that honestly feels like it could not have been improved by anyone else. Much credit also must go to director Mary Harron who has taken on a pretty challenging project in trying to adapt such a novel. There is no question in my mind that she has succeeded better than could ever have been expected. The film has to tone things down for sure but it still contains some pretty disturbing scenes nevertheless; but the focus is more squarely on the satirical elements of the story and those are explored very well indeed. In the final analysis, I would recommend both reading the book and watching the movie, as both are very high calibre examples of their type.","
            8/10
            "
"SPZMaxinema","17 January 2022","While I did enjoy Christian Bale's performance and some of the sequences that included his character, the tone and the general feeling of the movie felt somewhat uneven and something about it just didn't click with me like it probably should have. Maybe I should give this movie another chance and maybe I watched it too seriously, but something prevented me from buying into it completely. \_('_')_/","
            1/10
            "
"mydogsis","20 July 2020","Well it hasn't aged well. Seems a bit embarrassing now.","
            6/10
            "
"aboalhyjaa","13 June 2022","I first saw this movie when i was 15, didn't actually understand the main idea or the ending, caught a couple of scenes over tv in the last year or so so I decided to watch it again and i think I've finally understood it!One of the things I've noticed is the business cards themselves are literally a symbol of identity for each of the businessmen, all competing to stand out in this homogeneous society the video talks about. They all obsess over the smallest of details on the cards which helps them do so. With the idea that this is all in Bateman's head, you can bring it back to the movie's opening: he insults the bartender and says he wants to stab her to death. Whilst saying this, it's all seen by the audience through the mirror - this is a different reflection of reality, how only Bateman sees himself.The ending kinda freaked me out though, because i hate loose ends. But not this one! Why? Because we simply cant know if it was real or not because he himself doesn't know it.","
            9/10
            "
"notoriousCASK","10 April 2020","Look at that subtle and polished script. The tasteful cinematography and direction of it. Oh my God, it even has Christian Bale's finest performance.American Psycho is a captivating study of a madman who simultaneously obsesses and criticizes the shallow culture he's a part of and attempts to hide his chaotic personal life through excessive vanity and beautification. Harron's direction is very impressive as she manages to take the story through the narrow route that blurs the line between fiction and reality with great finesse. American Psycho is a fascinating vignette of lunacy and obsession as it intriguingly blends its elements of horror and dark comedy into an exquisitely paced, masterfully directed and magnificently written story that delves into the mind and psyche of its incredibly deranged individual with plenty of success, and remains one of the finest achievements of its genre(s) and of the greatest movies of the 2000s.","
            9/10
            "
"baumer","18 April 2000","Warning, may contain some small spoilers:If anyone remembers the 80's the way I do, it goes something like this.....If you can graduate from a prestigious university in Canada or the U.S. you immediately will have a plethora of job offers thrown at you in which many of them will pay you large sums of money.  There could be some in the new computer field, it could be a brokerage firm or it could be just plain and simply, big business.It was cool, not just cool but imperative to wear the lateset fashions by Ralph Lauren and Calvin Klein.  The fitness craze was launched by Olivia Newton John, Arnold Schwartzenegger and Stallone.  Words like diaretics and emphetimines were launched into our vernacular.  We blasted our pecs, did our backs and spent countless hours doing sit-ups.  BMer's and Jags and 'Vettes were the sought after cars and a man was judged by his wallet. Greed was good according to Gordon Gekko.  Life was great.  But it couldn't last and it didn't.  And now here we are recovering from ( economically speaking ) the disasterous 90's.  And we are reminded of it all again in this smart sadistic but brilliant satire of greed and lust in the 80's. Maybe the book was about a guy that just simply killed because he was psychotic, but the film is cynical look at what we all strived to be in the 80's and perhaps what we all still want to be in the new millenium.  I have never seen a film like American Psycho before and I really don't anticipate on seeing one like it again.  If you don't like this film it is maybe because you don't understand it.  Maybe that isn't fair since I hated Magnolia and those that praise it say the same thing to me, but I do feel that way in this case.Patrick Bateman is a 27 year old yuppie that has it all at some synthetic job in some synthetic building on Wall Street.  He takes pride in everything that he does.  Everything from his outer appearance to the look of his business cards.  Everything is a trophy to him and to the cronies that inhabit his world.  In one of the best scenes done in any film that I can remember, when Bateman is dragging a dead body to his car, with a train line of blood stains left behind by the body, one of his friends that he sees him on the streets says in ghastly shock as he is loading the body bag into the car, "" Oh my gosh!  Where did you get that designer bag? ""  That note, but not that note alone, but that note can be a microcosm for what the film is all about.  People see what they want to see and this time in our history was perhaps the worst for it.  The characters in this movie, while important in their own worlds, are merely just another face in the crowd that no one seems to really care about.  Paul Allen may as well be a bum in an alley, that is how much fuss is created when he disappears.  This is a world that can drive people mad just because someone elses business card has the perception of being nicer than the other guys.  It is synthetic, un-noteworthy things that drive men nuts in this film, and especially the main character in this film.Christian Bale is Patrick Bateman.  At first I couldn't understand why the actor chose to play the character the way he was, but fifteen minutes later you do understand.  This performance is one that should not be forgotten. He looks great on the outside but to paraphrase a line that he uses in the film "" I have all the traits of a normal human being, but there simply is nothing going on upstairs. """" Today I just had to kill a lot of people! ""American Psycho is a sick, twisted, hilarious and brilliant film.  It is original and it will make you think long after you have left the theater. And as a bonus too, there is no clear conclusion to the film.  You can interpret it two ways.  Both ways make sense to me and maybe they are both right.  I really don't care what the book was trying to do or say, this film has it's own way of saying it.  I cannot recommend this film enough.  If anything, it will challenge your thinking, and that is always a positive thing in a film.  But other than that, it is a damn fine film and one of the best films so far in this young millenium!9 out of 10","
            8/10
            "
"dommercaldi","19 August 2020","Pros:
1. Christian Bale (Patrick Bateman) delivers a great performance.
2. The humour, though slightly ridiculous in nature, never feels distracting and it always lands.
3. The costume design, although largely simple, is perfectly elegant and encapsulates the wealthy back-drop nicely.
4. Willem Dafoe (Donald Kimball), Jared Leto (Paul Allen), and Justin Theroux (Timothy Bryce) give stellar side performances.
5. The score does a fantastic job at adding to the comedy moments, whilst also cementing the gritty scenes.
6. The violence is brutal, impactful, and highly memorable - especially the scene involving Paul Allen, or the naked chainsaw run.
7. Patrick Bateman's slow descent into madness is both captivating, and mostly well-done.
8. The subtle critique of the rich and their lifestyles is never overpowering, as well as being deftly handled.Cons:
1. The decline into insanity for Patrick Bateman feels a little rushed, and could have been examined more in-depth.","
            1/10
            "
"dglink","26 September 2005","In a world where appearances are everything and a man's status is determined by the typography, watermark, and paper quality of his business cards, lurks an empty shell of man, who is either falling deeper into madness or satisfying his intense blood lust through a series of brutal murders. Such is the ambiguity of this fascinating film that it easily stands up to repeated viewing if only to explore what is real and what is illusion. Patrick Bateman, who is a distant relative of Norman Bates in more than name, is a loner surrounded by people with whom he never relates. Although he does not hide from the world like Norman did, Patrick's icy facade, which has been conditioned and pomaded into a mask of normality, shields him from the world as effectively as the remote motel hid Norman. With his mask in place, Patrick Bateman intermingles in a world of interchangeable people, who vie with each other for social position through table reservations at trendy restaurants, the quality of a hair cut, or the fabric of a custom-tailored suit. Money flows from toil-less occupations in a New York milieu, where, as Gordon Gecko in ""Wall Street"" so aptly summed up, ""greed is good."" The Reagan era on steroids, although Bateman's peers comment negatively on the president as they watch him try to explain away the Iran-Contra scandal during a televised speech. The young men's remarks about lying are ironic, when their own lives of sham and deceit are considered.But, under the glistening surfaces, like the depths explored by David Lynch in ""Blue Velvet,"" the being who is known as Patrick Bateman lives another life, possibly in his deteriorating mind or possibly in dark back alleys and designer apartments or possibly in both simultaneously. Simply put, Patrick does not like women, and he does not like rivals, and he is eager to dispense with both through his adept use of gleaming stainless-steel axes or state-of-the-art nail shooters. While Norman Bates had deep-seated problems with sex and evidently did not have physical relations with women, Patrick does have sex with women, who are often paid. Patrick's women become debased objects that he abuses, while he admires his own physique in the mirror. Even in the most intimate act of sex, Patrick does not relate with anyone other than himself. However, unlike Norman Bates, Patrick Bateman does not have a mother complex, in fact, he does not seem to have a mother or any family at all. He is a being with no past, no relationships, and no soul. The role is difficult, and Christian Bale as Bateman is outstanding. The perfection of his looks and physique make him physically ideal for the part. But his performance is more than surface sheen, and Bale disarms the viewer as he slowly escalates from a cool emotionless young professional into a psychotic as the character descends further into his own perverted delusions or manic blood lust. Bale's is a performance as ambiguous as the film.The direction by Mary Harron is excellent as well. Harron wisely focuses on the satire inherent in the screenplay and downplays the violence, which is more often suggested than illustrated. Apparently, she has studied Hitchcock and knows that what the audience imagines can be far more powerful than what they actually see. ""American Psycho"" is a stimulating work that can provide fuel for heated discussion about what actually does or does not occur. Does the violence exist only in the pornographically violent doodles in Patrick's office agenda or did an unseen protector clean up the evidence of his series of murders? Or both? Like Hitchcock's ""Psycho,"" the film swirls downward like dark water into a drain as Bateman is sucked further into madness, which eventually consumes his entire world and draws the viewer in with him.","
            3/10
            "
"Stampsfightclub","23 August 2009","Patrick Bateman (Bale) lives and works on Wall Street, projecting an image of perfection in his busy schedule, but at night, he descends into his own experiments and fantasises.Christian Bale stars as Patrick Bateman in this Mary Hannon picture and with his sophisticated approach to the needy and greedy protagonist, do we viewers dive into a world where social class is everything to be successful.As the film gets under way we see the central character describe himself as an intelligent being, a man who knows what and who he likes and aims to keep it that way. Starting at a posh restaurant with his colleagues discussing the local works trends and social gossip do we get a picture of what working on Wall Street is like.American Psycho is adapted from Bret Easton Ellis's novel, and the author has clearly a colourful picture on the minds of the highly prestigious workmen in America. This screenplay is marvellous, owing to the fact that Bale's character is so well thought out; a protagonist to envy and to identify with. His work is tame; his colleagues are infuriating whilst his fiancée annoys the living daylights out of him. But he continues down the same path owing to the fact he must project an important image; an image of power and success. The attitude of Bateman is quite remarkable. His self loving success driven mindset is staggering, and the Dark Knight actor is frankly remarkable in this role Many films of course look at social class workings or stereotypes. From the significant upbringing and destiny surrounding Eddie Murphy in Trading Places to the way strangers and criminals look at Sidney Poitier's cop in In the Heat of the Night but with this 2000 release, you get a significant feeling that the way you walk and talk generally affects you persona and your presentation to others, which arguably decides the fate of this film.Bateman's constant conformity to the general high standards of Wall Street leave him wanting more and when he is at home watching porn, experimenting with face products or doing his exercise regimes, he descends into a world of madness, and this is where the film drives into exciting mystery.After Paul Allen shows him a business card and forgets his name once too often, Bateman introduces him to his axe, and after this arguably frightening sequence, the character base is set and the expectancy to see Bateman's next move is anticipation of the highest degree.Honestly even as the caped crusader Bale has never been more impressive. His depiction of this character is completely accurate and interesting. He derives from a standard of madness and makes it fascinating psychologically whilst oddly, surprisingly comic at various points. The character is a joy; a privilege to watch and observe and the madness may give Hamlet a run for his money. A must watch for the sheer brilliance of the character development and Bale's performance.","
            10/10
            "
"FLASHP01NT","3 October 2020","There are two main interpretations of the film:1. That Bateman is actually a psychological construct of Davis; The main character of the film is Davis. We are in the mind of Davis as he dreams about being Bateman.2. That Bateman is actually Bateman, and he does really kill people, but it's impossible for the police to pin the murders on him because nobody in corporate america knows each other, causing false negatives that interrupt the continuity of the criminal investigation.If you believe #1: The movie is a psychological reactionism to the monotony and inhumanity of corporate life; fantasizing about murder functions as an escape mechanism and helps Davis maintain his sanity.If you believe #2: Bateman is a sociopathic serial killer who is successful in business because of his negative pathologies. Bateman feels nothing and thought that murdering people would help him to feel something, but it didn't. In the end Bateman wants to be caught and punished; because then he would be put out of his misery. However Bateman can't be caught due to the nature of his employment, which makes him both invisible and void of responsibility. Bateman is now cursed to continue his miserable existence, which, to him, is the same as being in prison.A third interpretation exists which is similar to the second: In this case, Bateman, again, really does kill people; but everyone around him helps him to conceal the crimes out of self-interest. So, at the end of the film, the real estate agent actually cleaned up the apartment and got rid of the bodies; and Bateman's lawyer knows he killed Paul Allen, but intentionally lied to the police about having lunch with Allen in London in order to protect Bateman, who is a VP of P&P (previously said to be a company for which Bateman's father ""practically owns"").","
            9/10
            "
"garethcrook","31 May 2020","If I'm honest, I'm only here for Huey Lewis. Just kidding... although I do love Huey Lewis. I do love this film too though. It's a rare occasion where I like the film as much as it's source, maybe even more than. Easton Ellis' book is a masterpiece, even more gruesome than what's committed to screen here, but what it doesn't have is Christian Bale. He's on fire here, my favourite performance (he's also great in The Machinist and Le Mans 66). Here though, as Patrick Bateman, the meticulous psychopathic yuppie, he's magnificent. Bateman is cinematic gold, good looking, successful, intelligent and articulate. He's also a stone cold, calculating killer. For an 80s yuppie, that most loathsome of sets, he's oddly captivating, every bit the anti-hero. Narrating as he goes, Bale's voice sounding unnervingly like Easton Ellis... or maybe Easton Ellis sounds like Bale?... or Bateman! Anyway, perhaps it's the world in which he operates and it's depiction that makes this work so well. Hyper-stylised restaurants with pretentious names, minimal apartment layouts, the obsessing over business cards and Bateman's desire to fit in, but his competitiveness not allowing him to do so. This all provides a sleek clean surface for Bateman to cover in blood with devastating effect. He's annoyingly likeable... until he kills a homeless man and his dog. However on the flip side, minutes later, it's Huey time! Gleaming Axe, transparent raincoat and the idiot Jared Leto lured back to Bateman's apartment. Paul Allen (Leto) you see has upset Bateman. He has a better haircut, can get reservations at in vogue restaurant Dorsia, even has a better business card and mistakes him for someone else, as do several others. He's in trouble and it's not long until he's hacked to pieces as 'Hip to be Square' blasts out. This though might be his undoing as private detective Kimball (Willem Dafoe) is drafted in to find Allen and harass Bateman. He knows something's up, that unmistakable smile meeting Bateman's pouting frown, but their exchanges are more awkward than anything else. It's an odd film, no one is likeable to any degree, sexist Wall Street morons, drugged up socialites. Everyone is vile. There's very little thread to it either, aside Bateman's insecurities. Even the persistent detective feels like a nuisance sub plot to the killing spree. Ultimately it's Bateman's slip into more and more extreme and sadistic behaviour that drives this, with the sight of him running naked and blood splattered through the hallway with a chainsaw and him sweating profusely in designer suits as the minutes pass by being the more notable events. Bateman knows he's coming apart, but his lack of emotions confuse him. As he slides further it's difficult to get a grip if events are real or part of his deepening psychosis. It's chilling in it's pointlessness, but fantastic and makes me want to pick up the book again, but first... I have to return some videotapes.","
            8/10
            "
"iwantatoupee","26 May 2017","First of all I love horror films. And I don't recall seeing this one before. But midway through it, I did remember. How bad it was. How boring it was. And how cringing the dire performance by Christian Bale was.He seemed to have adopted a Jim Carrey persona. While Jim is funny. Bale is not. The mannerisms, the voice, everything sucks about Bale.And the story? What story. There is none. It's just a collection of disjointed scenes, mixed with violence and murder - to quote Shakespeare - 'signifying nothing.'Also, Bale is only 26 in this movie. At times he looks mid 40s.It's a pile of trash I would not recommend to my worst enemy. One of the most overrated films of all time.Just 1/10 and I am being generous.","
            7/10
            "
"K3nzit","28 December 2019","Christian Bales performance is mind-blowingly good and the mood unique and hypnotizing. I truly recommend this!","
            6/10
            "
"BroadswordCallinDannyBoy","26 December 2006","Patrick Bateman has everything: money, good looks, health, nice apartment, and an easy going high paying job. Beneath this business school success story, however, lies a dark man who knows and even acknowledges that he has everything, but wants more...Since this is an adaptation you can see this movie as too different things: as an adaptation of the novel, or as just a movie if you haven't read the novel. As a movie it is well done, especially with Bale's frightening performance as the callous Bateman, and it is that with the general ambition that went into the project that overshadows the film's obvious limitations. And there are quite a few of them. I have never read the book, but have heard about it enough to see that the film is aesthetically way below the scope of the novel. The locations and sets simply just barely manage to cut it. However the film is a success due its tone.The themes, metaphors, and idea of the book presented in such a way that you get the feeling that yes, the filmmakers know the source material, like the source material and put in an honest effort to get it translated to the screen. After all, it is the themes and ideas that matter more than the actual physical look of the film. ""Apocalypse Now"" looks nothing like Conrad's ""Heart of Darkness"" - different time period, different locations, etc... - but the fundamental themes of the novel (the stuff that matters most) are there and it is a great movie based off of a great book. With ""American Psycho"" fans can delight in the adaptation as also being faithful in the aesthetic sense.However, fans should also be ready to forgive. Think about it, would any major studio release a movie with a seriously f***ed up lead character like Bateman? Author Bret Easton Ellis was himself shot down by publishers before he got his book out, so this isn't mainstream thought and metaphor here. It is un-PC, hard to swallow, but daring in it's ambitions and that is what makes the film good. --- 8/10Rated R for strong violent content and sex","
            1/10
            "
"radhrh","1 April 2022","I read the book when it was first published I think in the early 90s and was frankly horrified by it being as it is a catalogue of truly awful acts so brutal I can't mention them here for fear of getting banned from IMDB. Seriously, it really is that bad. When I heard they were going to make a film based on the book I was very surprised, how could they possibly film this? Cleverly the film makers emphasize the satirical elements, which although present in the book didn't register with me at the time of reading so traumatized was I by the violence. As the story of Patrick Bateman is a satire on late 1980s Wall Street the film does a better job of telling that story than the book on which it is based. Quite some achievement.","
            7/10
            "
"moraisale","22 May 2020","I started watching it trusting the 7.6 rating it had on IMDb, but... Seriously? One of the worst movies I have ever seen. Kept waiting for it to get better and it never did.
The lines were just sooo boring, the scenes were not entertaining at all and everything was just so uninteresting I don't feel I could even find the right words to describe such a mess. And the amount of nudity on it... Completely unnecessary, to say the least.
Horrible script and direction. Just pathetic. I really can't understand how something like this can have so many good reviews. The world is really going crazy...","
            8/10
            "
"punch87","29 September 2020","The idea that this is all a fantasy inside Bateman's head is brilliantly realised in his growing realisation that he's been able to get away with all of this in plain sight.","
            10/10
            "
"aheaven2005","9 August 2021","Still solid after such a long time. Christian Bale is just marvelous in the best performance of his career. A timeless classic.","
            9/10
            "
"bshaef","15 December 2019","I must confess I saw this when it opened in early 2000's. The best part is the dialog between the buds (where to eat, the coolness of business cards, women and so on.) The dialog is worth the price of admission alone. Good movie. Christian Bale has been one of my favorites since I first saw this. One thing I don't understand about him - how can he gain and lose weight what seems so effortlessly.","
            9/10
            "
"Backlash007","29 December 2008","~Spoiler~American Psycho is best described by its title. Christian Bale stars as Patrick Bateman, a man with wealth, looks, and charm...a vision of the American dream. Or is he the American nightmare? You see, he just can't get that reservation at Dorsia. Also, his business card isn't as impressive because he didn't go with the eggshell white. This is a film that I initially found a bit disturbing and did not care for at all. Upon revisiting it, however, American Psycho has hit an unexpected place: my funny bone. This is one of the most quotable movies ever and I can't believe how funny it is. I guess the first time I watched I didn't get it for what it was: a satire. It's a satirical look at the materialism and excess of the 80's and I had not seen Oliver Stone's Wall Street before viewing American Psycho. Wall Street was the key to unlocking this movie for me. Sounds weird, doesn't it? But I swear that's what did it for me. Well, that and my love for Huey Lewis and the News. The film is packed with a star-studded cast, but it's Bale who makes a name for himself here. He is the whole show. If you are a fan of his, I suggest seeing this film as you will see a much different side of the actor. Or, if you thought Genesis was too artsy before the presence of Phil Collins became more apparent, then American Psycho is for you too. Now, if you'll excuse me, I have to return some videotapes.","
            10/10
            "
"EdwardtheBlackPrince","24 February 2021","To this day this is still one of the best examples of a movie that dives into the psyche of someone without coming off as cliche or generic. Patrick Bateman is a perfect example of how someone can seem so normal but be so unstable. Showing that even the big Wall Street tycoon Can be Murderer and cannibal at the same time. As some of the most memorable lines that a psychopath could ever utter. The film also captures the feel of the 80s better then most modern movies From the suits to the business talk to the music it feel like a 80s movie. You wouldn't know this came out in 2000 if you didn't pay attention.","
            8/10
            "
"famousgir1","16 November 2001","Christian Bale plays Patrick Bateman, a guy who may seem normal, but is really not. I really like drama/thrillers, usually ones like this too, but this movie is awful and has so many flaws. Christian Bale does give a good performance here though as he manages to pull of the good guy vibe and the bad guy vibe all in one well, but that's not enough to save this movie. I hope the 'sequel', this time with a 'female psycho' will be better.","
            10/10
            "
"jamesblond","14 May 2014","This might just be the most overrated film I have ever seen in my entire life. I am trying to think of something this tedious -- oh wait, Synecdoche. That was worse. But I actually think that the secret to that film was that the only way to understand it was to reject its abysmal navel-gazing and walk out of it. Which I did. And if you sat and watched to the end, you didn't get it. So in that bit of turnabout, that film earned its ticket price. This had no redeeming value that I could see. The one positive thing I can say about this is that I find Christian Bale's weird, stiff inability to act grating in pretty much every film I have seen him in, so maybe if they had hired someone else, this movie wouldn't have sucked such gangrenous boils. But I just don't get what's interesting about this film that these other people see. Smug finance exec is going crazy, feels entitled, acts like a dick, has murderous fantasies, thinks he's funny but isn't. And? Oh, ha, ha, he's into his body and does crunches and obsesses on his skincare regiment. And? I gave it a 1.","
            9/10
            "
"Smells_Like_Cheese","9 May 2004","""American Psycho"" did not excite me what so ever. I have read the book and loved it. So, I was looking forward to watching the movie. I knew my mother had it, so I watched it. I was appauled. I know that they couldn't stick too close to the book, otherwise it would have been a ""X"" rated film. But, I felt like the movie was too short. And the murders were too plain. Not what I could've imagined in a movie. They could've gone a little further. I guess this movie in some way reminded me too much of ""Clockwork Orange"". I will admit, the movie was wonderfully made. But for me, this was not a movie I'd be into. I'd rather stick to the book.3/10","
            8/10
            "
"Darth_Osmosis","10 June 2018","Absolutely awesome offbeat black humor and some sweet social commentary. Bale's portrayal of a fascinating character is great, and the whole role is very memorable, among his finest in my opinion. The movie is an interesting take on society and ""normality"" and so close to the truth it's kinda scary.. Great as just a fun (black)comedy, but if you look more closely it can be so much more!","
            9/10
            "
"Avv79","26 June 2022","Only great filmmakers can include a scene in which the protagonist precisely explains his daily skincare routine without it being boring but actually a very creative way to describe a character's quirks. It's a psycho so invested in himself and so perfect that people never pick up on the not so nice things he says and does. And the setting to place it in - a office environment where we actually never see anyone do any work at all throughout the film apart from Bateman's assistent and live the American dream.And this man apparently has the audacity to tell a homeless person to get a job and accuse him of having a negative attitude. I do like the originality of the scene because Bateman doesn't instantly frown with disgust but rather amused by the way someone could end up so worthless. And I can't stop laughing either when he delivers the lines: ''You reek of s**t. Do you know that"" in the way that he does.I enjoy the fact that it doesn't feel we are waiting for him to kill another person but, it just feels like we are following a person living the corporate life and just happens to kill people from time to time like a real psychopath.And the way he goes about killing people or goes about his business in truly psychotic and at the same time utterly hilarious. In short: this man enjoys killing people while he passionately describes his feelings about an album or artist/band.Lastly, it's genius to end the movie with Bateman's confession for the murders but still having no one to care for it because everybody in his environment cares more about themselves than others. He might be like everybody else in the room with repressed rage, meaning everybody could become or already be an American Psycho.","
            10/10
            "
"zetes","6 December 2009","For most of this film's run, I was in agreement with those who have named this one of the films of the decade. It's just exuberant, hilarious, gripping and spot-on. I'm very vocal in my dislike of Christian Bale's acting style - it feels way too old fashioned to me (if he had been acting in the '50s and '60s, he'd definitely be among the best actors of his time, but nowadays, it just comes off as ridiculously methody), but American Psycho is pitched as a cartoon, and he fits in well. Most of the set-pieces are tremendous, most notably his axe murder set to Huey Lewis' ""Hip to Be Square"". I love every time he goes into the super-long descriptions of the music and artists he's listening to. The problem is, after the climactic sequence, the film takes the kind of twist that was all too prominent between the late '90s and today. Suffice it to say, it's not much more interesting than, ""It was all just a dream"". It flops to the floor like a dead fish and then ends. Definitely disappointing in that way, but I can totally dig the bulk of the movie.","
            10/10
            "
"TaylorYee94","16 March 2023","No suspense or thrill can be found in a horror movie. Killing method is so violent, but crime itself is so stupid. Patrick is carrying a bag of a body with blood spilling all over and putting it in the back of a car, and people ask where the bag is from. The main character is unintelligent and not charismatic enough. Rather, a detective is more charismatic and outsmarts the villain so easily with large margin. I am not sure how a real-life psychopath's brain works, but each killing in the MOVIE should mean or represent something. Maybe Harron is trying to emphasize how much random Patrick's killing is and how much joy he gets from it. However, as an audience, I feel too uncomfortable of Harron's listing of killing methods. Very much overrated and very weak ending.","
            10/10
            "
"lee_eisenberg","16 June 2005","""Wall Street"" showed America's billionaires as worthless human beings, but ""American Psycho"" goes one step further: it tells of a Gordon Gekko-type who is actually a murderer. Patrick Bateman (Christian Bale) is quite possibly the most despicable kind of person imaginable. For starters, he's as vain as can be: only twenty-seven years old, he is already using excluding mask. He has gotten a job in his daddy's firm and spends all day listening to CDs while his secretary does his work for him. Whenever he and his equally despicable buddies (or is that ""cronies""?) get together, they brag about their business cards. When Patrick sees that his friend Paul has a ""better"" business card, that's the end of Paul. It ends up that Patrick just kills almost anyone.""American Psycho"" is really a slam on the whole stock broker culture. But it seems that such people deserve to get slammed.","
            10/10
            "
"nivek_nailgun","22 November 2001","I really thought this would be a half decent movie. That was my own stupidity for thinking that because something is controversial,that it's good.I started out thinking the show was half decent,only for the plotline to be total go-nowhere-garbage. The acting was sub-par with very paper characters. I hated this movie so much and was so disgusted by the actors in it that it's unlikely that I'd ever sit through a movie with any of them in it again due to loss of respect for them.","
            8/10
            "
"Billiam-4","20 February 2000","AMERICAN PSYCHO is Mary Harron's second feature film after her acclaimed I SHOT ANDY WARHOL(and an episode for the TV series Homicide). Her movie has been long in the making, frequently having been discussed, because the studio obviously wanted Leonardo Di Caprio for the leading role of the young big business executive who is - for a pastime- also a serial killer. Harron was opposed to this casting decision and she managed to get Christian Bale whose greatest role till now might have been as Little Jim in Spielberg's EMPIRE OF THE SUN. I read Bret Easton Ellis's infamous novel and must admit I was quite bored. It is an endless succession of what Mr. Bateman wears, uses for his hygiene, what he eats and what he thinks about everything in general, all in a disgusting yuppie pseudo-smartass tone. His very drastically described massacres hardly contribute to making the book more accessible. Mary Harron, however, accomplished the amazing: a movie which is much better than the book! Here she has found a style to envision Bateman's vanity, delicately focusing on the empty icons of this strange society of yuppie executives and staging it slightly as satire with many occasions for the audience to get a laugh. This is something which Ellis is completely incapable of, but probably had intended. The best scenes are where the guys compare their business cards and everyone is envious of the other's, although they all look more or less the same. Bateman eventually kills one of his colleagues for just the reason that his card looks more exclusive. Bateman's Dr. Jekyll and Mr. Hyde personality slowly intermingles so that, at the end, he cannot  distinguish between the two sides of his existence anymore. Although his hideous crimes, artfully staged by Harron between horror and hilarity, can't be overseen anymore, the people around him are so vain that they don't even notice what's happening. As Bateman realizes at the end: ""My confession means nothing at all"", so has the film managed to show us that his existence is just the same. In a small role as Bateman's secretary, Chloe Sevigny is well cast, as always a bit sleepy and slow, but just perfect in this movie. One detail I really liked especially: I always knew that Nouvelle Cuisine was nothing but disgusting and an insult to true cuisine culture. I'll give 10/10","
            10/10
            "
"christopher-underwood","17 August 2017","Loved the book, which I remember recommending to many but I recall being disappointed with the film. Now with memory of both rather faded, another look. It is a hard film to 'like' as the events and characters all seem to be horrible. And I mean the obsession with getting reservations for crazy restaurants serving crazy foods covered with scribbled sauces. The obsession for clothes and even personal cards and the variations of colour and embossing. All this is terrible enough never mind the grim killings and the increasingly confusing happenings as we begin to doubt what is being presented to us. Is Bale being evasive or is there something else going on, or not going on, more to the point? On balance and with the benefit of distance from those mad Wall Street days, this takes on the air of a decent satire of the times, when human life itself seemed less important than some statement suit or signature dish. And then the are the drugs. In truth its a wonder with all the money sloshing around and all the drugs being consumed that more people didn't get really, really confused as to what was real and what wasn't. Great looking film and even the really bad 80s music fits in to help this insanity keep rolling till the end.","
            8/10
            "
