"bttfrUsernames","bttfrReviewer_Date","bttfrReviewer_Content","bttfrRating"
"philip_vanderveken","2 August 2005","Even though I'm still convinced that the eighties are one of the worst decades in recent history when it comes to movies and music and even though I never liked Sci-Fi movies, there is one big exception to that rule. In my opinion ""Back to the Future"" is not only one of the best movies in the genre, it's also in my list of all time favorite movies. When I saw it for the first time, I remember to be blown away by it. But than again, I was only 10 years old, not exactly an age on which you've already seen many really good movies to which you can compare another one. But even now, 20 years after its first release and after I've seen hundreds of movies, I still like it a lot.It's 1985 and Marty McFly is a typical teenager who doesn't like his parents and who has some problems at school. His best friend is Doc Brown, a weird inventor of all kinds of (useless) machines. But this time he has invented something that is much more interesting. He has created a plutonium-powered time machine based on a DeLorean. But when something goes wrong, Marty is accidentally sent back to 1955, the time in which his parents still were young. Not only has he got to adapt to this entirely new environment, he also has to make sure that nothing is changed, because that might have serious consequences for the future...I guess the best reason why this movie works so well and feels so timeless is because they don't use the time machine to go forward. Instead of showing us the future, which wouldn't look exactly like it is right now, they have chosen to go back 30 years, a time period which they new very well and could recreate perfectly. If they hadn't done this, the movie would have felt dated one day and no-one would have liked it because it was far from possible. Another good thing about this movie is the acting. Take for instance Michael J. Fox. Not everything that he has done in his career was very successful, but in this movie he shines. I truly believe that this is one of his best performances ever. The same for Christopher Lloyd. Even though his Dr. Emmett Brown looks like if he could have come out of a cartoon, his acting gives the character something likable and makes you forget about that 'problem'.Overall I really liked this movie a lot. It's one of the finest examples in Sci-Fi movies and I can keep watching it time after time. That's why I believe that this movie doesn't deserve a rating lower than 8/10.","
            10/10
            "
"sme_no_densetsu","12 February 2015","Fresh off the success of ""Romancing the Stone"", Robert Zemeckis parlayed his newfound clout into the highest grossing movie of 1985 - ""Back to the Future"". A combination of science fiction and nostalgia, the movie touched a chord with contemporary audiences and continues to resonate with viewers thirty years later.The movie's protagonist is Marty McFly (Michael J. Fox), a teenager who is accidentally sent back in time thirty years. After he unwittingly prevents his parents' first meeting he must make things right or else he'll nullify his own existence.Although the premise is science fictional, the treatment is more or less fantastical, with only a superficial attempt to explain the technology behind time travel. Regardless, the souped-up DeLorean and its flux capacitor make for an iconic time machine.Meanwhile, the Oscar-nominated original screenplay offers something for everyone. In addition to the overall element of science fantasy spectacle there's action, adventure, romance, comedy & even surprising dramatic depth at times.However, the story may not have come to life so vividly without the movie's well-assembled cast. Replacing Eric Stoltz after shooting had already begun, original choice Michael J. Fox was thankfully able to accept the lead role at that juncture. Today, it is difficult, if not impossible, to envision anyone better suited to the role of Marty McFly. In support, Christopher Lloyd is likewise irreplaceable as Doc Brown. The icing on the cake is Marty's parents, enthusiastically played by the lovely Lea Thompson and the always interesting Crispin Glover.Zemeckis's direction also leaves little to be desired. The movie has an attractive look throughout and even the thirty year old special effects have held up pretty well. Musically, the movie benefits greatly from Alan Silvestri's rousing orchestral score. The pair of soundtrack contributions from Huey Lewis and the News are also memorable.Overall, ""Back to the Future"" offers high concept thrills backed up by considerable film-making prowess. Iconic in many respects, the movie is among the best, and the most entertaining, of the 1980's.","
            10/10
            "
"asd29","27 August 2020","I always thought this movie was way ahead of its time, and it still doesnt look too shoddy by these days standards, groundbreaking and an instant classic, lots of humour, action, and tension.
All the cast put in an excellent performance and a delorean as a time machine? isnt that cool ? Also hands down the best in the trilogy.","
            10/10
            "
"nicofreezer","21 April 2021","The best movie ever aired, its a fact. Just pure Greatest the movie is nearly 2hours long and you feel like 1 hour, this movie should be called in another way, because its not even in the same universe than all the others. Maybe its because this movie is from the future.Thank you Mister Zemeckis thank you Mister Spielberg thank YOU mister Michael J fox and Thank YOU mister Christopher Lloyd, you guys are True legend !","
            10/10
            "
"jose-cruz53","15 October 2012","There are though films, that you need to force yourself to pay attention to, before the payoff (the ultimate example being Tarkovsky's Andrei Rublev) and there are films that you can simply enjoy effortlessly, such as Back to the Future, one of the best films ever made! Yes, that's right, it surely belongs to the top 100 best films ever, perhaps top 30. I would rank it as among the top 5 comedies ever made and among the top 10 science fiction films ever made as well!Why? It is so freaking good! The 1980's were indeed the peak of pop culture: films and music only got better and better until they peaked in the mid 1980's and this is the peak right now: the coolest film ever made. It is way better than Raider of the Lost Ark in delivering fun!","
            10/10
            "
"Ben_Cheshire","21 May 2004","Part I is certainly the cleverest of the three. A rip-snorter of a premise: Marty (Michael J. Fox) is accidentally sent back to 1955 in the time machine that his friend Doc Emmett Brown (Christopher Lloyd, in a zany, unforgettable, over-the-top performance that creates one of the best characters of all time) has built, and he accidentally interferes in the meeting of his parents, so that instead of his grandpa hitting his father (Crispin Glover in another over-the-top but crucial and memorable performance) with his car, he hits Marty instead. So instead of Marty's mother falling in love with his father, she falls in love with him! Controversial and awkward though it may be, you can't deny its greatness. The real aim of this, though, is not incest, its learning what his mother was really like in her youth, compared to how she tells it. Plus, it lends a certain urgency to what Marty must do to set back the course of time, which makes us need to watch till the end to see he does it: he must somehow make his parents meet and fall in love, or he won't be born!The second main quest in the movie is the technical problem of getting Marty back to the future: since in Part I the time machine runs on plutonium, and plutonium doesn't exist in 1955, they have to find some other way of generating the 1.21 gigawatts needed to get the car to 88 miles per hour and send it into time.The third main problem of the movie is that on the day when Marty got sent back in time, in 1985, Doc will be shot by Libyan terrorists for stealing their plutonium to run the time machine, unless Marty does something about it. A terrific feature of these movies are their climaxes: Part I is a terrific scene where Marty must hit the power line connected to the clock tower at 88 miles per hour at the precise moment lightening strikes it, involving a reference to a famous silent movie image, of Harold Lloyd hanging from a clock high on a building in Safety Last (1921).Back to the Future pulls a lot of old punches, uses a lot of traditional storytelling gags and devices that feel quite familiar, but its unabashed sense of fun, larger-than-life tone and ripsnorter premise make it the kind of movie you treasure and watch time and time again.","
            10/10
            "
"ofpsmith","4 October 2014","This movie is filled with ideas, jokes, and great characters. And it works on every level. Marty McFly (Michael J Fox) is a teenager living in the year 1985. He has a less than perfect life, as his parents George McFly (Crispin Glover) a nerd, and Lorraine McFly (Lea Thompson) a drunk don't connect. His two friends that we see are his girlfriend Jennifer Parker (Claudia Wells) and Dr. Emmett Brown (Cristopher Lloyd) a crazy scientist. When one day when Doc. Brown invents a DeLoeran time machine Marty inadvertently goes back to the year 1955 where he sees George and Lorraine as high school students. He also sees George's future supervisor Biff Tannen (Thomas F Wilson) and the current school bully. Marty has to meet up with 1955 Doc. Brown so that he can fix the DeLorean, hook it up to a lighting bolt to get the required electricity to go back to 1985 and prevent Doc. Brown from being killed by Libyan terrorists. As if that weren't enough things get worse when Lorraine becomes infatuated with Marty instead of George. Therefore this could prevent his own existence. So he has to get his parents to go to the dance together, fall in love, so he will even be a person. This movie like Ghostbusters will confuse the mess out of you if you think about too long. Just try to enjoy it. And this is entirely possible. This film is filled to the brim with funny lines, catchphrases, great acting, great characters, great jokes, and everything about it is great. Go check it out. Good stuff.","
            8/10
            "
"Coventry","29 June 2008","Few things are as difficult to accomplish as a movie dealing with time-traveling. To take on themes as risky as paradoxes and time loops you primarily need a healthy dose of courage and ambition, but most importantly loads of writing talent and cinematic vision. The scenario of ""Back to the Future"", courtesy of director Robert Zemeckis and co-producer Bob Gale, is honestly one of the most brilliant ones ever penned down and, thanks to the financial support of several acclaimed producers (including Steven Spielberg and Frank Marshall), it also became one of the most massively entertaining films of all time, with sublime special & sound effects, diversity of genres and some of the greatest casting choices and acting performances ever. ""Back to the Future"" is quintessentially speaking a Sci-Fi comedy, but Robert Zemeckis admirably also hints at the more emotional and melodramatic aspects regarding time traveling. Also, even though the film boosts some of the greatest effects ever, their use merely remains functional and occasionally, so that the emphasis continuously lies on the story and the development of the characters instead of on flamboyant machinery and overlong speeches about scientific theories. The DeLorean is a stylish and original piece of scenery, but other than the fantastic and already legendary vehicle there are no giant laboratories with thousands of flickering lights. Marty McFly is a typical mid-80's teenager with a skateboard he knows how to use and a delightful high school sweetheart that loves him very much. His parents George and Lorraine, however, are a pitiable and hopelessly old-fashioned couple and thus he spends most of his free time with his genius but slightly eccentric friend Doc Brown. The latter invented a time-traveling device and, following a series of bizarre events, Marty accidentally travels back to 1955; the year his parents met and fell in love during the school prom. Marty has only one chance to return to the future, but in the meantime he has to correct the events he tampered with in order to save the future and even assure his own birth. The script is very well constructed and literally stuffed with witty little details that refer to earlier events and/or events that have yet to appear, either later in the film or even in one of the sequels. The humor works, the light-headed tone and atmosphere puts a big smile on your face, you come to care for the characters and the awesome soundtrack even makes it difficult to remain in your seat. Michael J. Fox, Lea Thompson and Thomas F. Wilson all give away excellent performances, but my two preferred roles are for Christopher Lloyd (with his confused looks and bizarre facial expressions, he makes a superb mad scientist) and Crispin Glover. The latter appears to be born to depict weirdos and uncanny freaks, so the role of introvert and mysterious George McFly fits him perfectly.","
            10/10
            "
"Rainey-Dawn","27 October 2014","An outstanding sci-fi adventure - one of the coolest movies ever produced. Yes it's great to watch if you enjoy good comedy, science fiction and are interested in the concept of time travel.I was 13 years old in 1985 and, like most kids who watched this film, I wanted a really super cool time traveling delorean just like Doc and Marty. The idea of time travel will get you thinking and wishing you could go back in time. It seems like a lot of fun but the paradoxes that time travel could create might be a bit bizarre just as Doc (Lloyd) and Marty (Fox) found out.This sci-fi is a wonderful classic and is still great by today's film standards.10/10","
            9/10
            "
"mmallon4","21 October 2015","An aura of 'cool' permeates everything about Back to the Future. I could imagine seeing this film when it came out in 1985 (of course I wasn't alive) and watching Marty McFly riding through Hill Valley on his skateboard while holding onto the back of a truck to The Power of Love by Huey Lewis and the News and thinking to myself, ""omg, this is just the coolest film ever"". To me Marty McFly is the personification of cool, he rides skateboards, has a hot girlfriend, plays guitar. Yet his life is far from perfect; his dad is a dweb, his mum is an alcoholic and his uncle is in prison. This brings him down to a relatable level, plus he hangs out with a crazy old scientist. Why? I don't want to know. I like the mystery of not knowing how this unconventional friendship came to be. The technical jargon between Marty and Doc is a never-ending pleasure to listen and even lines which shouldn't be memorable are somehow highly quotable (""Wait a minute Doc, are you telling me that it's 8:25...dam I'm late for school!""). Likewise taking the coolest looking, commercially available car and making that the time machine is yet another stroke of genius. Notice the scene in which we see the DeLorean for the first time; it's impossible for Doc Brown to get inside the DeLorean while it is inside the truck so he would have had to get into the car and drive it into the truck and just wait there until Marty would show up and then drive it out and exit the car. I guess Doc thought he had made a time machine that looked so badass he really had to give it an impressive introduction to Marty. The whole movie has the best uses of product placements I've seen in a film; never before have I been happier to see advertisements for Pepsi and Texaco. The pacing of Back to the Future is perfect, the film never lets up; the odds keep stacking up against Marty and the suspense towards the end of the film is crazy.Even though most of the film takes place in the 1950's, Back To The Future is the film which defines the 1980's. The ending in which Marty finds his family has been changed for the better and he gets the 4x4 vehicle he wanted; it's a wish fulfilment fantasy and very much a capitalist, 80's ideal. It's an uplifting ending, providing you ignore the fact that Marty now has to adjust to living with a family he has no previous memory off. It makes sense that Marty goes back to the year 1955, the time period of when adolescence had a voice and began an economic force for the first time in history; plus just take a look at the title of what won Best Picture that year. Marty's mother being attracted to her son is weirdly funny plus his mother being the opposite of her adult herself; makes you question your own parents claims about their day. I'm always struck by the moment when Marty tell his relatives in 1955 he has two TVs and they think he's joking yet if you told someone in 1985 that households today own upwards of 6-7 TVs, they would have the same reaction.Star Wars, Indiana Jones and Back To The Future; to me these are the trilogy of trilogies. The three film sagas I can watch again and again, always notice something new on each viewing, discussing every character to no end, coming up with crazy fan theories and trying to find an explanation to any possible plot hole. I'm sure there are still plenty of subtle gags, use of foreshadowing and who knows what lurked within this film which I still haven't noticed. Is it possible for a film to be 100% perfect, one which has absolutely nothing wrong with it no matter how minuscule? I can't think of another film (or series) which has a better use of repeating images and motifs. If I could only bring one DVD to a desert island, it would be my trilogy box set so I could spend my time uncovering every last secret in the trilogy. I love how self-contained the movies are; there are so closely connected to each other and the perfect film trilogy to watch in one go (as I have done several times).But what is it that makes Back to the Future immensely beloved by such a wide audience? I can tell you why I love it but I have a weird and eccentric film taste. Perhaps it's due to time travel is something we all fantasize about, as well as the idea of seeing your parents when they were young. The themes the film explores such as family, coming of age, the generation gap and the optimistic message of free will, that our future isn't written; it's whatever you make it.To Be Continued...","
            10/10
            "
"OllieSuave-007","4 September 2015","One of the most iconic movies in cinematic history, where, in 1985, young Marty McFly (Michael J. Fox) travels back to 1955 in a time machine (named the DeLorean) invented by his scientist friend, Dr. Emmett Brown (Christopher Lloyd). In meets his high-school-age parents and inadvertently disrupts their first meeting; therefore, he must unite them in order to save their eventual courtship and marriage, and ultimately, Marty's own existence.Despite being an '80s film, the special effects team really did an awesome job in making the time travel elements seem spectacular but realistic-looking, especially the DeLorean.The direction by Robert Zemeckis was well-paced from start to finish, making the film engaging throughout, from Marty traveling back in time to save Emmett Brown to him meeting his future family. Seeing the transformation from the characters in present time to the past with Marty trying to patch things up in the past for a better future outcome are things that make time travel films brilliant. I also especially liked the dialog from the 1955 time-line, ""He's teasing you, nobody has two television sets!"" Spot-on acting by Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover and Thomas F. Wilson. They all made the film fun and entertaining. As a time travel film, this plot really has a race against time element that makes this movie that much more exciting and an edge-of-your-seat experience. A must-see for sci-fi fans! Grade A","
            9/10
            "
"brunovanael","16 August 2020","Every once a year (If we're lucky) something like this comes up. Pure brilliance. A killer script, memorably performances, iconic scenes,... an absolute must see even though outdated a few centuries later. This is what current CGI poofs lack. Swing, vision, stamina and a great script supported by visual effects instead of visual effects supported by ... uhm... nothing.","
            10/10
            "
"ssssgelojun","30 August 2020","The ancestor of time travel, the day after the imitation of the textbook. Every time You look at Zemecis's script, it's like a perfect answer to Field's play-beginning and end, how to grasp the contradictions, how to cover the details, how to control the rhythm, and how the dog is a gorgeous, flowing double setting at the climax that still looks exciting after 30 years.Although the concept of time travel is not carefully dealt with, back to the Future is a comedy about youth, imagination and growing up, while science fiction is a gorgeous coat with many echoes in it. The story about time travel has a wonderful sense of balance.","
            8/10
            "
"lesleyharris30","7 January 2013","Back to the Future is a fantastic movie with a very well developed storyline and an outstanding cast. I never grow tired of this film, I know the story inside and out now and I still happily watch it every time, laughing at the same parts, watching at the edge of my seat with others, it never gets old for me, it's a pure eighties classic, and one of the few movies that all generations tend to enjoy. The cast is fantastic and one of the most vital parts of making this movie work, they didn't seem like easy characters, particularly Marty and Doc, they have a lot of layers and certain requirements for portraying them accurately, but every actor nails their role, the script has some very funny bits, but also dramatic parts, and the cast succeeds in all areas of acting. The story is quite complicated, it has the concept of time travel involved, thrown in with a complicated love story, as well as a lot of necessary character development, but it manages to perfectly bring all of this together in a movie that isn't even two hours long, and it dosen't manage to feel any bit cluttered or overlong. Memorable lines, historical movie moments, outstanding performances, a beautiful script and stellar directing from the great Robert Zemeckis, I consider Back to the Future to be my favourite movie, I think all moviegoers should see it, it's a must watch. After ending up in the year 1955 through his friend Doctor Emmet Brown's time machine, Marty McFly must make sure his parents get together to ensure his existence after ruining the moment they fell in love. Best Performance: Christopher Llyod Worst Performance: Wendie Jo Sperber","
            8/10
            "
"bob the moo","4 August 2006","In 1985 teenager Marty McFly is a bit of an outcast and spends his evenings hanging out with eccentric professor Doc Brown and his various crazy and failed inventions. However when Doc asks Marty to meet him late one night in a mall parking lot, he learns that Doc has invented a working time travel system and inserted it into a DeLorean. Much to Doc's joy and Marty's surprise the machine works on its test run and Doc is all set to be the first man to travel in time when he is killed by the terrorist group who stole plutonium for him with the impression he was making them a bomb. Marty flees in the DeLorean but accidentally winds up back in 1955. Back there he convinces Doc to help him out and come up with a way of getting him back to the future. However the problem of no plutonium appears small when Marty changes the past and stops his parents meeting and falling in love.In its own way this is a classic film that delivers the goods in the same way as Frank Capra's films does although I can understand why for some it doesn't hold quite the same appeal. The plot seems complex as it involves time travel and such but it is deceptively simple and is a clever mix of sci-fi and romantic comedy that is as light and enjoyable as you could hope for. It never makes fun of itself but it never takes itself too seriously and by doing this it pitches it just perfectly. The narrative may be light but it is consistently engaging whether it is the time travel aspect or the relationships. It isn't perfect and it isn't the deepest of films but it is effortlessly a lot of fun and there is absolutely nothing wrong with that.The cast are roundly great and are a big part of the film being as light and fun as it is. For my money this is Fox's best all-round performance and he plays the clean-cut American teenager really well bringing energy to the character. Of course Lloyd's performance dominates the film by its sheer colour and energy, making him the most memorable character of the piece. Thompson and Glover (two people who still look young twenty years later damn them) are both good in their roles and work well together and individually to make their part of the narrative match up to the (superficially) more appealing sci-fi stuff. Zemeckis directs with an eye for a memorable shot and visually his film matches the style and vitality of the narrative.Overall a very good film that is every bit as pleasing as the Frank Capra feel-good films that are held up as classics. Whether this film is a classic is as much up for debate as those films' classic status but it isn't really a debate that means a lot to me. What matters is that the film is engaging and entertaining, which it consistently is. It glides through a slick plot and I always enjoy it when I revisit it. Well worth taking a look if you are after a great piece of family fun.","
            10/10
            "
"anaconda-40658","21 July 2015","Back to the Future (1985): Dir: Robert Zemeckis / Cast: Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Thomas F. Wilson: Inventive science fiction comedy about regret and change. It involves a time machine car that can propel into the future once it hits a certain speed. This is all explained through the crazed rants of Doc Brown before he is gunned down. Michael J. Fox stars as Marty McFly, a regular high school senior who dreams of success as a musician. At home he frowns on the fact that his father, George is constantly bullied by his high school rival Biff. Central plot regards Marty transporting back to 1955 to locate Doc and then reintroduce his future parents in a method that allows his father to sustain some dignity. The problem is that his future mother falls for him. Creative and charming with grand humour to boot. Director Robert Zemeckis gives it a nice appeal in the same vein as the famous Frank Capra classics. Fox brings a great innocence and desperation in his securing his parents as well as his own future. Christopher Lloyd as Doc, frizzy gray hair and all steals the film in his attempts to conquer time travel. Crispin Glover and Lea Thompson play the McFly folks in need of heavy reparation. Thomas F. Wilson provides much humour as the ruthless yet brainless school bully. It brings light to the fact that our parents were indeed teenagers once. Score: 9 / 10","
            10/10
            "
"taylorkingston","27 September 2014","I absolutely love this movie. It's one of my all time favorite movies. It' definitely in my top twenty. In this movie, we see Marty McFly and Doc, great friends, despite the age difference. Doc is a scientist, and Doc is just his nickname, given to him by Marty. His real name is Dr. Emmett Brown. And he has just made a successful time traveling machine. A DeLorean to be specific. That's right, he made a time machine out of a cool looking and futuristic car. But when Marty is accidentally sent back thirty years into the past, to 1955, lots of bad stuff happens. He meets his mother, who accidentally starts falling for her own son, without realizing it. And since he has altered the space/time continuum, he must get his parents to fall in love, otherwise, he's going to fade away. With the help of past Doc, he successfully gets his parents back together and gets home. And when he gets back to 1985, we find out that his life has been altered, for the better. I can't say enough how much I love this movie. It has such great cast including Christopher Lloyd and Michael J. Fox, with a great plot and lots of little future jokes.Overall, I give this movie a 10 out of 10.","
            9/10
            "
"tedg","25 March 2010","This year, John Hughes died, and we were reminded of the depth of his insight into subadult suspension. Being reminded of his work impressed me. What will we think when Zemeckis dies?Certainly we will be reminded of how he balanced fantasy and reality in all of his projects. Possibly it will be noted that he softened the Spielberg approach by unintuitively adding incoherence.I think I will remember two films: this one and ""Roger Rabbit."" These both are deceptively trivial. Was this the first mainstream movie that played as cleverly with time travel conundrums? It was not intended to spawn a sequel, and you can see that certain conventions were established that hurt the successors. But seen by itself, the idea of superimposing actors, characters and times in the same package works well. Makes this a gem.Notable is once again the scientist. You have only two types: pipe smoking, chin stroking blackboard thinker who explains, or what we have here. Lloyd is wildhaired, wild-eyed. A hardware guy, not an idea guy. An active risktaker, frantic in demeanor, but with apparently no sense of scope. For instance, he spends more time on a model of how to explain catching lightning than on the apparatus itself.The film revolves around his instabilities and mirrors those as instabilities in the world. It all starts when he bumps his head getting off the toilet, folded into his minute of death from jilted terrorists. Everything that follows is his wacky vision, joined by Marty when knocked out by the nuclear guitar amp.Ted's Evaluation -- 3 of 3: Worth watching.","
            10/10
            "
"SnoopyStyle","14 October 2013","Marty McFly (Michael J. Fox) is an average teen from a lower middle class family. His friend Dr. Emmett Brown (Christopher Lloyd) has invented a time traveling DeLorean. Dr Brown is about to travel back in time when the Libyans attack. Marty only escapes by using the DeLorean to go back to 1955. He changes history and must change it back before he disappears all together.Robert Zemeckis has woven together a wonderful charming story. It's perfectly constructed time loop. It certainly is one of the best feel good movie. Michael J Fox is the perfect guy to play the boy next door character. His interaction with his mother Lea Thompson in the past is wonderfully hilarious and Christopher Lloyd is perfect as the oddball scientist.","
            7/10
            "
"paul_haakonsen","27 March 2019","The 1985 movie ""Back to the Future"" is definitely a timeless - pardon the pun - classic. It truly is a movie that has withstood with the trials of time and proves to be a movie that you can watch again and again and it actually never loses its appeal or charm.Writers Robert Zemeckis and Bob Gale managed to put together a very original story here, one that captivates the audience from the very beginning and keeps a grip on the audience until the very end. The story told in ""Back to the Future"" is a story that has so many aspects and so many topics that there definitely is something that appeal to everyone in the audience; ranging from romance, action to science fiction.There is a great pacing to the movie, and director Robert Zemeckis ensured that the movie never left momentum or dropped down in its pacing. This definitely made the movie all the more enjoyable and certainly ensured that the movie can be watched again and again.The movie is packed with great actors and actresses. Of course the movie is so phenomenally well carried by Michael J. Fox in the lead role as Marty McFly, and he definitely made that character lovable and memorable. But right up alongside Fox was Christopher Lloyd in the memorable role as the eccentric Dr. Emmett Brown. Who can't claim to be familiar with the expression ""Great Scott!""? Furthermore, the movie also brought along Lea Thompson, Crispin Glover and Thomas F. Wilson, whom individually also brought a lot of contents to the movie with their appearances and performances.I can't count the number of times that I have watched this movie, nor the other two in the franchise for that matter. But the original 1985 ""Back to the Future"" is a classic in every meaning of the word.While the movie is from 1985, then the special effects still holds solid even in 2019. Sure they wear symptoms of aging, certainly, but still the special effects are quite good. And back in 1985, they were off the charts.If you, for some unknown reason, never have gotten acquainted with ""Back to the Future"", then shame on you. This is a movie that you HAVE to watch. ""Back to the Future"" is one of those movies that you need to watch regardless of your age, creed and standing.","
            9/10
            "
"Hey_Sweden","28 January 2021","Marty McFly (Michael J. Fox) is a typical teenager of the 80s, albeit a kid with a friendship with a kooky scientist / inventor named Doc Brown (Christopher Lloyd). One Saturday, very early in the morning, Doc unveils his latest invention: a time machine (fashioned out of a DeLorean) that actually works! When Marty is forced to get inside and take it for a spin, he is transported back to 1955. While temporarily trapped in the past, he manages to interfere in what would have been the fateful union of his parents (Lea Thompson, Crispin Glover). So now his problems are twofold: getting back to his own time AND making sure that his parents get together. Otherwise, HE won't exist!""Back to the Future"" is one of the great, iconic 80s films, a blissfully wacky time-travel comedy that gets a lot of mileage out of plunging the affable Marty into a different time period. Here, he has to learn how to blend in so he doesn't stick out so much. The ingenious script is courtesy of director Robert Zemeckis and his writing partner, Bob Gale, which comes up with plenty of great scenes and some hilarious lines. ""Why are things so ""heavy"" in the future? Is there a problem with the Earths' gravitational pull?"" The period recreation, done on the Universal backlot, is tons of fun, the music score by Alan Silvestri is tremendously good and memorable, and fairly decent makeup transforms a few of the actors into alternate ""past"" and ""present"" versions of their characters. Although running a little long at just under two hours, ""Back to the Future"" wastes little time, managing to hold your attention while it gets up to its top speed.The cast couldn't be better. Fox is extremely engaging as our flustered hero, and Lloyd is just a delight as the guy who gets the ball rolling in terms of plot. Thompson and Glover are endearing, even if the latter can't help but inject some of his standard eccentricities into his role. Thomas F. Wilson is a riot as swaggering bully Biff. ""Why don't you make like a tree...and get out of here."" The supporting cast is full of familiar faces: Zemeckis regulars Marc McClure and Wendie Jo Sperber as Marty's siblings, Billy Zane and Casey Siemaszko among the members of Biffs' gang, George DiCenzo and Frances Lee McCain as Lorraines' parents, James Tolkan as slacker-hating principal Mr. Strickland, Will Hare as old farmer Mr. Peabody, Buck Flower in one of his many hobo roles, etc. Music star Huey Lewis, who performs the films' hit song ""The Power of Love"", has a cameo as a teacher who tells Marty that his bands' music is ""too loud"".With a high energy level, a large amount of humour that actually works, and excellent visual effects by those pros at Industrial Light & Magic, ""Back to the Future"" has proven to have real legs in terms of its enduring entertainment value.Followed by two sequels and an animated TV series.Eight out of 10.","
            10/10
            "
"LeonLouisRicci","2 October 2017","One of the most Popular Movies of all Time. It is a Safe, Feel-Good Family Entertainment from Spielberg's Sublime ""Suburban"" Playground of Hits. It's the Backdrop the Master Manipulator Finds His Mega-Money-Makers the most Often.Robert Zemeckis was Hired to Direct based on His often Rejected Script (with Bob Gale) that Spielberg recognized as something Special.And Special it Turned Out to be. It has a Great Cast of Comedic Talent (Michael J. Fox, Christopher Lloyd, and Crispin Glover) feeling right at Home with the Story, and some Nifty State of the Art SFX.The Movie is a Slick Fun Time with all the Elements coming Together to make it an Ensemble Piece of Family Fodder that Charms with a Fast Pace, a bit of ""Fish Out of Water"" Edginess. Lea Thompson's Endearing Turn as Marty McFly's Mother is Great, but Nothing here will ever be Considered High-Art. Just a Clap-Trap Pleaser (Spielberg's Specialty) with High Commercial Value.The Product Placements are Over the Top.But the Many Pop Cultural References from the 80's and the 50's Assured, at the Time, that a Parent and Child from 1985 (the Heart of the Movie), can Enjoy this one Together, Dare it be Said, Into the Future.","
            10/10
            "
"Ian-7190","9 March 2013","Back to the future is probably one of the best movies if not the best movie I have ever seen. This movie is just fantastic, awesome and flawless. The action and suspense of this movie still excites to this day. You can watch this movie over and over again and still be thrilled. Most likely This is easily one of the best movies ever made. A must watch movie for anybody, any age, even if they aren't a very big movie person. Not much more to say.The movie has almost no flaws at all, and will not disappoint anybody who views it. A true classic that will endlessly entertain anyone. Overall a truly entertaining, memorable and amazing movie with very few flaws. Ten out of Ten stars.","
            10/10
            "
"Petey-10","18 February 1999","Back to the Future is one of the best movies I have ever seen. Michael J. Fox and Christopher Lloyd do a great acting job in it and so do all the other actors. Tom Wilson is great as Biff. All the parts of Back to the Future trilogy are great,and if they made BTTF4,I bet it would be great too. This movie is worth watching many times.","
            10/10
            "
"KUAlum26","12 March 2006","HAve you ever had a movie experience from years before(let's use as an arbitrary number,five years or more)that was so vivid,so exhilarating that you could recall what day,time and even things as seemingly easy to forget as the smell and tastes of the popcorn and soda you had at the movie?For me,that was this movie,and I recall seeing it on a Sunday afternoon in July,1985. The noise and visuals were so electric that I enjoyed this film immensely. My only regret about the experience was that I didn't get a chance to redeem the ""Free Pepsi with purchase of large popcorn""discount coupons they were giving out that day!In a pleasant,average California suburb,ordinary teenager MArty McFly(Michael J.Fox,who was a youngish 24 when he filmed this) dreams of being a rock guitarist as he works his way through school,helping out brilliant-but-fringe local scientist Dr.Emmitt Brown(Christopher Lloyd,adding to his wide range of characters). When an unforeseen crisis interrupts Doc Brown's breakthrough time-machine revelation,MArty is thrust into the machine and becomes the unwitting first participant in time-travel. As if that weren't harrowing enough,he's just found a way to break up his younger parents BEFORE they met and now he has to feverishly find some way to get them back together,lest he and his sibs will never be born.If you can suspend some level of disbelief while watching this(and,really,when SHOULDN'T you suspend some disbelief when watching Spielberg/Lucas/Zemekis style of sci-fi films?),this film is as smooth as silk and one fun ride! Besides Fox and Lloyd,Crispin Glover(lovably strange and pathetic as Marty's once and future dad,George),Lea Thompson(cute and vapid as once and future mom Lorraine)and Thomas Wilson(thick-headed bully Biff,who is a lost treasure here,too) are excellent in fleshing out the characters that stick in one's mind regarding this film. Heck,Old MAn Peabody,Goldie Wilson,Jennifer PArker,MArvin Berry(cousin of Chuck)and the persistently bald and serious-as-heart-attack high school principal all add their own flairs in this movies persona. Robert Zemekis parlayed his ""Romancing the Stone"" success to create an even larger-than-life action-fantasy-comedy,with help from plenty of sight and sound FX and a hugely energetic soundtrack anchored by Huey Lewis and the News(remember them?). This film isn't just a renter,this is a keeper! Most people with a sense of fun who long for the eighties movies that accented style over dark or haunting substance should definitely buy this one,tape or DVD.","
            9/10
            "
