"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"gvlchev","20 May 2023","What at the beginning of this franchise(apparently) was quit illogical and physically impossible but some sort of charming now is long gone. It is exhausting to see so much action. I get that is the the formula to make box office success but still thinking that there is a better way to make highly dynamic scenes and to balance the whole movie with meaningful plot and dialogues. This big ball-bomb scene in Rome reminded me of a game that I used to play with similar but smaller ball that you had to move to the end. Anyways. A lot of chewed topics. A lot of cringe. Unsuccessful villain and hoping he doesn't become one of the good ones in the future movies. Honestly hoping there isn't any new parts of this torture.","
            5/10
            "
"jamesfirass","14 June 2023","""Fast and Furious X"" incorporates Bollywood cliches and Bollywood Physics to create an over-the-top, action-packed experience. The film embraces the exaggerated and larger-than-life elements commonly found in Bollywood movies, which may appeal to fans of the genre. However, the movie's heavy reliance on these cliches and exaggerated physics can hinder the overall viewing experience for those seeking a more realistic or grounded film.The plot of ""Fast and Furious X"" likely follows a similar pattern to previous installments of the ""Fast and Furious"" franchise, with a focus on high-speed car chases, daring stunts, and extravagant action sequences. The storyline might involve a group of charming and charismatic protagonists, a love triangle, and family drama, all of which are common tropes in Bollywood films.In terms of the action sequences, the film may take liberties with physics, featuring gravity-defying car jumps, impossible maneuvers, and unrealistic feats of strength and agility. These exaggerated physics are intended to create a sense of awe and entertainment, but they may stretch the boundaries of believability even within the realm of Bollywood cinema.While ""Fast and Furious X"" may entertain fans of Bollywood movies and those who appreciate over-the-top action and exaggerated physics, it might not resonate as strongly with viewers seeking a more grounded or realistic cinematic experience.","
            1/10
            "
"ajikude","14 June 2023","Just really bad script bad dialogue bad woody corny acting, jokes not funny, the CGI was way too much and just ridiculous unbelievable unlogical scenes and ridiculous not believable action sequences. Totally unrealistic and the dialogue is so dumbed down. The plot is predictable. Then you have Aquaman guy acting copying the bad cop guy in Leon the Professional as if he was some 'conductor' or evil .John Cena was just bad acting. The serious action scenes were laughably unbelievable and sill and ridiculous. The cinematography is haphazard. The directing is just bad and the casting is worst I ever scenes. Absolutely no laugh out loud scenes. And like I said all the action was just ridiculously bad.","
            1/10
            "
"and_mikkelsen","19 May 2023","Yeah! His character and performance was without a doubt the best part of the movie! He steals every scene he is in and whenever he is around, the movie is just a little bit better! Kind of like when Dwayne Johnson stole the show in Fast 5 and Jason Statham stole the show in Furious 7!Sometimes all you need in these kind of movies is an over the top evil, insane villain that just does whatever he wants and enjoys everything he is doing! Overall his inclusion helped the movie as it rose the stakes and made everything more personal and dire as we are in the endgame now!The movie also has some great action but not completely ridiculous or out of this world like cars flying in space!The last part of the movie was really good and the cliffhanger ending made me excited for the next fast movie! Something I wasn't efter the last movie!","
            7/10
            "
"Silicone54","14 June 2023","With many a-list actors and a whole crew of b-list supporting cast no wonder they could only afford to do most of the movie in studio. A majority of the scenes were bizarrely dull and sterile. There was no way to avoid noticing the flat appearance of the sets.The CGI scenes of the chase scenes were plain awful. While they may excite a 7 year old most adults have seen much better special effects. The bombing of the dam was the most ridiculous scene. I've never knew an explosion could cause lava like flames to chase a car down a straight wall. I remember something weird science like heat rises?Jason Momoa's character was kind of irritating because he's supposed to be flamboyantly gay maybe? He and John Cena were the only memorable actors. The rest of the cast were lost in a big whirlwind of car chases.This is Fast & Furious so don't expect an actual story. Its all about cars and explosions. Unfortunately, too many actors salaries and little cash left for real sets made this difficult to enjoy.","
            3/10
            "
"guybarnes-16389","11 August 2023","Ahhhh furious, you've come along way from innocent street races in the streets of La, fast 9 was hilariously ridiculous and fast X did not disappoint, from the extra cheese family moments and con disels stiff acting like he's apart of a 90's family day time drama, to the bomb that gets found by ludcris that twice the size of the atomic of bomb in the back of the truck that gets loose in the streets of Rome that sets a light and then becomes a rocket league match, Jason mamoas frivilous evil play boy routine and eastwoods line where he's comparing not being able to swipe right on hand profile because the network is down really sets the tone, It's hard to make Charlize Theron bad but fast x delivers! Great watch on a Friday night for a laugh with friends! Definitely recommend.","
            3/10
            "
"henrik_piano","25 August 2023","I remember when I laughed at Fast 1 for 31 speed gearbox and a quarter mile drag race being 10 miles and a 100 technical nonsense. When I thought Fast IX was so bad it makes Transformers seem intellectual, they somehow manage to go lower. I started groaning at the first car chase. After that it's all downhill.The overall plot is *ahem* fair I guess. You have probably figured out that Jason Mamoa is after Dom & co. More than that is hard to explain without starting to give away spoilers or, more so, start raving about the gargantuan plot holes. James Bond has nothing on Fast X in terms of ""WTF's"". Marvel superheroes? HA! Sissys in comparison! So what spoilers you think if the story is so bad? Well there are a few but they're only surprises because of the lack of any sense of logic.By now you're probably wondering why I didn't give it just one star? There are a few minuscule savings graces. 1) Jason Mamoa makes a descent villain/psycho. Not Hannibal Lecter class but far from bad under the circumstances. 2) The cars. I'm a sucker for old muscle cars and there's plenty of them.I was hoping that this would be the end as Vin Diesel first said but it's obviously not and even if I have a free viewing next time as well I'll spend my time on something more interesting. Knitting perhaps...","
            3/10
            "
"sscmst","26 July 2023","Can someone please explain how Little B is now black, when neither parent is and when he was introduced in Furious 7 (or 8, can't remember), he was most definitely white??? WTH???Also, read the story synopsis and this movie sounds SO confusing (glad I read that, now I won't waste my money). It talked about villains and stories from earlier F&F movies and honestly, I can't keep up with all the characters/villians. And what's the story with constantly bringing people back from the dead (Han? Gisele?). That gets really old really fast and just not believable (just like a car jumping between buildings in Abu Dabi) 🙄
Now, Vin Diesel says there will be a Fast 11?? When will this all end?? When they are all racing each other in wheelchairs??","
            5/10
            "
"TomTalksFilms","19 May 2023","You know when a director like Tarantino or Nolan put out a new film and you've had to wait a while so it's a big event..... Anyway this is my review for Fast X . It feels like we've had a new fast and furious movie every two years for forever and at this post nothing is off the table in terms of balls to wall action and stunt work. Fast 9 may have gone up high into space however I think most people are in unanimous agreement that it was a new low for the franchise, despite this the film did well at the box office and well here we are with a 10th instalment and it's more of the same. The story is simple, the villain of the film Dante (Jason Momoa) isn't too happy about something that happened in one of the previous films (no he didn't just waste his time like I did by watching fast 9) and so he's decided to not just kill but make Dom and Co suffer because 'never accept death when suffering is owed'🧀. This leads to the usual over the top action fiasco which we go to see these films for as Dom and Co try to defend themselves. Groups of characters end up getting split up and have their own plot lines however despite there being a lot going on in the film it still feels empty and not several hours after coming out of the cinema I've forgotten most of the sideline plots. Some of the characters also get more screen time than others which could disappoint people who have favourites. That could all be forgiven if the action is good right? As after all that's what people are going to these films to for. The first 90 mins I was throughly enjoying this film, there's a bit of build up then a big action scene (the best in the film) but then it calms down after that and really tries to delve into what little plot there is which really didn't work me. I also felt a lot of the action scenes were spoilt as if you've seen any of the trailers then you can pretty much piece together exactly what happens in the full film. The only thing that was a surprise was the mid credits scene which is worth sticking around for. The first half of this film is enough to make it not the worst in the franchise however it's far from the best and Fast and Furious definitely feels like a franchises who's best days are behind it. As we brace ourselves for two more of these films I suggest we take a deep breath and think happy thoughts of Oppenheimer.... Actually that sounds a bit wrong 😬.","
            6/10
            "
"Danula_Balasooriya","17 June 2023","Fast X, the latest installment in the highly popular Fast & Furious franchise, unfortunately falls short of its predecessors. This action-packed spectacle, disappointingly, is not worth watching for fans or newcomers.One of the major setbacks of Fast X lies in its weak and unoriginal storyline. The plot lacks depth and fails to engage viewers on any meaningful level. It follows a predictable and formulaic structure, offering no surprises or innovative twists. The narrative appears to be a mere excuse to string together a series of action sequences, ultimately leaving audiences craving for more substance.The acting performances in Fast X also leave much to be desired. Despite the presence of a talented cast, their abilities are underutilized, resulting in lackluster performances. The characters feel one-dimensional and fail to connect with the audience emotionally. This lack of depth hampers any potential investment in the story or its protagonists.While the film does showcase a few noteworthy action sequences, they pale in comparison to the exhilarating set pieces that fans have come to expect from the Fast & Furious franchise. These moments offer temporary excitement, but they are not enough to salvage the overall viewing experience. Fast X lacks the awe-inspiring stunts and jaw-dropping spectacles that have become synonymous with the series.Inevitably, comparisons arise between Fast X and its predecessors. Unfortunately, this latest installment falls far short of the high standards set by the original Fast & Furious movies. The charm, charisma, and camaraderie that made the franchise a global phenomenon seem sorely absent in Fast X. It fails to capture the essence that endeared fans to the series in the first place.In conclusion, Fast X disappoints on multiple fronts. With a lackluster story, underwhelming acting, and only a few redeeming action sequences, it fails to make a lasting impression. As a fan of the Fast & Furious franchise, it is disheartening to see this latest entry miss the mark. I would recommend revisiting the original films rather than investing time in Fast X.","
            4/10
            "
"mohsinrr","16 September 2023","Here we go again with the family and the cars and men in there late 40s and 50s solving problems by driving irresponsibly. The movie felt like it kept on going and going with no end in sight. Super weak plot, random actors being thrown in at random points in the movie to keep audience interested, clearly no one was even slightly phased. With regards to car stunts, they felt weak or may be we have seen them all so there is no """"ooooh that was sick"" moment. Even the souped up cara that are the focal point of this series lacked performance. I better not see ads for any more of these movies... but I feel like they will reignite the series with brand new cast as they kept referring to ""the next generation"". Stop... please just stop.","
            2/10
            "
"mohnomachado","18 June 2023","Fast X is one ridiculous ride that requires you to turn your brain off, and then voluntarily proceed to lose brain cells in order for it to be effective. Mamoa tries his best with a laughable script, but this is a mess of a movie to say the least. I'm not kidding when I say one of the plot points is that Mamoa's character wants to blow up Vatican City. His reasoning is simple: cuz why not. And honestly that was one of the more understandable character motivations in this movie. Vin Diesel and the rest of the cast just look tired at this point. I will say that some of the locations were nice to look at, but I'd give this one a hard pass. If you want to save your time, watch Fast Five and call it a day.","
            4/10
            "
"kjproulx","19 May 2023","The Fast & Furious franchise is one that I have been following since the first film back in 2001. I always give this franchise the benefit of the doubt. I have at least liked all of the movies, even loved a couple of them, that was until F9 in 2021. It has now become a thing to expect that these films will try and outdo the previous installment in terms of insanity, but F9 truly felt like they took everything all the fans had been joking about and just did it all. It went beyond ridiculous to even enjoy. Thankfully, now that Fast X has hit theatres and I had the chance to check it out, it has put the franchise back on track for me, even if it is still almost too ridiculous (stupid might actually be a better word, but in a good way).Directly connected to the events of Fast Five, Fast X picks up ten years later, as the emergence of Dante (Jason Momoa) begins. He is the son of the man they robbed and killed in Fast Five, so obviously he wants revenge. It's actually pretty seamless how they tie it all into that film, reusing old footage and adding new. My only issue with this storyline is that it took ten years for Dante to actually seek the revenge he wanted. Sure, let's just roll with it because if you don't, you'll probably hate the rest of this film too. People have come to expect the ridiculous here, as I said, so as long as that's what you go into this film looking for, you may just be as satisfied as I was.The bombastic action sequences are once again dialled up to a million, but it was nice to see an actual race sequence, even though it felt a little short. The main reason to see this film though, if you're a fan or not, is Jason Momoa. His performance here may just be my favourite of everything I've seen him in. The flamboyance he exudes had me laughing and fearing for the crew all at the same time. I enjoyed the entire cast as always, but Momoa just stood out over everyone else here.I should also mention that you shouldn't be expecting a completed story. Fast X is clearly the start of a bigger storyline to come, as the film ends fairly abruptly with no resolution at all. Almost in an Avengers: Infinity War style, I really want to see what comes next. There are quite a few promises in this film that excite me, so I'll remain optimistic for an awesome conclusion. Let's be real though, Fast X is very, very stupid.This film doesn't hold back in throwing the impossible at you. From Dom flipping over a car with one arm to driving down a dam Hot Wheels-style, it's absolutely bonkers. Again though, it felt like a breath of fresh air compared to the lunacy that happened in F9. Nobody stays dead in this franchise either. There are some big surprises throughout the film, but I'm still not sure how I feel about one of them in particular. It borders on ruining storylines from the past, so there better be a nice explanation in the subsequent movie. Look, I had a great time watching this stupid film with characters I've grown to love, so sue me for reviewing it positively. It has fully embraced everything anyone has ever said about this franchise, so at this point, you should know what you're getting yourself into. If you like these films and are up to date, I say check it out. I had a blast.","
            7/10
            "
"MaheshPanth","18 May 2023","I just don't like the story. These two stars are only for the action shown in the film. Yeah, if you want to test your patience and keep your brain behind, you can go check out this movie. But, just on the basis of action only, I don't find it entertaining at all. Overall, complete boring film. If there were no bigger stars used in the movie, this would have been a total flop. They sold this movie just on the basis of star power and some action scenes only. I don't know what to write next. I am totally disappointed. The makers invested so much money on the stars and graphics but the movie could have been a lot better if they invested one fourth of the money into a better writer. In the theatre, I was like, how do I even complete this movie? I might offend a lot of fans but personally, I find this movie boring. Maybe, my taste is different to what people see in the west but I watch movies for story. Action, it's cool. But, I can still watch a movie full if there's no action but the story is engaging and interesting. This story I just saw in Fast X, I have seen it many times already, just a slight changes and nothing new. As a movie lover, I didn't enjoyed this movie. Still, hats off to the team behind action scenes. They are the only one who deserve appreciation.","
            1/10
            "
"themoviedude_2000","20 May 2023","My favorite part of the movie is at the end when the dam exploded and Dominic looks right at the camera, breaking the 4th wall, and says, ""it's a good thing it's Toretto Tuesday"" then puches the water back into the river with his fists then gets into his Charger and does a series of donuts to make another dam saving the nearby village from disaster. The dance number in the credits was amazing as well.Can't wait for the next three to end the series. I don't think this one can be topped however. The water punching and the lasers are going to be hard to beat.Again, the ""It's Toretto Tuesday"" line is amazing.","
            1/10
            "
"shenamere","23 June 2023","The racy background music starts once the pop music ends. Fortunately, no expletives are endlessly repeated. I guess the movie wants to maintain its PG rating. Fast X plays out like a story line created by 13 year olds. And then, and then, and then. It is SO predictable. The product placements, the locations, the bad CGI, the lame ""acting"" are just good enough to make it an OK movie for a rainy day. Poor Rome, or at least what is supposed to be Rome. The ""go-to"" place for trying-to-be-trendy movies. This isn't a Bond movie and there certainly isn't any class happening by Ian Fleming standards. Why are all the caucasian characters looking as though they have been gilded? The fake tans are just cheap. The heavy eye liner makes the female characters look like racoons. But then again, the movie is clearly targeted to the 10 - 15 year old set and there must be a video game or something to keep up with the score.","
            4/10
            "
"TheOneThatYouWanted","21 May 2023","They called it the last ride because they know it su@ks and the needed to su@ker people in to see it after the last moronic film. I don't even know where to start. I don't even want to start. If I had a time machine I would have just read the Wikipedia summary and called it a day. Bad actress who can not act for sh(t is in this film but I can not tell you who it is or else that would be a spoiler. Did I mention she is a awful actress? Vin Diesel does say the word family in this one, quiet a few times. It might have been a fever dream but I think he might have somehow said the word family about ten times during a five word sentence.My summary:
The action su@ks
The plot su@ks
Some of the actors su@k
The movie su@ks.","
            1/10
            "
"simplygk","22 May 2023","If you like physics defying driving sequences, a horrible plot and the excessive use of the word ""family"" then this movie is perfect for you... the whole movie was just one gigantic mess. I understand it will continue on in the next movie but so many characters just vanished from the movie without any indication that that would be the last you'd see of them in this movie. And I honestly don't get all the reviews saying Jason Mamoa carries this movie, because he doesn't. His character is such a disaster, he seems to start off as a fairly normal villain then suddenly starts acting and dressing like a 12 year old girl. I honestly thought the franchise couldn't get any worse after fast 9, but boy, was I wrong. Theyre honestly just flogging a dead horse with this franchise now. Completely disappointing.","
            2/10
            "
"masonsaul","19 May 2023","At this point in the franchise you know exactly what you're getting with a new Fast and Furious film. A previous film will be retconned in some way to make it even more hilariously convoluted, the family will get even larger and whole thing will act like the biggest and dumbest B-movie telenovela currently going.Judged against the other F&F films though, Fast X improves quite a bit over F9, fixing a fair few problems with a superior antagonist and a tighter run time. Even though it struggles to give all of its characters something to do it remains a great blockbusters that's unashamedly silly, loads of fun and gets the franchise into its endgame in satisfying fashion.Vin Diesel gets to show a lighter side to Dom early on that's really sweet before returning to the usual overly serious presence that still works. John Cena is way better here, finally allowed to play to his comedic strengths and his adventure with Leo. A Perry is the most enjoyable subplot of the movie.The standout performance is easily Jason Momoa. He's by far one of the best villains of the whole franchise and possibly the best. So flamboyant, playful and clearly having an absolute blast. Really leaning into his characters insanity and giving the Fast franchise its equivalent of the Joker.Louis Leterrier's direction is really good, he keeps the multiple subplots moving along nicely and overall brings a mobility to the film that avoids it feeling overly familiar or stale. There's also a nice Transporter 2 reference that proves he was an inspired to choice to make one of these as it fits in perfectly with their over the top nature.The CG looks really cartoonish once again and just like last time it kinda works in its favour and makes every set piece even funnier in its absurdity. The music by Brian Tyler carries over everything that was created in the previous score as well as bringing back the themes that were sorely missed in that one.","
            8/10
            "
"FlashCallahan","21 May 2023","Over many missions, jumping numerous sharks, and against impossible odds, Dom Toretto and his family have outsmarted and outdriven every foe in their path. Now, they must confront the most lethal............and campest opponent they've ever faced. Fueled by revenge, and nail polish, a terrifying threat emerges from the shadows of the past to shatter Dom's world and destroy everything -- and everyone -- he loves. It's all about family you know.....The fast and furious franchise is a wonder of creation. The first movie was nothing more than a remake of Point Break, and the first two sequels were pretty bland. But then something almost miracle like happened. From the fourth movie being released and removing the word 'the' they just kept getting bigger, and earning stupendous amounts of money in the process. This never happened to Police Academy......After the decidedly dodgy Fast 9, I thought the franchise has finally ran out of gas (or petrol if you're from the UK). But obviously they knew that number nine was terrible, and decided to go back to the formula that made 5-8 so enjoyable. And love or hate this franchise, its a hoot from start to finish.The script is terrible, and if you take a drink anytime someone says family, you'd be up to your neck in empty Corona bottles. But it's so big, so stupid, so action packed, you cannot help but be pulled into the whole thing. If, like me, you were brought up on a diet of Annie, Stallone, Van Damme, And Seagal, big and silly films are mothers milk to me.The plot is basically Momoa mugging and chewing scenery whilst threatening Dom and crew in the campest way possible. And that's the plot. The gang split into groups to cover more ground and set pieces, and familiar faces pop up every now and again, just to remind you that they are part of the franchise. We get new characters with Brie Larson and Jack Reacher, and to help them, they have a scene where they literally watch clips from the previous films, and it's fine, because it's silly, but somehow absolutely fine.The action is big and as silly as ever, but it's fine, because it's Fast and Furious, and fans of it will lap it up, because they are fans. WE are fans. Non-fans of the franchise won't like it, but they will pay good money to see it and not like it, because some people are just like that.There are a few minor quibbles. Sometimes the effects are god-awful, especially the green screen, and for a film with a budget of $340 million, that could have been avoided. And Diesel looks like he's been de-aged in some parts, especially at the beginning when he is talking to his son.But aside from that, it's a fun night at the movies, and fans won't be disappointed. It's not for everyone, but hey, it is what it is.And there is a wonderful mid-credit sequence, which has been spoiled by everybody, but it's still pretty brilliant.","
            8/10
            "
"nscoby93","19 May 2023","Part 1 to the conclusion of the Fast and Furious franchise is just bad.I'll make this quick because I don't care to write too much about this film.This movie has no narrative structure, jumps around from a group of characters to a group of characters, with some of these groups serving no purpose to the ""plot."" I use that term loosely because there isn't one.This latest installment in the franchise is like all the bad Marvel films wrapped into one movie with some cool things sprinkled around, and note I say cool, not good things.But it's Fast and Furious. Nobody shows up to a F&F movie for intricate plots and groundbreaking storytelling. We show up for fast cars, action, explosions, fast cars again, and hot chicks.And that is exactly what holds this assault to the senses film up, cool, ridiculous, over the type, and explosions that could almost make Michael Bay blush.Then what gives this movie that extra point and this is 100% a personal thing, but my girl who I thought would never return to the F&F franchise made a five second appearance, and I lost it! I swear I will fanboy over this woman til the day I die. I refuse to say who as to avoid spoilers.Anyway Fast X was everything I anticipated it to be at this point with the Fast franchise over the top, and ridiculous, but even that can't save a poor script, bad writing, and horrible storytelling.IMDb: 3/10
Letterboxd: 2/5Watched in Theaters.","
            3/10
            "
"hnsnn","6 July 2023","Louis Leterrier, Dan Mazeau, Justin Lin and Zach Dean made too big mistake. The bad man in this movie (Dante - Jason Momoa) is showing himself happy, trying to be funny, dancing and moving as a comedian. Such acting is not acceptable because this movie is action movie with sad story, we see poor kid. There isn't genre Comedy for this movie.Technically movie looks well, i mean there are explosions, many locations in the world, driving etc. But all this doesn't mean anything to me because Dante's behavior is bad. Another bad part in this movie is that mission for saving kind isn't over, looks like boss of this movie making company wants to create Fast Y.","
            3/10
            "
"xx-69641","28 June 2023","Someone should tell Vin Diesel to stop, Enough is enough, They look old and tired, and honestly? We are tired of this, so, it is time to call it off.FF4 was the last good part of this, FF7 was a great point to call it off and end it all, yet Vin kept doing it to the point where it doesn't make any sense no more!Vin Diesel NEED to KNOW:Playing Rocket League in Rome is DUMB.Keep acting like he is in his 20s is DUMB.Bringing back DEAD people time after time is DUMB.Keep on repeating the same plot every time is DUMB.Going to OUTERSPACE and DEFEAT a NUCLEAR SUB is DUMB.By this point, I think we all should urge Vin Diesel to STOP THIS MADDNESS.I feel like the 1 star is more than what this ""Movie"" deserves tbh, its the same old same plot but with different cars and different locations, with the same ""now old and tired"" faces.","
            1/10
            "
"info-87296","28 June 2023","Never been a very huge fan of the FF franchise, but it's getting worse every single film !This ""movie"" has it all : Vin Diesel who's half the good actor he's never been (what a crap performance !), the story even todlers wouldn't believe, a lot of errors in the story, so called famous people who don't know how to act in a B-movie (Cena !) and a looot of sentimental BS about friendship, family (yawn) that we've heard over & over again throughout his stupid franchose.1 positive note : Jason Mamoa. This dude is acting every single charactar back to nursery class. GIve this man the leading role instead of old boring Diesel.Conclusion : a true waste of time, how people rate this a 10 is a mystery to me. Or they nag on and on about family & cars in the elderly home with Vin Diesel. Please retire dude, you're clearly finished.","
            1/10
            "
"viantyara","18 May 2023","After F9, I did not put any high expectations towards this movie. I mean come on, a gang of street racers, was the top choice by government to stop terrorist attacks? Don't they have special forces? So yeah, lower your expectations because I'm glad I did. And it turns out to be more fun that expected. Hear me out, the movie still lacks of logical explanation for its action scenes. Physicists will cry watching this movie. Put your logic aside and watch it for fun, it's great. Jason Momoa's character was surprisingly good! The villain's plan was so much more malicious than previous ones. The soundtracks, like usual, does not disappoint. Cinematography is nice as well! What disappointing for me is Brie Larson's character. A waste potential. I don't know maybe her role will be bigger in the next part.","
            7/10
            "
"tgurnsey-1","20 June 2023","I've been a fan since I sat in the theater for the first movie. But in my opinion when Paul died and his character drove off..we all said goodbye. That should have been the final movie. It's never been the same and has never felt right without Paul.The storyline since haven't made any sense without Paul. There is no way he wouldn't be right there but Mia would? It's ridiculous.But of course it's only about the money and the stories just get more and more over the top.It's disappointing because the legacy of these films will be forever about the greed and seeing how many more films they can squeeze out.","
            5/10
            "
"gillespiesan","19 May 2023","What is there left to be said about the F&F franchise? Surely to god everybody knows what to expect by now, nobody could possibly be surprised by what's on offer. If you've been along for the ride this far, why would you find anything to moan about now? It all got super silly a fair while ago and if you've decided to stick with it as it gets siller by the episode...well, you get what I'm saying, right?The nonsense inherent in the franchise means that people pop up out of nowhere at the drop of a hat - even characters that have been dead for a number of previous outings! - and characters do inexplicable things for incomprehensible reasons but that's all par for the course and you either buy into it or you don't. I do, and I therefore love these movies for what they are - BIG DUMB FUN!The addition this time out of the scenery chewing villainy of Jason Momoa and Brie Larson as Mr. Nobody/Kurt Russel's daughter work well as do the fun cameos - no spoilers here! - so no complaints from me. Go to the theatre intent on having fun and i promise you that you will. Don't and you probably won't. It's nup to you....","
            8/10
            "
"Stanlee107","17 June 2023","This is just another fast and the furious franchise. It has all the flashy cars and ott chases scenes. There is Dominic Toretto (Vin Diesel) ""talking about the importance of family"".Jason Momoa (Dante) plays his character like an ott Austin Power/Dr Evil but straight faced. The number of cameo appearances may be the best part of this movie & guessing who will appear is a game one can make. This is providing you do not cheat and look at the credits for the answers The storyline is basic but serviceable. It takes a back seat to the action, car chases and explosion scenes.Just like my review, that is just writing enough to meet the character requirements, this film is full of fillers that tick off all the requirements that ""make an action film"". So don't expect this to be a genre changing film and enjoy this as it is: just another fast and furious film.","
            5/10
            "
"DanMovieReview","12 August 2023","There a saying for this movie:""you can do a bad movie out of a good script, but you cannot do a good movie out of a bad script.""What about when there is no script at all, only a story board of different action sequence that could look cool?I wish I could tell the story is utterly stupid, or made absolutely no sense, but that would imply there is story to begin with! I have absolutely no idea what is going on. It seems the movie just jump to one exotic location to another. How the most wanted people on earth made it to Rome to Rio de Janiro to Portugal to Antartica to L. A. without being arrested? Don't know! Don't care!Vin Diesel is a terrible actor without any range of acting. The only facial expression he can display is a dumb face. He is probably wondering what the hell is going on, where the hell he is, and how could a studio could pour 300 million into his project!The movie is packed with disposable low level vilains that pop out of nowhere, without any type of context, just to get their ass kicked by one or some of the protagonists.I forgot to mention, the law of physics don't apply here. Same for the protagonists. None of them can really get hurt. So, there is really nothing at stake or worth carring in this ""movie"".Jason Momoa is probably the only good thing this movie have. I wish that he is given the chance to play a vilain again in a good movie.","
            1/10
            "
"rannynm","22 May 2023","Fast X is an unabashed next step in this series' mission to depict escalating vehicular mania. It's certainly enjoyable and even thrilling at points, but it does lack some novelty. As Fast X speeds the Fast and Furious franchise into its final lap, it can't help but feel like we're going in circles.Fast X follows Dominic Toretto (Vin Diesel) and his wife Letty (Michelle Rodriguez) as they raise their son away from their enemies and the battles that have taken up much of their time for decades. Dominic's friends and soldiers of the wheel-Roman (Tyrese Gibso), Tej (Ludacris), and Ramsey (Nathalie Emmanuel) -all go on a mission to Rome, Italy, for an underground government organization. However, the mission isn't real and both the agency and Dom's pals are duped by an old foe that emerges from the shadows to exact revenge on Dom and his family. This villain, Dante (Jason Momoa), threatens to break Dom's family into pieces, so the family must figure out how to save themselves from Dante and new government agents who have Dom in their crosshairs.These Fast and Furious characters used to steal TVs off of moving trucks-now they save the Vatican. These movies succeed most when they know what they are and what you want. It's a rollercoaster, so at a certain point you just throw your hands up and enjoy the ride. Dominic Toretto is basically inhuman by now; nothing can kill him and he can bend the laws of reality and science to his will. Action is the primary draw of these films-story has become secondary as the saga of Dom and his band of street racers turned superheroes cruises into its 11th entry. Fast X, however, goes all in on plot, which feels like a miscalculation. Especially as the second half refuses to reach any kind of conclusion, barreling towards a silly cliffhanger that does little to maintain the stakes the first half establishes. None of the racers we've come to know and love are safe, but the way Fast X wraps up, it's hard not to feel like all of them are.Jason Momoa is unbelievable in this movie as Dante. He's easily the best villain Dom and the crew have ever fought against. This level of gleeful, over-the-top evil is hard to find in any movie, but it's a gift in the heightened world of Fast and Furious. He gets all the movie's best laughs-you almost wish he would crush Dominic's world so we could watch him laugh, twirl, and dance as it all goes up in flames. John Cena's a lot of fun, too. He takes a page from Momoa's playbook, an action hero who loses the self-seriousness and has a good time playing uncle to Dom's young son. Tyrese Gibson is ever a delight as Roman. Gibson always has a lot fun with this role, and he understands exactly what energy he must bring to keep the franchise full of life. Practically every time he comes on screen, the audience erupts into laughter.I give Fast X 3 out of 5 stars and recommend it for ages 12 to 18, for some language, frequent intense action and some graphic violence. Fast X zooms into theaters on May 19, 2023. Vroom vroom. By Benjamin P., KIDS FIRST!","
            7/10
            "
"ash_dunn","8 June 2023","This film is one of the best comedies I have seen in years, except it's not a comedy. The writers must have some seriously good drugs to have come up with this film.By now, we are so far from the first film about street racers who are thieves - which was a bad rip off of the original Point Break.It is non stop (ridiculous) action from start to finish and it gets very tedious. Part way through the film in between the action scenes I started thinking about the scene from Dude Where's My Car, when they are at the drive through - ""And then?"" I mean it really is, a ridiculous scene, and then a ridiculous scene.The other issue with the movie is that the cast is so big that no one really has much screen time and when they do, for some, there's no need for it.At this point in the series of films, I think every character who was killed off previously, is miraculously alive.I couldn't really work out Jason Momoas character and to be fair, I was sort of beyond caring after about 20 minutes. Alan Ritchson, who I liked in Reacher, is wasted in this film.The scenes with Jon Cena and his car with what looks like rockets, but I think are homemade cannons is dumb and genuinely I thought they were stealing a renowned Darwin Award story, thankfully they haven't.Ten films in, yes we know it's about family, but this is the most dysfunctional, hybrid family in existence.If you want to part with your hard earned cash, don't want to think, don't care about the plot and genuinely want to watch one of the worst films ever made, this might be for you.","
            1/10
            "
"D4V1D2411","8 June 2023","I dont know how to feel about this movie, on one side I know I shouldnt take it seriously because it only wants to entertain you for a while and it kinda accomplishes that, but on the other hand, its just not that good of an action movie and even in comparison to its other films, it loses in almost every aspect. The few good things of this movie and the ones it shines in comparison to the other Fast movies, is in its villain, I personally still prefer the shaw brothers a villains, but Jason Momoa brings a different air to the saga and his interpretation is really funny, but this action movie definitely doesnt deliver on the action sequences, it tries to make them bigger and better but given the previous history of absurdity this movies have already gone through, they feel a little boring and not special. I had a little fun time watching it but I dont think I will be watching it ever again.","
            5/10
            "
"BruceWayne3","20 May 2023","The series is suppose to be a little gritty, with some amazing cars and cool charactersThis has turned into a cheesy theatrical, horrible fight scene, ok cars, type of movieGo back to the first movie
That's what we love
This new stuff is not wanted
Driving down the Hoover dam?Just do some real stunts with cars
Driving under the semi was so cool in the first one
Now your dropping out of a plane onto cars?So dumbWas Jason mamoa gay? Or just super feminine ?Either way
Horrible
Stop pushing agendasThe cars weren't even that cool
In one of the few races (this is suppose to be about street racing) a green 911 gt3 races, but it's almost all stock ! Wtf !Old gold lambo? Come onThis movie is a 4 on its wedding day.","
            4/10
            "
