"tlmrUsernames","tlmrReviewer_Date","tlmrReviewer_Content","tlmrRating"
"Falcon67","17 February 2014","This movie was OK, but not great. Not too keen on Will Ferrel or Morgan Freemam. The move was doing pretty good until they added the human part to it near the end which made it go from a very good movie to just an OK movie. The human part basically explained what was going on in the movie, a spoiled brat that didn't like being told what to do or respecting the privacy of others. Even with the stop action filming it was pretty good but would have been much better with computer animation like the other Lego movies. I suggest that the next time a Lego movie is made that it be kept purely Lego without adding the human elements to the movie like they did this one. Also don't portray the trouble maker(s) as the good guy(s).","
            7/10
            "
"Red_Identity","10 May 2014","When I first saw the trailer for The Lego Movie, I thought that it would be one of the greatest ideas for a film. Sure, it sounds like a cash grab, but I definitely was hoping it would be something special, although I never really thought it would be. Then the reviews came, and my expectations were high. All in all, this is a wildly glorious ride. The thrill are non-stop, the dialogue is endlessly funny and witty, the animation wonderful. The voice performances are also really, each of these actors providing something different to their voices and making such a great ensemble of characters. I hope the sequel can bring as much fun as this.","
            10/10
            "
"kosmasp","18 August 2014","The voice talent (read acting talent) that is here, is amazing. The movie itself is very creative to say the least, something you might have done when you were a kid too. Going places letting your mind fly, not setting up barriers. At least that's how it feels to me. And the movie makes a point of it.While the movie is going on there is one big twist that will either shock you entirely (like myself) or you have read about it and it won't be as shocking as it could be. It doesn't make the movie less good. Try to watch it as open minded as you can and enjoy the jokes (some taken from movies) and feel your inner kid enjoying himself again ... no matter your age","
            9/10
            "
"Irishchatter","3 July 2015","I always loved Lego since I was a child and I even dreamt about going to legoland for a holiday which didn't happen lol.Anyways I didn't find the movie creative or exciting, it was just too obvious for me like I always knew what happened next in each scene. Believe me, I knew well Emmet was gonna get the girl he found on a construction site at the very end. It was badly done also. For example, like the old man Vitruvius in his ghost form, you can see his mouth wasn't moving or you can see the string that helps him to move as if he's flying! Well done Warner Brothers, that was an epic fail especially on a Lego based movie for god sakes!I didn't think Will Ferrell does a good job at playing as a bad guy, he sounded too much of a good guy. I mean he normally does a really good job at acting but he kinda disappointed me with this film to be honest.Also Batman shouldn't have dated Lucy at all, they didn't look to be a couple at the first place.","
            10/10
            "
"rooak","10 January 2015","If you want either a primer into the experience of having ADHD or an endless advertisement for Lego toys, then this unmitigated piece of rubbish is for you.From the opening onwards it is a series of visual and audio assaults on the viewer, with one demolition scene after another. It all felt the same after about fifteen minutes. Boringly the same.Lots of reviewers have commented that it was very funny, but whatever humour was in it bypassed me. I barely smiled at anything in it. And I'm not normally the curmudgeon in the crowd.Perhaps the nadir came when the human characters were introduced. Just in case we didn't quite get the heavy-handed messaging, we needed real humans to show us what it really looks like. And the message was simply philosophical romanticism married to pop psychology. Pleeeeaaaase can children be fed with something more helpful, if they have to be given these ""moral lessons."" If this movie was meant to recapture the pleasure of playing with Lego as a child, it didn't do it for me.Three out of ten only because I've got to leave room for other even more dreadful flicks. One of which is most likely going to be Lego Movie 2 scheduled for 2018. Ugghhh...","
            10/10
            "
"thegreatape","9 February 2014","My 5 and 6 year old kids loved this film - at least they think they did. The colours and flashing images of good old Lego were enough to convince them that it had been a wonderful experience but I remain unconvinced.I have two main gripes with this movie: 1) Is it really necessary to have almost every scene with a thousand characters on the screen and the action flying by so fast that it just becomes a wash of gaudy colour and feels like being on a roller-coaster? There is simply too much happening on screen and they have tried to pack far too much into the movie. The result is an absolute mess whenever the action picks up beyond walking pace. Pieces are flying about and changing at such speed that it is impossible to take it in. I heard that the animators put 52-years' of combined hours into the film, which means that I assume the work is amazing. If only it had been moving at a speed where it could be appreciated. I would have loved to have seen the beautiful and clever work they did, instead it just felt like they had 4 hours of construction ideas and 90 minutes to squash them in to.2) Does Lego really know it's audience? The basis of the film is Lego City, which is aimed at 6 to 12 year olds. However, Lego must know that most boys and girls stop playing with Duplo at about 5 and their interest in Lego as a fascination (ie. something they would want to see a movie about) rather than an occasional plaything wanes at about 8. The entire cinema was full of kids aged below 9, that much is for sure; and yet the story itself is too complex for that age group. Sure, my children felt that enjoyed the film, simply because they are wild about Lego, but when I asked them comprehension questions afterwards, they had no idea at all what the deeper storyline was or of the moral contained therein. They certainly were not able to comprehend the switch between the Lego world and Will Ferrell and his son in the basement. That may have been the stand-out theatrical switch for adults and older children viewing, but it was totally lost on my children and every other uner-8 who filled the cinema. Sure, they left saying ""Emmet was cool"" but they could not understand in a month of Sundays that Emmet and Finn were one and the same person.I'm sure people will rave about this movie and it will be a huge success in spite of the fact that it is actually poorly thought out and was a real missed opportunity to create something beautiful. It seems that Lego can simply do no wrong but they should certainly stick to making blocks instead of films. However, I seem to be in a minority in thinking this film was a wasted opportunity to make something slower and more thoughtful than the hotchpotch of ideas it was. And that is what the real beauty of Lego is, not that it has infinite possibilities but that it is one of the few things that parents can still do with their children at a thoughtful and slow pace. My son has dozens of toys that are all about making noise and running about at a hundred miles an hour. When we play Lego together we sit and chat quietly and build beautiful things at a relaxed pace which enhances the quality of the time we spent together. It just seemed to me that the makers of the film have totally missed who their audience really are and also missed why parents keep turning to Lego as a great toy for their kids. It is not the action we want, it is the quality time.","
            7/10
            "
"coljam21","15 February 2014","I don't understand the high ratings this film is getting. Sure I loved Legos as a kid but the movie was horrible. It was jumpy and erratic and didn't make any sense. Sure it had a good message; that you should always be yourself and not fit the societal mold, but besides that it was pretty much unbearable. I didn't laugh not once though out the entire film and my kids didn't know any better. As if that wasn't bad enough, they had to mix the Lego block figurines with humans and Will Farrel made an appearance. I usually really enjoy the kiddie movies when I take my kids but this I must say is the worst I have experienced thus far. I gave it one star and another for the positive message.","
            3/10
            "
"mgruebel","15 October 2015","""The LEGO Movie"" is a children's film in the category of toys that come to life, and may interact with their owners. Such films include the H. C. Andersen ""Brave Tin Soldier"" segment from Fantasia 2000, accompanied by Shostakhovich's 2nd piano concerto, or Pixar's classic ""Toy Story."" How does ""LEGO"" stack up (pun intended) against ""Toy Story""? I gave the latter an 8/10, and I would say ""The LEGO Movie"" is at least 2 notches down. 6/10.Of course the best part is the LEGO landscapes. The director intermingles plenty of product lines, from Star Wars to Pirates to Duplo to Cityscape. It all would have been really impressive if it had been done with real blocks by stopped motion animation, like some of the fan shorts. Alas, it's just CGI, but at least they stuck to LEGO brick rules all the way through, as far as I could tell.The story is humdrum: an evil and not-so-special LEGO figure wants to glue everything together with superglue. In the real world, dad wants to do the same with his big basement LEGO project, so his son can't mess it up. To the rescue comes an ordinary LEGO worker figure who shows that anyone can be ""special,"" and convinces the evil mastermind to stand down. A bit of pop culture reference is thrown in here or there, a bit of satire now and then, but none of it rises above the level of a 14 year-old bionicle user who may be watching, never mind a grizzled old moviegoer who wants to see something new.So the movie is what it is: harmless, fluffy kid's fare, lacking the charm of stop-motion animation LEGO shorts, with a ""theme song"" that runs out of melody and lyrics in about 10 seconds. It's sure to spawn sequels to please the 6-10 year old crowd. And it should, they could be watching worse.The biggest irony: the only novel idea in the film was the double-decker couch!","
            6/10
            "
"changyoushen","22 February 2019","I like the lego movie because the story is good. The lego constructions in the movie is also unique and creative","
            10/10
            "
"tavm","8 February 2014","Just watched this with my movie theatre-working friend. It was a nice change of pace from the dramas we've been watching lately as this one is mostly animated Legos with voices from various celebrities like Morgan Freeman and Will Ferrell. Since Warner Bros. is the distributor, it shouldn't be a surprise that characters owned by them like Batman, Superman, and Wonder Woman are depicted here though we shouldn't take them for the real thing since they're Lego-based ones. To tell the truth, I didn't find the whole thing hilarious but I was pretty amused throughout and the constant motion of the characters and many moving backgrounds was enough to entertain me and my friend. In summary, I liked The Lego Movie and would recommend it to anyone interested in this sort of thing.","
            8/10
            "
"jajid001","24 February 2014","The Lego movie may not seem like your cup of tea and perhaps you have instantly disregarded it as suitable for children alone, but I urge you to watch this film at your earliest convenience and see if you too do not become enraptured by this world of LEGO mini figures; and if the end credits appear before you have even uttered a squeak of delighted laughter, then I apologise for the misery that must be your life. Because if the LEGO movie doesn't make you chuckle at least once in the hundred minutes of on screen time then I cannot say I know what will. The fresh faced witty humour of the characters was refreshing and led to shrieks of amusement from the prepubescent's that filled the cinema and the belly laughed guffaws of parents alike. Unlike many children's films to date, the film featured none of the thinly veiled innuendos and stereotypes (commonplace in Disney films). Deviating from the norm, the 'hero' of the story (subject to personal opinion) was unaware and unprepared to fulfil his role and in actual fact, one of the main lessons to be derived from the film is that anyone has the ability to be someone special as long as they believe in their own ability to do so. Instead of portraying heroism as something designed for the 'elite' and privileged few who have been 'destined' for greatness since birth, the recurring theme within the movie is that anyone can be a hero.Full review http://thatgirlreadallaboutit.blogspot.co.uk/2014/02/the- lego-movie_24.html","
            5/10
            "
"walkereweaver-42355","21 February 2020","The LEGO movie does an excellent job of portraying how LEGO toys are used. You have people like Finn's dad who collect LEGO sets and have to follow the instructions perfectly, and are very serious about it. Then you have people like Finn who like to build their own things and don't follow the instructions. Master Builder is a term that is actually used by LEGO and it refers to people who make all of the instructions for the company's toys. Being captured by Lord Business is a metaphor for LEGO hiring people who grew up loving LEGO and then being taken in to the company. Lord Business represents a consumer/collector that always wants more sets to add to their collection. I think this was a very bold movie for LEGO to make, because it questions both the company and the community itself. I truly love this movie for so many reasons but mainly because it makes me appreciate what The LEGO Group has done.","
            10/10
            "
"everlybro","20 June 2014","Started watching without any expectations at all. What an incredible experience it was. The whole film balances really well between drama, action movie and a hilarious laugh-out-loud comedy. Ending had an unusual twist and added depth to the storyline. More over, this is a story from which almost everyone could learn something new. I really loved the way the heroes were chosen - it was like a bubbling mixture of superheroes, magicians and well-known cartoon heroes in general. Again this is a reminder that we can be much more than society tells us to be. This movie should be definitely watched on big screen because of many little details. Definite must see!","
            6/10
            "
"Anurag-Shetty","10 February 2014","The Lego Movie is a movie about, plainly speaking, Legos. When President Business(Will Ferell), threatens to glue the Lego universe together using an adhesive called Kragle, it is up to the 'MasterBuilder', Emmet Brickowoski(Chris Pratt) to stop him using the Piece of Resistance. Emmett is helped by other MasterBuilders like, Wyldstyle/Lucy(Elizabeth Banks), Batman(Will Arnett), Unikitty(Alison Brie), Benny(Charlie Day), Abraham Lincoln(Will Forte), Wally(Dave Franco), the all-knowing Vitrivius(Morgan Freeman), Superman(Channing Tatum), Wonder Woman(Cobie Smulders), Green Lantern(Jonah Hill), Barry(Jake Johnson), Shaq(Shaquille O'Neal), Metal Beard(Nick Offerman) & Shakespeare(Jorma Taccone). The only problem is, Emmett has never had an original idea throughout his life. Also, standing in the MasterBuilders' way is President Business, Bad Cop/Good Cop(Liam Neeson) & the president's various robotic lackeys. The Lego Movie is mind numbingly outstanding! The animation is first rate, considering that all the characters & the environment in the movie look like Lego figurines & Lego building blocks. Phil Lord & Chris Miller have proved their directorial skills, once again. The duo's directing skills vary from animated movies like Cloudy With a Chance of Meatballs & The Lego Movie to hilarious adult comedies like 21 Jump Street(can't wait for the upcoming sequel, 22 Jump Street). The voice acting is exceptional, with an all-star voice cast. Chris Pratt is brilliant as the protagonist, Emmett Brickowoski. Will Arnett is hysterical as the Lego version of Batman. Elizabeth Banks is great as Wyldstyle/Lucy. Alison Brie is adorable as Unikitty. Charlie Day is eccentric & hilarious as 1980s something space guy, Benny. Will Ferell is diabolical & menacing as President Business. Will Forte is impressive as Abraham Lincoln. Dave Franco is effective as Wally. Morgan Freeman is mind blowing as the wise elder, Vitrivius. Todd Hansen is great as Gandalf. Channing Tatum is outstanding as Superman. Cobie Smulders is good as Wonder Woman. Jonah Hill is spectacular as Green Lantern. I would have liked to see more interaction between Superman & Batman since we have to wait till 2016 for the Batman/Superman crossover film. Jake Johnson is effective as Barry. Liam Neeson shines in his varied portrayal of Bad Cop/Good Cop/Pa Cop. Shaquille O'Neal is effective as Shaq. Nick Offerman is ovation-worthy as pirate, Metal Beard. Anthony Daniels, Keith Ferguson & Billy Dee Williams are great as Star Wars veterans, C-3PO, Han Solo & Lando respectively. The supporting characters are effective as well. The soundtrack is foot-tapping & catchy at the same time. I would like to conclude by saying, The Lego Movie is a must watch & will go down in history as one of the classics, animated or otherwise.","
            9/10
            "
"areatw","17 August 2017","'The LEGO Movie' brings LEGO to life in a lively, action packed film. On paper, this movie really shouldn't have worked. Taking a popular kids' toy and making a movie out of it was a big risk and was never going to please everyone. Part of the reason it turned out so well is because it doesn't even take itself seriously. LEGO itself is the butt of many of the jokes in the film.The story is better than expected and the characters are funny and interesting. Visually this film is spectacular. The amount of detail in each frame is mind-blowing. It's amazing to watch. I would have never expected a film based on a toy to be such a hit, and not only with kids. 'The LEGO Movie' is about as good as I could have hoped it to be. If you think about the many things that could have gone wrong with this movie, it's impressive how well it was received.","
            7/10
            "
"studioAT","26 June 2021","This film had some nice moments, but it didn't do a lot for me, other than put the catchy 'Everything is Awesome' song in my head.","
            7/10
            "
"neil-476","21 February 2014","First of all, they are not Legos, they are Lego bricks. The word Lego never has an s after it. OK, onwards and upwards.Lego construction worker Emmett is a forgettable everyman: surprisingly, he turns out to be The Special, fated to lead a resistance movement to save the Lego world against the evil plan of Lord Business by using the Piece of resistance to prevent the use of the Kragle to destroy everything.Let me say at the start, that this film is fun. It references pretty nearly everything I enjoy, takes potshots at all sorts, and works well as a bright, colourful kids' fantasy but with enough nods, winks and knowing gags to satisfy your average adult (just look at some of the voice credits - Anthony Daniels delivers one line as a Lego C3PO, for instance). The voice talent in general is great, and I particularly enjoyed Liam Neeson's willingness to send himself up.Having been positive overall, it seems a little ill-natured to be critical, but I must mention two things which didn't sit that well with me. One was that, for a film which needed to be simple, it got awfully complicated at times, and the other was that the animation style and the sheer quantity of what was happening meant that, at times, I really couldn't follow what was going on in front of me.But I repeat - this film is fun, and worth watching on that basis alone.","
            10/10
            "
"Leopold005","10 April 2014","I've stated that this contains spoilers, but I'll do my best not to make them too spoiler-y!I saw the trailer for the Lego Movie a couple of months ago and it looked like it might be pretty good - a nice blend of humour, action and nostalgia. I eventually convinced one of my kids to come and see it with me, so off we went.My first impression was that they'd done what I hoped they wouldn't do: They'd burned almost all of the best lines in the trailer. I hate it when that happens. That said, there was still some nicely crafted humour in there (mostly aimed at adults), but it was all a bit manic and a little hard for me to keep up with. But it was all still reasonably enjoyable, right up until the de facto ""Hollywood Morality Syrup"" got poured all over it, at which point it went all sugary and spoiled it a bit for me. I should stress, I'm not averse to a bit of sentimentality, but this film really didn't need to be drowned in it. As a father, all it did was make me feel guilty, even though none of my kids even showed the slightest inkling to play with Lego, meaning I never needed the threat of Kragle. Or Supgle, as I suspect we'd call it here in the UK.It's by no means a bad film, but having my expectations raised by the trailer left me feeling a bit let down by it.","
            8/10
            "
"f-56134","7 November 2018","To me, Victoria Claudette Ramos, this movie was... hysterical! I loved two scenes: ""Honey? Where Are My Pants?"" and ""We have come from the planet Duplo and we are gonna destroy you!"" Those parts were hilarious! The scene I vote the funniest... drumroll please... ""We have come from the planet Duplo and we are gonna destroy you!"" That scene caught me rolling on the floor laughing!","
            5/10
            "
"Buddy-51","3 August 2014","The cheerfully dystopic ""The Lego Movie"" is like a family-friendly version of ""A Brave New World,"" with a little bit of ""The Matrix"" thrown in for good measureEmmet Brickowski is a rule-following, law-abiding ""good citizen,"" just like all the other countless conformist drones who make up the futuristic society in which he lives. Only Emmet is even more average than the average Average Joe, as evidenced by the fact that even the people he works with aren't really sure who he is. In true dystopic fashion, he lives in a society that demands unthinking and unquestioning obedience to the status quo, making it easier for those in positions of authority - particularly the arch-villain Lord Business - to accrue ever more power without any pesky resistance from the effectively pacified unwashed masses. Until, that is, Emmet is informed that, unlikely as it may seem, he just may be the long-awaited Messianic figure, know as The Master Builder, whom, it has been prophesied, will one day appear on the scene to mount a revolt against the tyrannical system and lead his fellow citizens to freedom.Even though he's essentially an animated Lego figure, Emmet turns out to be the single most endearing everyman hero we've been asked to fall in line behind in quite some time. And the always under-appreciated Chris Pratt (""Everwood,"" ""Parks and Recreation,"" ""Guardians of the Galaxy"") deserves much of the credit for that. So, too, do the writers, Phil Lord and Christopher Miller, who co-directed the film as well.To add to the spirit of anarchic fun, a host of historical and pop culture figures, from Lincoln and Shakespeare to Superman and Batman to the casts of ""Harry Potter"" and ""Star Wars,"" make cameo appearances in the film.There's also a parallel story that takes place in the ""real world"" that underlines the part imagination and role-playing have in bringing people together.Imaginative plotting, first-rate animation and sharp, snappy writing - backed by outstanding voice work by Pratt, Will Ferrell, Elizabeth Banks, Will Arnett, Nick Offerman, Liam Neeson and Morgan Freeman - instantly place ""The Lego Movie"" in the pantheon of great computer- animated films.","
            4/10
            "
"Phil_Chester","2 June 2018","It's certainly entertaining up to a point, but the third act doesn't work for me. This film definitely thinks it's cleverer than it actually is. But, you can give it some slack, because the 'Everything is Awesome' song is so catchy.","
            5/10
            "
"LaurensMom","8 March 2014","I do not understand the fascination with this movie. We took my 10 year old daughter and 4 of her friends to see this and my husband and I were bored to tears. Nearly took a snooze. When we asked the girls how they liked it (god forbid we be allowed to sit with them during the movie), they all said ""ehhh"" with a shoulder shrug. Understanding which celebrities provided the voices made it more interesting for ""the adults"" and the animation was spectacular. After conferring with my husband, we agree that it's a standard, well animated kids movie much like the million others we've been subjected to in the past 10 years. Cute but definitely not a must see.","
            6/10
            "
"kshirad","7 February 2014","Don't get me wrong, but this is the most dazzling movie i've seen. The animation was perfectly staged and drawn, you just can't believe what you've just seen.I can't throw away the plot (except if you've seen the trailer) because it will diminish the fun. I'm just going to tell you this, you will laugh just as much as you've hit the treadmill. And there's an unexpected twist towards the end that will surprise and blow you away. Trust me, it will not disappoint you.All the way through, a start-to-finish delight, an incredible and original movie, a marvelous experience!","
            6/10
            "
"Likes_Ninjas90","2 April 2014","One of the safest ways in which Hollywood preserves its bankability is not by investing in new ideas but by creating relationships between the on screen images and tangible commodities like toys. Toys have become the target of Hollywood because they have the incentive of drawing in younger audiences, along with their parents, as they recognise the items or images on the screen. Transformers, Battleship and G.I. Joe are some of the toys that have been made into huge blockbusters but the ploy is older than that. Cinema merchandising can be traced back to the early blockbuster films of Steven Spielberg and George Lucas in the mid Seventies. Video games have also been adapted into films for two decades because there is already an established fanbase and are deemed safer and more profitable than developing new ideas. Comic book films and action movies are becoming gradually imitative of the physics and design of video games, particularly in their elaborate action sequences. It is now a question as to whether cinema, particularly among young viewers, will ever be given the imagination and originality that it deserves, instead of relying on existing products for inspiration. Similarly, do films adapting toys remove children from the joys of having a tangible object or toy in their hands and encouraging them to develop their own imagination? The transition from toys to films belongs to a broader timeline and capitalist trajectory. The Lego Group was established by Ole Kirk Christianen, a Danish carpenter who started making wooden children's toys in the early 1930s because he had lost his job in the Great Depression. The name Lego is taken from the Dutch phrase ""leg godt"" which means ""play well"". Lego has developed from simple wooden designs to plastic materials and now into a sixty million dollar blockbuster. While this computer generated feature from Phil Lord and Christopher Miller (Cloudy with a Chance of Meatballs) is indisputably made to sell more of Christianen's toys, it's relieving to say that it brims with visual charm and creativity. Cleverly, the film has been shot using regular CGI animation, courtesy of the Australian animation studio Animal Logic, but it has been made to look as though it has a stop motion aesthetic. Stop motion animation is time consuming because it relies on photographing an image or model, adjusting it and photographing it again. There have been Lego stop motion videos on sites such as Youtube that have used this process, which is where this film takes inspiration for its design. Along with using CGI, the little Lego figures were also examined to see how they look, feel and move and then incorporated into the film. Aside from the forgettable 3D, it is a film that is simply drowning in clever visual details and sight gags. This is where the film generates a lot of its charm, humour and nostalgia. It's great fun to see those Lego figures back from your childhood, but with even more personality and expression, along with some of the classic old sets, like the Western world. However, the greatest challenge for any film based on a toy, let alone one playing with Lego, is what to do with the narrative. The film's script by the directors is very funny at times and witty, particularly with the way that it employs gentle nudges and self-depreciating humour towards pop culture icons like Lego Batman and Green Lantern. Yet the narrative leaves a lot to be desired. The plot is thin, relying heavily on standard MacGuffin devices and pleasant liberal messages about finding your personal gifts and using your imagination when the rest of the world is conforming. It's sweet but hardly testing and it's also padded extensively by action scenes that are only different from the ones they're parodying because they're in Lego form. At least the voice cast (Chris Pratt, Morgan Freeman and Liam Neeson among others are delightful) is highly colourful and distinctive and each character has their own moment of personal glory. I would have liked a few more of these character moments to put the film on a level closer to a Pixar film but small children are still going to love the visual spark alone. It moves faster than your old Lego set and without the pain of collecting any of the tiny pieces left behind. Despite its good intentions and its positive messages, do people want to see their children being told they can be imaginative while watching a film or discovering that same creativity as they build and craft Lego worlds for themselves?","
            8/10
            "
"cherold","12 May 2014","This is a really good movie that becomes an incredibly great one in the last half hour.What's nice about this movie is how well it dives into the essence of child's play. While the game has its characters and its sets, it's goofy story and surprise characters seem very much like the creation of a child unbound by concepts of what is right and wrong in storytelling.At the same time, the story holds together in a way a kid's story wouldn't. For all its craziness, it's very well thought out.Most of the way through this movie I would have given it 8 stars, but the final sequences are so utterly brilliant and unexpected that I had to give it 9.","
            8/10
            "
"Shopaholic35","10 January 2016","It's a nice movie but I wouldn't say it was awesome. Concept was good but nothing revolutionary and it was a little bit clunky in its execution. I did actually enjoy the Lego format though. It brought back memories of when I was little and I used to love building with Lego...I mean who didn't. I still can't help myself if I have a pile in front of me. All the old references were classic and what made it fun.While the characters were a little one-dimensional they were lovable. I cared about them enough to keep me engaged in the movie, especially Emmet. The cameos and different Lego lands were also cool and turned it into a proper motion picture instead of a TV movie. So not my favourite movie of all time but it was a good movie.","
            7/10
            "
"KineticSeoul","20 May 2014","I know some people that compare this movie to Wreck-It Ralph. Personally I didn't enjoy this movie as much as I did for Wreck-It Ralph, but that isn't to say this movie wasn't entertaining. It's a creative movie with Lego pieces, quick, snappy and sometimes witty dialogues mixed in with pop-culture references. When it comes to the plot, it's actually quite simple but the journey makes this movie worthwhile. All the voice actors and actresses that actually have a name in the movie industry did a really good job. Like Wreck-It Ralph I liked how certain iconic characters gets thrown into the mix as well. And for the most part it connects well with the story. The climax part of this movie also elevated the score for this movie to 7.9/10 for me. Oh and I also liked the message behind this flick as well, which probably would have benefited me if I saw this movie during my childhood.7.9/10","
            5/10
            "
"evanston_dad","19 February 2014","What a blast! My wife and I took our five and three year olds to this movie, and I think we had more fun with it than they did.That's actually not very surprising, since the Lego franchise is defined by sarcastic humor full of pop culture references, many of them references to the pop culture of my own childhood rather than that of the present. ""The Lego Movie"" is fast, fun and colorful, and is capped with a surprise twist that had almost as much of an emotional impact on me as the ending of ""Toy Story 3"" did, and in the same way.My favorite moment is the appearance of the Millennium Falcon, and the alternate version of what happens to it when it's trying to escape the giant space slug in the asteroid field. If you don't see why that's funny, then you're just not going to like this movie, and I will feel sorry for you.Grade: A","
            7/10
            "
"moviexclusive","8 February 2014","If there was a postage system that can send letters to the past, this writer would pen a letter to his younger self - say, to the primary school kid he knew 25 years ago. And this is how the letter would read.Dear John (from the past),This is your future self writing to you. It's the year 2014 and much has changed. The Internet is amazingly fast, and almost everyone I see on the street is busy looking at some sort of electronic gadget. Most importantly, I have seen The Lego Movie, and this is the reason why I feel the need to tell you about it.The 100 minute directed by Phil Lord and Chris Miller is one you had dreamed of ever since you owned your first Lego construction set. That toy wasn't an elaborate castle of city set, but it sure brought you endless wondrous hours of imaginative fun. The police car (and the minifigure that comes with it) was a reward for your spelling test, and boy, was it a reward well earned.Ever since then, you'd imagine an entire movie starring Lego minifigures, embarking on adventures in the different Lego backdrops. I have seen that movies 30 years on, and here are five reasons why I think you should look forward to it every single day of your life – till you're 33.Reason 1: The movie is a fine example of good ol' storytelling. The protagonist is an ordinary Lego minifigure (yup, one of those yellow faced common folks you'd lose if you had a humongous city set) who mistakenly gets recruited to stop an evil tyrant from destroying the Lego universe. The story by Dan Hageman, Kevin Hageman, and the two directors is encouraging, inspiring and a feel good tale about how every individual has the potential to go a long way. Trust me, you may hear a lot about this in school now, but some 20 years on, the cynicism of the world will get to you. The plot of this movie, however, will steer you in the right direction to do good things about your life.Reason 2: The movie is hilariously clever. The jokes are fast and furious, and while you may not understand the puns spouted by the minifigures now (if the movie was playing in 1989), it would make your teacher chuckle. Clever references to pop culture and the Lego brand are aplenty, and it is one movie you'd want to revisit repeatedly.Reason 3: The movie is a technical achievement. I'm not sure whether you're familiar with the concept of stop motion, but go ask your teacher and you will be amazed by the amount of work needed to produce a stop motion clip. This movie infuses computer technology (I won't go into details of how scarily advanced this has become in 2014) with stop motion and the end result is an enjoyable visual treat.Reason 4: The movie is chockfull of cameo appearances. As the years go by, you'd hear how everyone wants to see Superman and Batman in the same movie. This animated feature is the first to make that happen. On top of that, other well known characters appear as well. The names probably won't make sense to you now, but when you grow older, you'll understand why certain wizards from a popular movie franchise are a big deal. Oh, there are also characters from a certain galaxy far, far away; and a fellow yellow faced personality who make this movie a must watch for all nerds and geeks (I meant that in a cool way, of course).Reason 5: The movie has got heart, lots of it. Some movies may be too obsessed with showing off its technical prowess, and forget about how it touches the human soul. This one is different. The revelation is one affecting turn of events, and trust me, it's one of the most relevant and heartfelt plots you'd ever see. Before signing off, my advice to you is to hang on to that Lego police car set, continue to let your imagination take you to places, and all things will be good.Yours sincerely,John (from the future)","
            9/10
            "
"tomgillespie2002","19 June 2014","For anyone who spent a lot of their childhood banging lumps of plastic together, creating outlandish plots and dialogue for them to act out, and pretending that all that lurked beyond the edges of the bed is a sea of molten lava, then you'll get The Lego Movie. It's hyperactive, fit- inducingly-colourful, and very, very funny, but it's the message behind the movie that makes it so wonderful. It tells a silly prophetic story about a simple construction worker thought to be 'the Special' - a plot deliberately made to sound like it's the product of an imaginative child - but his world of instructions manuals, mass consumerism, moronic pop songs and diabolical sitcoms is our world: the adult world. The Lego Movie makes you want to find your inner child again, and go back to those days where you could transport yourself to another world in your bedroom by using your own brain.Emmet (Chris Pratt) is a naive and simple everyman, routinely watching popular sitcom ""Where Are My Pants?"", singing along to ""Everything is Awesome!"", and using an instruction manual for every aspect of his life. Left behind on a construction site one night, he comes across the mysterious Wyldstyle (Elizabeth Banks), who seems to be searching for something. After accidentally spooking her, he investigates himself, and comes across the 'Piece of Resistance', a glowing object that gives him visions and knocks him unconscious when he touches it. When he awakens, he's being interrogated by Bad Cop (Liam Neeson), and finds the Piece has attached itself to his back. Believing him to be 'the Special' from a prophecy, Wyldstyle rescues Emmet and takes him to the Gandalf-alike Vitruvius (Morgan Freeman), who teaches Emmet the way to becoming a master builder.What could have been a mindless 90-minute advertisement for a global product, The Lego Movie dodges the bullet by actually attacking mass- consumerism, placing the importance on creativity and individuality. The big bad buy is Lord Business (Will Ferrell), a helmet-wearing, caped corporate devil who wishes to control everyone by gluing them in place with 'the Krakle' (a mispronunciation of Krazy Glue), oppressing the freedom to travel between Lego worlds (including The Old West, Middle- Zealand and Cloud Cuckoo Land). This is also a stab at collectors, those strange types who like to keep their toys in boxes and display them, rather than getting them out and using them for what they were designed for. Toys may have become ornaments, ways to make easy money on eBay.It could be argued that such satire has no place in a kids movie. But these are the same kids who now have their own iPhones, bombarded with in-game advertisements and growing up in a world of reality TV, with programmes consistently celebrating wealth, stupidity and branding. Wyldstyle, concerned that Emmet may have never had an original thought in his entire life, asks him what his favourite restaurant is. ""Any chain restaurant!"" he gleefully replies. This is the man who is supposed to save the world, the greatest master builder to have ever lived, only to be a master builder, you need to have an imagination to create something amazing out of nothing. The best that Emmet has come up at this point is a two-level couch. It maybe useless, illogical and absolutely pointless, but it's something.But The Lego Movie isn't all metaphors, it's also beautifully animated (it occasionally replicates stop-motion, as if the movie is actually made of Lego bricks, although it is entirely CGI), exceptionally witty, and features an outstanding vocal cast, who make up an entourage of Lego characters based on other mediums. We have Batman (Will Arnett) as Wyldstyle's arrogant yet lovable boyfriend, and the likes of Han Solo, C-3PO, Superman, Wonder Woman, Green Lantern, Gandalf, Dumbledore, Michelangelo the Renaissance artist and Michelangelo the Teenage Mutant Ninja Turtle. It's an absolute joy, as if looking into a child's toy boy to find a bunch of random and unconnected figures from years of collecting. And that sums up the film - like looking into the past and realising that that same person, who could lose hours putting on silly voices and concocting ridiculous stories, is still in there somewhere.www.the-wrath-of-blog.blogspot.com","
            9/10
            "
