"jwUsernames","jwReviewer_Date","jwReviewer_Content","jwRating"
"Tony-Kiss-Castillo","26 December 2021","Wow! Does anyone remember ROLLING THUNDER? Late 70's movie starring William Devane.... Back then you had to brutally rape and kill the lead's wife and murder his kids, to boot, to justify arousing blood-lust sympathy from the audience! AhhhhhBut the Times, They are a Changin'! It's 2015! You steal a guy's Classic Mustang and kill his 300,000+ LIKES on Facebook cute dog and watch out!....Hell hath no fury.! REVENGE 101!Shame on me, I guess, for being such a sucker for dog flicks that, based on the rash of promo interviews Mr. Reeves did for WICK, I, too, thirsted to see the little pooch avenged!HmmmmI think I got more than I bargained for. Now it's crystal clear to me (AGAIN!) why I almost always refrain from revenge movies, or, for that matter, from the ""ACTION"" (Read: Violent) Genre in general! In one of these promo interviews, Keanu bragged that he killed 87 people in the course of this 93 minute (Till Credits) movieYou can do the Math Nearly 1 Body Bag per Minute! Gee, Keanu.... You had me at Number 4! O. K., So why the 6* Rating? Fair enough question! The Original Music, by Tyler Bates is nothing short of phenomenal! Look at his IMDb BIO! It is very impressive! From a technically crafted standpoint, WICK is truly excellent.I couldn't help but notice Eva Longoria receiving Number One Producer Credit here. My hat is off to her! She really knows what elements (Although they're not really MY elements!) are needed to forge both a real crowd-pleaser (75% of viewers rated this 7 Stars or more on IMDb!) and a solid box office success! WICK grossed over 43 Million, more than double its production cost! The cinematography was inspired, at times even artistic. The sound and sound mixing were at least a cut above your average Hollywood movie, which, to be honest, is really saying a lot! And other visual elements, such as sets, costumes and locations were all impressive.Absolutely must get one other thing off my chest. Despite the numerous fight scenes being extremely well choreographed and the endless gun- play having been blocked out meticulously... AND having sat down to watch with rather low expectations, WICK stretched Suspension of Belief well beyond the breaking point! Perhaps we should add Fantasy to Action, Thriller in the introductory genre description! Still, for those of you who are ACTION junkies, and I know there are a lot of you out there...It is a sure bet you will end up in that 75% I referred to a bit earlier!ENJOY! / DISFRUTELA!","
            1/10
            "
"dusan-22","21 January 2015","It's funny but I am not sure what is 7.4 about this film? Is that Keanu Reeves? Well, this guy may know how to act but he doesn't show that in this movie. How about the plot? What is the plot? You killed my dog and stole my car and now you want to apologize? Common man, you can't apologize I got to kill you and few thousand people around you cause I can't make a movie otherwise. And a way he kills? Man, I think every single video game maker would envy this director. Oh, I must admit that this movie fulfills the Hollywood mandatory condition where Russians are the bad guys. Has anyone noticed John's replies in this movie to most of the questions asked? He just repeats what he heard and sounds like Michael Armstrong in the 'Hot Fuzz'. All in all, I would recommend this movie if you are still with sega-mega drive but if you have ever played a game called counter-strike, then you might consider this movie boring. For all other viewers, just don't bother.","
            1/10
            "
"auuwws","18 October 2020","One of the best action movies, despite the weakness of the story, but it was compensated for by great action scenes","
            1/10
            "
"Saiyan_Prince_Vegeta","31 January 2015","You can describe this movie in a very short scheme:*John gets his dog killed.*John avenges his dog and kills a hundred men. (That is totally normal) *John gets a new dog. The end.This movie is one of the worst movies ever. 95% of the movies have some good lessons for you. This movie has no lesson. Everything is negative. This movie is so morally wrong. John Wick is a psychopath and killer. The worst thing in this movie is that John SLAUGHTERS 'innocent' people and Hollywood makes it look as a GOOD thing.I'm really disappointed that Keanu Reeves decided to accept such a shitty role. Usually I like action thrillers. But this? This is too much.","
            1/10
            "
"rmax304823","18 February 2017","I don't know how deeply I want to get into this. It's like stepping into a septic tank.So let's keep it short. Keanu Reeves is John Wick, wearing a cloak of ordinariness. Some Russian miscreants insult him at a gas station. That night, they break into his house, beat hell out of him, steal his car, and kill his dog. Well! The beating, yes; the car maybe; but the dog -- NO! His response is first-order change. He knows who dunnit because he just retired from a Special Ops group and he's skilled at martial arts, the use of deadly weapons, and has a talent with macramé. None of these guys with a hidden past ever turns out to have been a busboy or a plumber. Similarly, the bad guys, as here, tend to be either Germans, Russians, or Arabs. We've never quite forgiven the Germans for World War II. Russia was balanced on the fence but now with Putin in charge, a dictator manqué, they seem to be fair game again. I'm certain that in the crepuscular recesses of Hollywood board rooms they are DYING to drag Muslims into the narratives but it wouldn't be PC now, would it? The plot? Oh, the plot. John Wick shoulders his way through a crowded night club where the Russkies hang out and shoots everyone who looks disagreeable. His gun is quick. And he's thorough. One ugly adversary gets three bullets in the abdominal cavity and one in the center of the forehead. The wounded lying on the floor, he shoots and kills more or less in passing, not really paying much attention to them. That's just the first brutal encounter. Several others follow.In between massacres there are a few minutes of metaphysical discourse. ""John, what happened? You and I were colleagues."" ""Yes, but bonds fade with time."" ""Surely some symbolic interactionism persists."" ""Well -- YES AND NO."" ""At least as the systemic level!"" ""But not as individual traits."" ""But how can you KNOW that?"" ""My epistemological intuition."" (Bang, shoots interlocutor in center of forehead, dead center on the saggital suture.) By the end, Wick has either killed or brought about the death of dozens of men and women. Willem DaFoe dies horribly, for reasons never explained. It was just time for another bloody killing, I guess.Someone else suggested that this was a perfect action movie because it had nothing much other than perfect action. And if you don't like action movies, then stay away from them. I suppose I don't like most action movies -- the Stallones, the Schwarzeneggers, the van Damms, although I have a few on DVDs if they have something going for them besides blood -- if the narrative is properly jelled (""The Bourne Identity"") or if its so silly it's amusing (""The Terminator"") -- but ""John Wick"" takes itself seriously, as if it were structured in a way that distinguishes it from one of those skin flick with just enough of a thin plot to link the sexual episodes, the genre that begins with a happily married couple, then drags in a new lover for each, then the chauffeur, then the mule, and so on. Yet, the perceptive viewer is able to discern a moral message beneath the mayhem. Leave dogs alone.Why go on? John Wick, Chapter 2, is already in theaters.","
            7/10
            "
"Inteshari","19 January 2016","Wow! This is one of the worst action movies of all times and I can't believe it has 7.2 rating as I write. Where do I even begin? No character development. - Awful script, you won't even remember one line after the movie. - Sloppy acting, no one in the movie is good. - No story. - Poor ending. - Environment, screenplay and visuals are also not that good. - Action sequences are barely tolerable.At the end, I would like to ask those who like this movie: what is wrong with you people? Have you not watched any half-decent movie recently? And to those aspiring to watch this movie, I won't say don't watch it. I'd say watch it and come back to IMDb and rate this movie - as a service to mankind.","
            9/10
            "
"ArtVandelayImporterExporter","1 July 2017","This is the ultimate violence-pr0n video game, passed off as a movie. To think the Hays Office was created b/c Hollywood was showing too much B00bie. This entire movie is just killing for the sake of killing. No wonder parcel-delivery drivers are walking into work and blowing away their co-workers, teens are murdering their families, and Americans shoot each other at rates not matched anywhere else in the world, including all the places we generally regard as lawless shtttth-les. Movie-goers need to re-evaluate if this is what excites them.","
            3/10
            "
"Eddie_weinbauer","8 November 2014","You'll regret!Was this a video game turned into a movie? Whom ever said Keanu reeves could carry and action movie alone LIED This movie has some major plot holes, along with some serious bad acting. *********************Warning spoiler******************************* It all starts with the same guys whom harass him at a gastation, breaks into he's home kick he's ass, kills he's dog and steals he's car. You never get to know how they found him, without knowing that john wicker is the guy you don't mess with. Even though he's car is apparently legendary,since what I assume is the best car chopper in town, won't touch it cause he knows who it belongs to.Another thing that struck me odd is, since when did the Russian mob do home invasion, just to steal a classic car to chop. To me that seem kind of petty for a organized crime syndicateJohn is suppose to be a professional hit man, the best of the best, cream of the crop. Yet he get he's ass kicked by a couple of thugs, wastes a lot of ammo by shooting people 5-6 times. He can't even take out 5-6 guys with a machine gun, and a 30 round clip. Not even when he has the element of surprise on he's side And the hand to hand combat is mostly bad. He got no style, no class, no elegance over it. I almost feel I'm watching American ninja all over again, were hand to hand fighting mostly consisted,of judo throws,wide punches and a few simple locking techniques.That's how bad this movie is. Every bad guy in the Russian mob seem to knows martial arts, cause 90% of them get into hand to hand fights with him. Most of the times he act like a rank amateur, instead of the super professional everyone is so scared of, that they start shaking in their pants whenever someone just mentioning he's name I really wish they'd give these types of roles to Jason Statham, he's better at playing these types of bad to he bone roles. Keanu reeves are better suited for something else, like playing stoner in Bill & Ted Best part of the entire movie, is when the scene when the head honcho of the Russian mob finds out over the phone,what he's son has done","
            1/10
            "
"Brevin_Campbell","29 December 2014","This movie was a waste of my time. With movies like ""The Equalizer"" and the remake of ""Oldboy"" the idea of the revenge concept is become more and more prominent. They have also become extremely exciting, but what was the appeal of those films? The characters were interesting and made the action more fun and promising over just seeing some guy beat up a bunch of people. John Wick was that. It as a beat em up revenge movie. It was a pointless movie that dragged on. I mean really. Why do I care? I didn't feel a reason too. I didn't care about who John Wick was or what he wanted and the whole mythes about him. This film gave me no reason too. People wanna talk about Transformers: Age of Extinction. Pfft talk about John Wick's lets just fight movie cause that is all that it was.","
            2/10
            "
"billcr12","7 February 2015","Put your brain on hold and just sit back and relax for an hour and forty five minutes while Keanu Reaves finds a multitude of ways to kill many nasty people. The story is silly, but the action is continuous as Wick is pursued throughout by men and women with bad intentions. He is a karate expert and is also skilled with a variety of knives and firearms which are quite useful to our hero. His background is sketchy and never really explained but one must just suspend belief and just take the ride as if on a roller coaster. Willem Defoe shows up to fill out a decent cast with Reaves carrying most of the load, as he is in almost every scene. It looks good and the New York locations are a good choice. A final 7.5/10.","
            1/10
            "
"MovieSonic","14 January 2015","Keanu Reeves always comes back with a little gem but this one is his best film in ages.It's a pure Kill Film, nothing more and nothing less. Keanu, as John Wick, has the only two things he has left in this world taken from him at a time when he has nothing left to live for and so, entirely understandably, he decides to take revenge. Keanu then proceeds to kill a significant amount of people.Here's what I liked about John Wick: clearly, whoever was in charge, really loves film and/or knows exactly how to improve upon every mediocre revenge film out there. The clichéd bits seemed almost deliberate like a teacher showing his or her film students how to make a tired and overdone scene interesting and unique.I won't expand too much on this point other than to say that there is something engaging about every scene no matter how often it has been done before.What I really want to talk about is the fight scenes. This is the first time since the Bourne films that I feel someone has done something different and unique with fight choreography. All the fights seemed to be filmed in one take and without stunt doubles. There was one extended fight scene in particular in the middle which was stunning. I genuinely can't think of another actor who would have pulled off Keanu's character and choreography as well as he did.During the inevitable 'sit-down' with the bad guy and his men, they missed an opportunity to mirror a previous scene with a 'captured' female assassin, nevertheless; Keanu gets an opportunity to really let go and bring some much needed emotion to his character. I thought he could have gone further and this could have been more poignant but he delivered the scene really well.I think it's time to officially acknowledge a new genre of film: the kill film. I wouldn't label it as action because I expect action films to include action as part of the main story not the other way around. If you want to watch a good revenge/kill film, this is definitely the one.9/10","
            4/10
            "
"Robosharp","8 May 2019","The reason this review is like 5 years late is because my friend recently suggested we go see the the third instalment of the series, as the first two are so epic. I was like really?? He was like, yeah, oh my god, you gotta see John Wick! So now I have seen John Wick...Ok, the film starts off quite well. Immediately you sense a high standard in terms of production. Slick camera work, innovative editing, stunning lighting. Also the plot starts okay, we are introduced to John, seemingly normal decent guy, living a normal life with his puppy, mourning the loss of his recently deceased wife. Whilst minding his own business on a road trip, a few 'Russian' thugs like the look of his car and try to buy it off him. He rejects the offer, and drives away. Russian thugs really want this car, so they presumably follow him to his home. They then confront poor John in the middle of the night. Beat the crap out of him, and inexplicably kill his pet puppy in the process. Note that in this scene John comes across as quite vulnerable and practically defenceless against these thugs. If the thugs had of wanted to kill him, they really could have done. Instead they knock him out and leave with his car. John is left broken, and utterly distraught that his adored puppy has been taken from him. He wants revenge, and at this point we all want him to get revenge! But how is he going to go about? This man is no fighter, he can't physically take these thugs on, we've seen that all ready. He's gonna have to devise a plan, and he's gonna have to be brave. This could be good, my friend was right. WRONG..It turns out that John Wick is a super killer assassin. An invincible, unstoppable killing machine. They messed with the wrong guy! It also turns out that the rest of this film is steaming pile of cow pat...Queue John Wick killing hundreds and hundreds of practically innocent men in pursuit of his revenge. Okay I think amongst it all he does get the three original thugs, but you could miss it, seeing as he kills so many. And that is it, thats all this film is. Yes it's slick, hence not giving it 1 star, but it is shockingly immature.One last gripe, (equally as stupid as the fact that at the start of the film JW had his 'Steven Seagal' mode switched off), is how films think its only cool for 'heroes' to kill men. At one point in this dribble, a female assassin is going all out to kill John, as he has a two million $ bounty on his head. This woman, a professional assassin, and very dangerous will stop at nothing until John is dead, it is likely that she has killed many before. In a fight, John over powers her, and decides not to finish her off as she is a woman, despite the fact that she is only going to come back and try and kill him again. In contrast John kills many men that he really does not have too. Most not even posing a threat and had nothing to do with the killing of his puppy. In fact this female assassin goes on to kill one of John friends! But oh no, he can't kill a woman, thats not cool right??Wow. Not a big shock but I won't be watching the sequel or the third instalment. My friend and many others seem to lap up this garbage...","
            3/10
            "
"ankit-rohillaa","1 March 2019","A single guy kills more than 100 people. Zero story. Only action. Even action is worse than we have in FnF, James Bond, MI, IP man etc. I usually never rate any picture 1 star but this is exceptional. If your IQ is above room temperature, you won't like this movie","
            7/10
            "
"ndarger","14 February 2022","Let me just save you all some time instead of watching the whole violent movie. Here it is in 1 sentence: ""Guy has bad day. Kills everyone. Feels better.""","
            2/10
            "
"CinemaClown","28 November 2014","Absolutely remorseless, purely unadulterated & downright violent from start to finish, John Wick is possibly the most stylishly crafted, feverishly paced, seamlessly executed, intensely entertaining & immensely satisfying action flick to come out from Hollywood after a very long time which, apart from marking a welcome return to action for Keanu Reeves, also triumphs as one of the biggest cinematic surprises of the year, not to mention the coolest by far.Very refined in its visual presentation, taking a no-holds-barred approach with its content & providing heavy doses of pulse-pounding entertainment that many viewers will want to revisit again n again, John Wick is amongst the most impressive looking motion pictures of the year that takes its simple premise to an unexpected high, thanks to its kinetic direction, breathtaking action, neat cinematography, slick editing & a magnificent lead performance from Keanu Reeves.The film tells the story of its titular character who used to be an ultimate assassin but retired to take care of his dying wife. Losing her to cancer, he receives a posthumous gift from her in the form of a puppy, with whom he eventually connects. Things are set in motion when few Russian thugs invade his home to steal his car but also end up beating him & killing his dog. And so the ex-hit-man comes out of his retirement to unleash carnage on the gangsters who took everything away from him.Produced & directed by the first time filmmakers in Chad Stahelski & David Leitch, who until now had worked in the film industry as stunt coordinators, John Wick marks a stunning directional debut for both of them & is a spectacular start to their filmmaking careers. And Derek Kolstad's screenplay doesn't waste much time in setting up its premise or introducing its characters & gets right down on business from the start by telling just enough about Wick to get the plot moving.Technically, there is a lot to admire about John Wick as the film exhibits an otherworldly setting for a revenge thriller that makes minimal use of elements not relevant to the plot. Camera-work makes its mark in the close-combat sequences for it provides a clear view of the carnage & isn't ruined by excessive editing or shaky cam. Editing paces the story with vicious velocity while its cool soundtrack further enhances the experience by remaining in tone with the film's events.Coming to the performances, the film features a capable cast in Keanu Reeves, Willem Dafoe, Michael Nyqvist, Alfie Allen, Ian McShane, John Leguizamo & others, amongst which both Reeves & Dafoe end up impressing the most. With a character that's tailor-made for his talent & combined with his magnetic screen presence, Reeves delivers a swashbuckling performance & easily steals the show. Dafoe follows him close & despite his short role, manages to leave his mark.Yet the best thing about John Wick remains its action sequences that are stupendously carried out. With its debutant directors already well-versed in the field of action choreography & stunt work, the two manage to add new freshness to the combat sequences by nicely blending its gunplay with grounded martial arts to single-handedly elevate John Wick into the league of cinema's finest action entertainers to come out in recent years.On an overall scale, John Wick is a smart, sophisticated & incredibly well-polished cinema that nicely balances its high-octane action & finely enacted drama to succeed as a potent, kinetic & relentless entertainer. Helmed by two new directors who understand what great action is about, boasting a script that knows where to draw the line & spearheaded by Keanu Reeves' badass performance, John Wick is an instant classic that comes as a must for every action film fanatic out there.Welcome back, Mr. Reeves! Welcome back!","
            1/10
            "
"gladysmutie","21 January 2021","I love Keanu Reeves but this is not it. First and foremost, why not hire real Russians as actors? The movie has no depth literally. I watched it hoping for an arch. I just wasted 100+ minutes watching the main actor shoot people. You can watch it on mute and not miss a thing. I do not understand the high rating . I am utterly disappointed.","
            8/10
            "
"davidgee","18 April 2015","The theft of his car and the killing of his dog provide the motivation for an orgy of shootings and beatings. There's even a fight scene with a hit-woman, so that misogynists can get their jollies. Keanu Reeves obviously has bills - or alimony - to pay, which could explain his appearance in this schlock. Did Jason Statham and Nicholas Cage turn it down? Willem Dafoe, presumably also in need of a boost to his pension, has an inexplicable supporting role, and Ian McShane makes an appearance so brief it can't have paid much more than Extra work.The film is shot with pace and style, but the mayhem is endless, pointless, mindless. I normally avoid movies as bad as this; I should have avoided JOHN WICK.","
            9/10
            "
"blufrog49","24 October 2014","What is the point of this film? This is probably the most violent movie I have ever seen. Although other movies show more blood and gore, this is pretty much non-stop, with no real story. I wasn't surprised to read it is a video game because that's all it seems to be--shoot, shoot, shoot, with some punches and an occasional knife.Despite all the action/violence, I nearly fell asleep. I only stuck it out because I was hoping there would be a point to it. There wasn't.The site says I need to say more in order to have this review printed--seems silly, but OK--I DID NOT LIKE THIS MOVIE. IT IS POINTLESS. IT IS VIOLENT. IT IS COMPLETELY UNBELIEVABLE.My advice--if you are a kid who plays video games, you might like this movie.","
            6/10
            "
"billygoat1071","30 October 2014","If Death Wish is a revenge for a murdered wife or Taken a revenge for a kidnapped daughter, then John Wick takes vengeance over a death of a dog and a stolen car. At glance, people might find it quite silly, but the movie touches no irony within that plight, it simply just pictures a desperate man with nothing left to lose. However, it still displays a strange mix of tones: it introduces the story as some sort of a serious tragedy, and then we discover that this world turns out to be surrounded with a punchline of him having a normal reputation of killing people. The combination of gritty revenge thriller and tongue-in-cheek world of assassins is fine, but how the film connects them can be a little uneven, but once the guns appear, the fun is presented perfectly. It just lives up to what it is meant to be. There isn't anything big, neither mind blowing. John Wick is as straightforward as any fine revenge movie must be, plus an odd brightening flavor.Despite of setting up with a bleaker drama, John Wick actually builds a cooler mythology of its own. Sure, Wick basically has a legend of being the most lethal hit-man his enemies will ever face, that also defines to the characters who personally know him. Example is a cop who just found him wacked a few bad guys and still lets him go, because he is ""John Wick!"" It's his thing! Everyone else in this world also has their own backstories, there must be some richer stories behind them, but in the end, that's just the movie giving this typical revenge flick some personality, and it indeed helps, keeping the experience from being stale.The plot never compromises with any twists, it just slow burns to the point until the anti-hero finds his target. This slow burn can be a little dragging, it introduces too much exposition that most of it turn out not going to matter in the end, they are probably designed to build more tension. The movie is better when it's finally on the action. The film biggest credit here is the camera work. There is not a shot that misses some sort of violence. Every gunshot and fist has to present the consequence on screen which manifests his boiling anger. And even without the fights, there are still some slick, stunning sights to see around. Predictably, Keanu Reeves must be the only one who is taking this silliness seriously, which makes sense since his character is the only one who is in real pain in this fancy mission. That vast seriousness just perfectly suits at depicting Wick's desperation and madness, also his fighting hits even harder compared to those days in The Matrix. But the show stealer here is Michael Nyqvist who brings the joy in his nutty yet menacing performance as the villain.John Wick sometimes feels like there is a larger world meant to be explored or a deeper theme to be considered, but the film has priorities of following the classic roots of the revenge genre. It's not so bad since it makes for an easy viewing through its fine looking action scenes, but it also leaves a lot of potential hanging. But if you are only here for Keanu Reeves back in action, then this movie totally sells, in fact that is what we are all here for anyway. Still, we might have thought of some possibilities if the movie was more ambitious, but then most of us won't think it matters. It's already stunningly crafted, if not original or special. Just sit right in for a straightforward show of violent gunfights.","
            2/10
            "
"rocknrelics","17 February 2019","I couldn't get past that, it just made me hate the films makers. Also, if America has let Russian thugs such as these into the country, something needs to change.","
            2/10
            "
"aditot","28 September 2020","As one of my fellow reviewers recommended in one of the earlier comments, I saw the movie and now I am doing my duty to society, getting this abomination closer to the rating it should have. This is the cinema version of another abomination which is poisoning our children's brains these days, Fortnite. Nothing but mindless, senseless killing. I am sorry for Keanu Reeves for having his name forever linked to this pile of garbage.","
            1/10
            "
"zardoz-13","4 November 2014","Never kill an action hero's dog! All hell breaks loose in the sadomasochistic, R-rated, revenge-thriller ""John Wick"" because the malevolent villains not only steal our hero's 'to die for' vintage 1969 Mustang, but they also murder his dog. Had these unsavory felons had contented themselves with the Mustang, they might have survived the ordeal. Watching the ferociously violent ""John Wick"" rekindled memories of director Antoine Fuqua's conspiracy theory thriller ""Shooter"" (2007) where the villains made the fatal mistake of killing Mark Wahlberg's dog. Bob Lee Swagger, the Wahlberg hero in ""Shooter,"" cleaned everybody's clock after he buried his dog. Basically, Keanu Reeves does the same thing to the heartless hooligans who slew his adorable puppy. ""John Wick"" pits our resilient hero against the malignant Russian mafia infesting New York City like a cancer; much like Denzel Washington did in ""The Equalizer."" Most of the ruffians who died in ""The Equalizer"" perished off-screen, and we were shown their twisted bodies sprawled like blood-stained laundry after the fact. Unlike Denzel's sympathetic, good-guy vigilante, Keanu Reeves is cast as a retired Russian hit-man who exterminates everybody in sight without a qualm. Along the way, our hero has his nose bloodied, his ribs kicked in, and stitches sewn up in his stomach. ""Matrix"" stuntman turned film director Chad Stahelski has taken scenarist Derek Kolstad's formulaic, B-movie screenplay and fashioned it into a cynical, rapid-fire, actioneer with the double-digit body count of Asian director John Woo's classic ""Hard Boiled."" If you haven't heard of John Woo, then ""John Wick"" is comparable to the two Gareth Evans' hard-knuckled, non-stop thrillers ""The Raid"" (2012) and ""The Raid 2"" (2014). Kolstad's larger-than-life script recalls venerable genre classics like the Lee Marvin shoot'em up ""Point Blank"" (1967) and the hard-as-nails Mel Gibson movie ""Payback"" (1999). A lone gunman in both ""Point Blank"" and ""Payback"" wipes out the mob in a metropolitan city. If you cannot tolerate seeing dozens of gunmen getting riddled with bullets, you should skip ""John Wick."" After a string of forgettable, half-baked thrillers and fantasies, including ""The Day The Earth Stood Still,"" ""The Private Lives of Pippa Lee,"" ""Man of Tai Chi,"" and ""47 Ronin,"" Reeves appears to have recovered his poise with this high body count, pistol opera.The hard-bitten Keanu Reeves title character hung up his hardware after he fell in love with Helen (Bridget Moynahan of ""Battle Los Angeles""), an angel in disguise who saved him from a life of crime. Unfortunately, she succumbed to a fatal illness and died at the hospital with John at her bedside. Before she passed away, Helen has the presence of mind to write a farewell card to her husband and attach it to a pet taxi containing a cute, floppy-eared puppy. Our dry-eyed hero weeps at the memory of his long, lost wife and prepares a place at the foot of his bed for Daisy. One day while Wick is fueling up his Mustang with gasoline, a carload of rude Russians cruise in to the convenience store. One of the Russians, Iosef Tarasov (Alfie Allen of ""Atonement""), admires Wick's ride and asks him how much he would sell it for. ""It's not for sale,"" Wick replies without a second thought. When Iosef mutters in Russian that everything has a price, Wick rebuts him in Russian that his Mustang is not for sale. Later that evening, after he has gone to bed alone, Wick awakes as Daisy starts barking and scampers off the bed and downstairs. No sooner has Wick followed Daisy to investigate the disturbance in his sleek, ultra-modern house than he is knocked down and violently beaten up. The three thieves confiscate his car keys, and Iosef kills poor Daisy. Later, Iosef and his accomplices careen into an automobile chop shop run by Aureilo (John Leguizamo of ""Carlito's Way"") for new papers and a VIN number. Areola refuses to accommodate them. He goes so far as to punch Iosef in the face. Iosef's father Viggo Tarasov (Michael Nyqvist of ""London Voodoo"") offers his son a drink and then slams his fist into Iosef's stomach so his son vomits on the floor. Viggo tells Isoef that Isoef has made a fatal mistake. Viggo explains that John Wick consolidated Viggo's empire before Wick retired. Viggo witnessed Wick kill three ruffians in a bar with nothing but a pencil. Unfortunately, we don't see Wick repeat this rather astonishing act. Nevertheless, Wick is a crack shot with any kind of gun and drives a car like a racer. Immediately, Viggo hires the next best hit-man alive, Marcus (William Dafoe of ""The Boondock Saints""), but sets up the contract on a first-come/first-sell basis for anybody. Like I said earlier, all Hell breaks loose, and everybody relies on the same clean-up crew to mop up the blood, bodies, and broken glass.Naturally, ""John Wick"" is barely believable. This is a slam-bang, shoot'em up done with a straight face and a cast of familiar faces dodging bullets in New York City. Everybody wears body armor and packs extra pistols. When John Wick shoots an adversary, he puts at least three slugs in each adversary with a coup de grace to the head. Sure, blood splashes from these wounds, but it isn't gratuitous like ""Saving Private Ryan."" Stahelski stages everything as if he were directing a Spaghetti western. Bodies spin, topple, and stagger. Here and there, Stahelski slips in a surprise or two because John Wick may be indestructible, but the Russian mobsters aren't totally asinine. ""John Wick"" isn't strictly about guys with guns. Actress Adrianne Palicki shows that gals can be just as lethal with firearms, too. British tough guy Ian McShane of ""Deadwood"" fame makes a memorable appearance as the owner of an off-limits nightclub motel who doesn't cater to killers killing killers on his premises. Although it isn't wholly original and is often predictable, ""John Wick"" qualifies as a sizzling saga with slimy villains and lots of kinetic, bullet-piercing action.","
            6/10
            "
"namashi_1","26 January 2015","'John Wick' is pure fun. A mind-blowing action flick, that's high on energy & extremely high on vengeance. The fast-pace along-with astounding action-sequences, make this 2014 box-office hit, a certified winner!'John Wick' Synopsis: An ex-hit-man comes out of retirement to track down the gangsters that took everything from him.'John Wick' is a complete action entertainer. Its very well paced & competently executed. Derek Kolstad's Screenplay focuses of pure brutal action & is superbly gripping. Chad Stahelski's Direction is more than satisfactory. Cinematography is skilled. Editing is sharp. Action-Sequences are just amazing. Each & Every Stunt has been choreographed magnificently. Performance-Wise: Keanu Reeves is at his very best! As John Wick, the revenge-driven protagonist, Reeves hits the right target & reaffirms his status as an action star. Willem Dafoe is in terrific form, yet again. Ian McShane has a brief role, but leaves a solid mark. John Leguizamo shines. Michael Nyqvist as the antagonist, is fabulously evil.On the whole, Love Action Films? Watch 'John Wick'. It can't get better than this!","
            2/10
            "
"wmd-77361","18 July 2022","If you want to watch a movie with no plot, no character development, and nothing interesting, this is for you. Absolutely nothing of interest here. Just lots o& people shooting each other. Just really stupid.","
            1/10
            "
"nzpedals","19 October 2016","Does this really reflect US? Maybe that explains the tragically high gun crime/tragedy of the whole nation. The people who say its ""Action"" are in a different world?Thousands of bullets, scores of dead baddies. Why bother? And the DVD extras don't help, except to show the preparation for the ""fight"" sequences. (who-cares?)Wick (Reeves) is coping with the death of his wife (unexplained?) and then receives a delivery of a puppy, apparently from the wife?. Then, another tragedy, he gets tangled up with a Mafia-type crowd from Russia. One of them steals his 69-Mustang AND kills the puppy.Clearly revenge is coming. For 90 minutes. Oh dear.","
            4/10
            "
"lewilewis1997","14 January 2015","THIS FILM BOMBED SO BAD THEY'VE RE-RELEASED IT IN UK CINEMAS - DON'T GO!!!I went to the flicks to see this based on several reviews, mostly from IMDb. I love a good action thriller, the Bourne franchise blew me away and set the action thriller bar far higher as a result of its originality and success. HOWEVER...............Mr.Reeves was his usual unemotional, wooden, B-Lister self; the plot line was the basic 'revenge' story used a thousand times before without one jot of its own originality. I figure the producers want the (obviously planned for) sequel to better 'part 1', it won't be hard to do.Thick gangster, even stupider gangster, muscle gangster, gangster gangster and top gangster's psycho son make an appearance - just to keep the clichés coming. Many, many guns, many, many choreographed 'fight' scenes, but not much else.The lavish budget looked to have been plowed into amazing sets, rare muscle cars and designer wear for a myriad of extras (and probably some freebies for most of the critics, or how else did it get 'good' reviews?!). I stayed as long as i could hoping things would improve, they didn't; so 1 hour 10 minutes in I had to admit it was totally pants and left the cinema feeling ripped off and cursing every teen reviewer on here. I still don't know how it ended, and I don't care. But let me guess........ Against all adversity and many lethal obstacles John Wick finally gets his revenge at great personal cost, many bloody injuries and sacrifice, but at least he avenges his dog, probably with an almost funny one liner as the cherry on top. Am I right? Go and watch anything but this, even a mindless frat movie would be more intelligent and entertaining.TO THE MANY 'POSITIVE' REVIEWS ON HERE - WHEN YOU GROW UP MAYBE YOU WILL LEARN WHAT A GOOD FILM LOOKS LIKE?","
            4/10
            "
"gokselll","22 June 2019","After years, I watched the movie as the result of my friends' insistance on the claim that it is a unique film and different from all the other works in the genre.
Unfortunately, this is one of the worst action movie among the ones I've seen!
Ordinary, full of cliche, lack of aesthetic and far from a solid story.
Do we have to suppose that being heartbroken and agonised (film tells sources of these emotional accumulation in 2-3 minutes) is an enough motivation to kill numbers of men? Does this motivation provide any profoundness to the movie? Is the director aware of the wizards like Tarantino, Besson, Scott etc?","
            4/10
            "
"ACollegeStudent","27 March 2023","Rating: 6.9Honestly, mediocre the action scenes were mostly good as they didn't have many cuts making them hard to follow, but the plot was predictable, the dialogue was generic action-flick dialogue, the music was brazen and cheesy in places, and the side characters weren't interesting Viggo the generic mobster who somehow didn't educate his son of the most dangerous man on the planet, Iosef a one-dimensional idiot needed as the catalyst for the conflict, Perkins also an idiot who walked right into her death at the continental knowing the consequences for breaking their rules etc.. Everyone else is either no-name goons or acquaintances of wick whom them being acquaintances of Wick is their only defining character trait. The story isn't about them but when you have an MC as dry and brooding as John you need someone to add some engagement value when John isn't fighting. The ending was nicely symbolic as john adopted a black guard dog showing he's moving forward from his wife's death but not attempting to bury his assassin's past but overall nothing in here warrants a sequel.","
            1/10
            "
