"jprUsernames","jprReviewer_Date","jprReviewer_Content","jprRating"
"ccthemovieman-1","18 March 2006","Well, I have to hand it to Steven Spielberg, even though he often annoys me. He made us pay attention to archeology and the Ark Of The Covenant; he educated us on Great White Sharks;, a made us love an ugly little space alien and he even made Whoopi Goldberg look good. Wow, say what you will, the man has done some amazing things in the world of film. Here, he brings dinosaurs back to life and gives us another classic adventure story, unlike anything seen up to this time. I rank this one right up with the best of all-time among great adventure stories. Few people can forget how stunned they were when they viewed these life-like dinosaurs for the first time on screen. And who can forget the T-Rex in the first frightening scene and the Raptors in the last intense scene? This is truly memorable stuff. To this day, those scenes can still get your attention.The movie has always been fun to watch, and not just because of the thrills or special effects, of which there are too many to recite here. There is humor in here and characters are interesting, led by Richard Attenborough as the scientist who creates Jurassic Park. The kids in here - Joseph Mazello and Ariana Richards - do a fine job of acting, as good as the adults.This isn't perfect by any means. There are some negatives such as the usual Spielberg plugs for liberal/secular causes, but I'd rather keep this review on the positive side, since it was so entertaining and ground-breaking, in a way, with the special effects, plus anyone who is slightest bit interested has already seen this movie at least once and probably more.","
            10/10
            "
"miguelneto-74936","13 May 2016","More classic 90s , Jurassic Park is far superior to Jurassic World, Spielberg direction is great, the cast is very good and the special effects are sensational for the time, the film is a great adventure , full of great moments such as example the T -Rex chasing the car , the acting is good , and the film is full of insufferable characters , the soundtrack is excellent, John Williams is most excellent work, the picture is good , the script has some problems , and the pace is medium , the film improves only there after an hour of film, unfortunately the proceedings of Jurassic Park were weak , taking Jurassic World which is an average movie , I recommend this classic for those who never attended. Note 8,5","
            10/10
            "
"Leporinum","18 June 2015","This movie was released during my childhood while I was already a dinosaur enthusiast. I saw it 2 times at the cinema and as far as I can remember these were the only 2 times I ever saw an audience applaud at the end. It made an big impression. Computer generated images were new at that time and we didn't know what to expect. But I think I can speak for everyone if I say we were blown away. The dinosaurs looked so real. And even in the years after that computer generated images in other movies were just not as good and realistic as in Jurassic Park.Another thing that made this movie is the soundtrack. John Williams (the composer) absolutely nailed it! The music at the arrival to the island combined with the the adventure ahead was just breathtaking.So you have a good story, good actors (I loved Jeff Goldblum for his humor), state of the art special effects and an thrilling adventure. This makes it still my number one of all time and I don't expect that to change anytime soon (or ever).","
            10/10
            "
"vishaal811","23 July 2015","Jurassic Park is an adaptation of the novel of the same name written by Michael Crichton. Even though the movie cuts various parts of the novel, it manages to capture the essence upon which the story is built.This movie combines elements of science fiction, horror, and suspense which makes this film a singular achievement in the realm of cinema. Despite the ubiquity of CGI in today's big budget blockbusters, no other movie has utilized visual effects more effectively to tell a story than Jurassic Park. The casting is so good that there is no element that can be criticized. Both the child actors do a wonderful job as they have as much screen time as their vastly experienced compatriots. John Williams, Steven Spielberg's frequent collaborator, has once again given an iconic score that has one of the most memorable tunes ever written.There is hardly any aspect of Jurassic Park that I did not enjoy. In the beginning, there is a genuine sense of wonder at the unbelievable feat of recreating dinosaurs. At the end, we dread the sight of these creatures due to several horrific incidents during the course of this movie. It combines all these elements due to which it can be enjoyed by children and adults as well. It is a memorable movie and I cannot give you any more reasons to go out there and watch it right now.","
            10/10
            "
"alindsayal","12 December 2021","With Jurassic World Fallen Kingdom coming to Netflix on Friday I have decided to go back and rewatch the other films in the franchise starting with the legendary Jurassic Park and here is my review. The premise of the film sees a group of experts sent to an island where an excentric Billionaire has cloned Dinosaurs for an amusement park, but the obvious happens leading to the beasts escaping and causing chaos.Main Character
Sam Neil plays Dr Alan Grant and he is great in the film. He is basically the audience as he is mesmerised by the dinosaurs and as an expert in the field he gives us the lowdown on the different dinosaurs. He has a great mix of gruff and charm which makes him an interesting character, he also has an arc which fleshes his character out even more changing him up from where he starts the film.Supporting Characters
We have one of the greatest supporting characters in any movie here, with Jeff Goldblum playing Dr Ian Malcolm. He is so charismatic and cool, he has one liners coming out of everywhere and it makes him the guy that you are drawn to when he is on screen even with huge dinosaurs here. Laura Dern plays Ellie and does a really good job, she is a strong female character and one you can root for really easily. One thing I noticed here more then before is just how good the late Richard Attenborough is as Hammond, he is such an interesting character who goes through a phylosophical journey through the film and sees his character have a fascinating arc. Samuel L Jackson, the kids and all the other smaller roles are good and help boost the film even more.Story
The story here is brilliant, for the first half of the plot you are wowed by the dinosaurs and the park itself. Also the characters are all really interesting and the debates they have about science and morales is really interesting and full of depth. Then the 2nd half of the film is where everything goes wrong and the film becomes a brilliant thriller, you care about the characters and the film builds the tension really well. Seeing the different dinoasurs and how they react to the people is great to see and it does a great job in it's ending not sequel baiting, even though we would get sequels.Script
The script is great, as I have mentioned there are some really interesting debates about whether the idea of cloning Dinosaurs is right or wrong and the characters make it interesting. The humour is here, Goldblum brings so many laughs here and the drama is well handled too.Style
This is where the film is at it's best, this film's style changed cinema in my opinion. Along with Terminator 2 this film is heavily credited with progressing CGI and animatronics, the dinoasurs look incredible, better then some things that come out now and this film came out in 1993 it is just incredible. Watch this film for the amazing effects alone and get a film that hits every level with it. Plus this film has one of the best scores ever by the legendary John Williams,Overall
Overall, this is one of those epic and special films that have been made. The awe and wonder of the film is a real highlight and this is a must watch for people that haven't seen it.Rating - 10/10.","
            10/10
            "
"BobbySixkillerHammond","29 October 2014","This movie is simply a legend. A date in history of cinema.With Terminator 2, Jurassic Park is one of the first movie that shows wonderful CGI. And now, it is forever one of the best, until his 21 years. Everything is just awesome. Spielberg at the summum of his art, John Williams create another time a legendary ost, and all the actors are just more than best, and especially two of the them. Richard Attenborough(RIP) play John Hammond, owner of Ingen and creator of Jurassic park. He is a very great actor (and director). He don't play John Hammond, for everybody who love cinema, he is John Hammond. And Sam Neil, what can i say about him ? Simply he is one genius. He is at the best with playing Alan Grant. For some people, he became just one role. Watching him in another program, i am sur that somebody would automatically said : it's the guy from Jurassic Park, Doctor Grant ! And that is the best for an actor, he leave his mark in the collective inconscious. Sam Neil is more an actor, he is a great man.","
            7/10
            "
"blackwidowis7cool","23 July 2019","John Hammond (Richard Attenborough) creates this park called ""Jurassic Park"" where he recreates the dinosaurs using DNA found in fossils (but also having to use frog DNA to complete it - don't ask me why, I don't quite remember all the technical stuff).
But before Hammond can open it to the public, he has to get it approved. So, he hires some fossil finders (played by Sam Neill and Laura Dern) to go to the park and look through it without telling them what occupies the park. Anyway, they go there and Hammond gets them to take his grandchildren along after the fossil finders express concern about the park's safety with the dinosaurs. A hippie scientist-type guy Dr. Ian Malcolm (played by the great Jeff Goldblum) also accompanies them as well as a lawyer.
That's where things start to go wrong. The dinosaurs escape. I won't say anymore, though.
I loved it! I think it is one of the greatest films of all time and is certainly a classic. I don't understand why everyone thinks this film is scary. It's not - apart from a couple scenes like the start and something later on. A lot of film writers should watch this and take notes on how to do tension as this film has brilliant tension.
It has quite a good sense of humour, and ""Jurassic Park"" is generally suitable for children, though you might want to fast forward the very start and maybe one or two other scenes, but generally, I think that children can watch it, though it depends on the individual child and what they can or can't handle.
Another brilliant subplot in the film is with Dr. Alan Grant (Sam Neill) and his dislike for children. During most of the danger, he is stuck with Hammond's grandchildren. There is great chemistry between him and the children.
Jurassic Park is a brilliant movie.
Hats off to you, Mr Spielberg!","
            9/10
            "
"jonny_","9 June 2022","When anyone asks what my favourite movie of all time, Jurassic Park is almost always amongst my first thoughts and it has remained that way since 1993.Maybe a slightly controversial opinion, but this is my favourite Spielberg movie and considering his body of work it's possibly the highest praise I could bestow upon it.Everything about it is near perfect, the effects, the cast, the story, the direction, the dialogue, the pacing, the ending. Obviously after 30 years the early computer effects do show a little age, but honestly they still hold up compared to modern movies. I'd say that is largely down to having a fantastic director at the helm and the fact they combined them with practical puppets/models. The lighting and using early CGI sparingly hides any major aging. Whereas newer films might have better effects but use so much that they can feel false, almost closer to a video game and you can still tell when they're in use. But here we're still on location and with the T-Rex paddock scene or the Triceratops those are still genuine practical effects, there is more reality because of that effort.Other than that, this movie will remain timeless it is one of very few movies that just has that level of quality. It's cliche but Steven Spielberg really has that golden touch, just think of how easy it would be to take the concept of a dinosaur island and make it too silly or a forgettable gore/horror movie. To make it into an all time classic is just true testament to the man.","
            8/10
            "
"UniqueParticle","16 August 2021","One of the most groundbreaking films of its time! So heartwarming to me the impact the film had made that more pathologists studied dinosaurs more because of it. The terror alone is masterfully done by masterful director Steven Spielberg original Jurassic Park couldn't really have been done by anyone else's vision probably wouldn't be such a hit. The cast, direction, and tone is crystal smooth I love it all!","
            8/10
            "
"EthanBJones_03","25 October 2016","Overall: If you haven't seen this movie you must. Truly amazing and one of Spielberg's best movies.Good: The concept is awesome, the effects would be groundbreaking at the time and still look pretty good though can be seen as a tad dated. The acting is great all around bar one exception. The music is phenomenal as is the cinematography. John Hammon's character just emits a level of charisma which is hard to ignore and makes you like him. Ian's sarcastic attitude make for some interesting dialogue and some interesting scenes. The two child actors do a great job even if there characters need some work. Great moral of ""Even if we can, should we?"".Bad: The female scientist's acting didn't suffice and her character was just not that interesting either. The children's characters weren't interesting or anything special that you want to root for them. The effects could be seen as a tad bit dated despite looking great. Some subplots are left hanging and there are some stupid plot holes that are just threw in there hoping we wouldn't notice. Best Part: When you first see the TREX MVP: Richard Attenborough as John Hammond10/10","
            9/10
            "
"Ggconte","10 June 2022","With the new Jurassic World movie coming out, I decided to go back and watch the entire franchise again. It's always interesting to see whether or not some of these older movies within the franchise hold up. I can say with absolute certainty that Jurassic Park holds up just as well today as it did in 1993.Directed by Steven Spielberg and co-written by the actual author of the original novel Michael Crichton and David Keopp, Jurassic Park actually has a very simple plot for such a big budget movie. It is about a group of people who are brought to a theme park that is still in development. The theme park is centered around dinosaurs. However, it's not just centered around the science or the old fossils, but they have managed to genetically engineer their own crop of living and breathing dinosaurs. The group consist of scientists and children to give their approval or disapproval of the park. Needless to say, things don't go quite as planned as those involved learn a very harsh lesson on whether or not dinosaurs and humans could coexist.While it is simple in it's plot, it wasn't so simple in its production. This movie elected to take a huge step, not only in digital effects but also in practical as well. The dinosaurs are re-created beautifully with both digital re-creation and animatronics. In fact, I would argue that the animatronic Tyrannosaurus rex is one of the best animatronics in film history. It is so real in its expressions and movements that it's absolutely terrifying. The digital work also matches up with the animatronic work as well, and is one of the most convincing movies when dealing with both of those elements.The films tone is also a great mix of drama, comedy and horror. Those are three very difficult tones to fuse together, and plenty of films have crumbled when trying. So my hats off to Spielberg on that because he manages to do it effortlessly.Spielberg also made a great decision in filming on location in Hawaii, because it gives the movie an unmatched beauty to its look. That is something that I feel has been lost in modern day movie making, because sometimes filming on location helps the audience feel like they are actually there.However, one element about the film that really helps bring that sense of realism to this outlandish story is the cast. This film is unbelievably well acted, and this is one of those projects where the cast can make or break the movie. I have seen plenty of films that have outlandish plot lines and the cast knows it, and that comes across in their performances. This is not one of those movies, because this cast really helps drive the plot, and makes you feel like this could actually happen.So overall, Jurassic Park is one of the very few movies that I have felt comfortable giving 10 stars. It is one of those movies that is perfect in all categories, and is a movie that should've been allowed to stand on its own.","
            10/10
            "
"nathanjamesemerson","24 September 2018","I will start off by saying the novel Jurassic Park by Michael Crichton is my favourite novel of all time. I first read it when I was 12, and about a year before the movie came out.Needless to say, I was pumped for the film. I loved dinosaurs since I was six years old and couldn't wait for the movie.Even at that age I was a movie buff and knew that movie adaptions of books are never 100% accurate. And Jurassic Park was no different.Obviously marketed towards young children, the movie toned down a lot of the violence which happened in the novel. Understandably. But the movie was still full of jump scares and still retained the adventurous side of the novel down to a T.Steven Spielberg always amazes and this film possessed the cutting edge of technology at the time. The CGI and practical effects were amazing. This is how a movie with CGI should look like today. Have real environments with CGI elements. Unlike most movies today where 99% of the screen is CGI.Steven takes us on an amazing adventure through Jurassic Park along with fine actors such as Sam Neil, Jeff Goldblum, Linda Dream and Sir Richard Attenborough. The science behind the movie made it seem like it could really bring dinosaurs to life.I always wondered what a dinosaur would look like. And Jurassic Park showed me. A beautifully shot film with an equally beautiful score by John Williams.Check out the novel if you haven't read it as well","
            10/10
            "
"krational66","14 May 2020","Extremely good stunts, and the imagination of the sea and the sky. Spielberg is indeed a very great director. Looking back last night, the dinosaurs made by those stunts are still very, very cute, and the image of free walking in the primitive forest living freely is popular. This led me to be more familiar and familiar with the animals 60 million years ago than many animals that still exist today. At the tension of the plot, the brutal shot also scared me to blindfold. There are few loopholes.
One of the most interesting discoveries is that in this film, due to the high development of technology and the extensive use of computer special effects, Spielberg has questioned modern science through the genetic engineering of dinosaurs: can science make humans think they are the world The master of can control nature and transcend nature? Of course, the answer given by the director is no. It can be seen that this reflects the modern West's understanding of the limitations of science after introspection of science since the 20th century. Science cannot be an excuse for human arrogance. However, this does not affect the greatness of science. After all, because of the development of science, Spielberg can create, we can see the image of a dinosaur living freely in nature 60 million years ago.","
            10/10
            "
"KineticSeoul","10 April 2013","I remember watching this movie when I was just a elementary school student and wasn't all that entertained with this movie. Except the dinosaur parts since it just didn't meet my prospect of things when it comes to a entertaining movie when I was a kid. But watching it now, I can really appreciate this movie and what it does. In fact it's one of the best dinosaur or some creatures that attack people type of movies I have ever seen. I recently saw this movie in theaters in 3D and it still meets even today's standards when it comes to great movies. Steven Spielberg is a visionary director and he really put everything he had into this movie. The CGI still holds up but what amazes me is how they used animatronic dinosaurs for the dinosaur scenes. This movie came out in 1993 and even the cinematography still hold up. The characters are well grafted into the story and stands out despite the two annoying kids. Even if it does have slightly cliché moments with one of the character predicting all the outcome but most of the people just won't listen to the guy scenarios. But then again this movie came out in 1993. The build up is just fantastic in this movie and although a bit far-fetched the way it's shown makes it believable, like everything in this movie is possible. The plot is about a rich old guy that decides use his money to clone dinosaurs and make a dino theme park but things just doesn't go according to plan. And it really does seem like a real theme park, mainly because of all the small details and effort that is put in the settings and backgrounds. Even the freaking theme song is so darn catchy and memorable. Go watch this movie in theaters now! It's what movie going experience is all about.9/10","
            8/10
            "
"paul_haakonsen","2 January 2023","Well, the 1993 adventure movie ""Jurassic Park"" definitely is a classic, and it was a movie that definitely set the benchmark for movies to come back in the day.I have seen director Steven Spielberg's 1993 movie ""Jurassic Park"" many times since it was originally released, and the movie continues to be every bit as entertaining as it was the first time seeing it. So writer David Koepp did a good job in bringing Michael Crichton's novel to the big screen.They had a great cast ensemble for the movie, with the likes of Sam Neill, Laura Dern and Jeff Goldblum in the leading roles. But also with the likes of Richard Attenborough, Martin Ferrero, BD Wong, Samuel L. Jackson and Wayne Knight on the cast list. So you are in quite capable hands as these performers bring the characters to life on the screen.Visually then ""Jurassic Park"" was spectacular when it was initially released back in 1993. Sure, the effects are starting to show fatigue and they are 30 years old already, but I will go as far as saying that the special effects and CGI in ""Jurassic Park"" still holds here in 2023, and actually is still better than a lot of more recently released movies. So that certainly counts for something of an achievement. And with ""Jurassic Park"" being a movie about dinosaur, then having realistic and believable creatures on the screen was a must, and they most certainly did have that.Not only is the visual great in ""Jurassic Park"", but the score as well. The music is very atmospheric and suitable for the movie. And that main theme definitely has a ring to it, doesn't it? Right up there alongside themes such as ""Star Wars"", ""Jaws"" and ""Indiana Jones""If you haven't already seen the 1993 movie ""Jurassic Park"", then it is well due time to do so, because this movie is entertaining, enjoyable and was a fantastic kick off for a great movie franchise.""Jurassic Park"" is a timeless classic, a movie that can be watched again and again, and that just makes it all the more enjoyable.My rating of ""Jurassic Park"" lands on an eight out of ten stars.","
            10/10
            "
"thesterlingweaver","20 December 2021","This movie did have a slow start and confusing ending, but It is great and I shouldn't even explain why, it's original, it's quotable, emotional, etc. The characters: funny and memorable. The score? OH MY GOD, THE SCORE, ITS SO BEAUTIFUL AND UNIQUE, I ALMOST CRIED BY HOW AMAZING THE THEME IS, THE TIMING OF IT IS SO PERFECT. I could go on more but I don't wanna break my fingers telling you things you already know.","
            10/10
            "
"bradykitchen-33648","12 June 2022","On a remote island a theme park has been built that features genetically engineered dinosaurs, but after a worker was killed by a velociraptor the owner of the park John Hammond, must make sure it is safe before opening to the public.I remember watching this movie as a kid but I do not remember most of it. So this is essentially my first time watching the film and my god is it good.The entire film is mesmerizing, as we learn more and more about the park and the wonderful creatures inside it. That is all of course because of the phenomenal direction by Steven Spielberg. His ability to create an amazingly immersive experience is astonishing and something everyone must see.The cast is across the board perfect with amazing performances from them all. There isn't really one standout character in this film all of them have a role to play and a character arc to go through. I will individually mention the performance from Joseph Mazzello and Ariana Richards as they both give great performances as kids which is not a common thing.This movie also has some great horror type elements to it, with some really well timed jump scares as well as a constant sense of tension throughout.My only gripe is there are a couple of unrealistic moments. Now I know it is a movie about genetically engineered dinosaurs but certain things happen that just don't make sense, but it's not a common occurrence.Overall Jurassic Park is a quality film with phenomenal direction, great storytelling, and an amazing cast.9.5/10
A+","
            10/10
            "
"aura772","30 October 2011","I am a 20-year old girl living in Romania, a country God completely forgot about. Growing up, I enjoyed adventure and fantasy movies or stories more than anything, they gave me a sense of hope, great comfort and made me wonder about the world.""Jurassic Park"" gave children of my age the biggest joy of our lives, years after the movie came out we would still be talking about dinosaurs! I remember a little girl who drew dinosaurs on the street, wishing they were real and she could see one. Her kind of hope still brings tears to my eyes.""Jurassic Park"" is more than just a movie, it's a magic adventure my generation will never forget. Thank you Steven Spielberg! When I grow up I want to be just like you!","
            10/10
            "
"view_and_review","28 August 2018","I saw Jurassic Park in the drive-in back in 1993.** For those of you not familiar with this nearly dead form of movie viewing, it is an outdoor theater where you watch the movie in your car. There are a few of these relics in existence but most are flea markets now.Jurassic Park, much like Star Wars and Terminator 2 before it, was groundbreaking stuff. We had never seen something like it before on screen. It ushered in the concept of DNA to a wide audience in the most effective and believable way... and then there were the dinosaurs. Oooooh weee how about them dinosaurs. I'd never seen something so real on screen. This movie made believers out of everybody. Little did I know then that this movie would be so revolutionary as to spawn a trilogy and another couple of movies in the same vein over 20 years later. Jurassic Park is iconic and forever etched in cinema history.","
            8/10
            "
"Wild-2","10 August 1998","I have seen this movie many times, and I still like watching it. The special effects are fantastic and the acting and characters are excellent as well. See It!","
            10/10
            "
"mcancea","9 August 2017","One. The gretest films ever made. It is to only good to be a movie. It start d the career of Sam Neil and he hates kids. He surprises them when the electricity is off spoiler you know I'm Sirius. Jeff goldblum is amazing in this film and he always talks to him self for some reason loll. He is great and started his career too. The scaler is what makes this film great. Forget the comedy in the film the score is also amazing. Act 1 is not slow one of the only gret movies that has no slow acts. Act 2 great Jackson kills it hold on to ur buts. great time Dodson is amazing in this film. Numan is the guy that dies he gets killed by the bird dinosaur. The kids are actually not annoying unlike Jurassic world or any other film. Act 3 great ending everybody lived NOT. Jackson dies. He kids help unlock the doors. The dinosaurs were cgied and movie that gave it a chance they were going to use stop motion but Spielberg saw it said there's ur future. Richard Attenboroughddied but he made the park and left. It's really the best dinosaur movie by far.","
            9/10
            "
"FeastMode","25 June 2019","Whenever I talk about how I dislike most older movies, I frequently hear the argument that you should judge them for their time. I disagree. If it doesn't hold up on rewatches, it's a bad movie in my eyes. Jurassic Park is the perfect example for my argument. It came out almost 30 years ago and I still love it today as much as I did when it was released.This is such an awesome movie. It has great directing with expertly crafted scenes that ooze tension. Tons of memorable and intense moments. Very suspenseful. Great characters. One of my favorite musical scores. It's impressive how realistic they made everything look with the severely limited technology of the times. And I adore the horror elements. (about 7 viewings, 5/26/2022)","
            8/10
            "
"microwave-26267","30 July 2019","One of the Best Movies ever made. One great scene after the next great scene. Masterpiece and the best Jurassic Park Movie, also today!","
            10/10
            "
"paulclaassen","1 July 2018","The impossible is made very believable through a clever script, convincing acting, superb directing and astonishingly good visual effects. It is funny and suspenseful, action-packed and exciting! 'Jurassic Park' is undoubtedly one of my all-time favorite action-adventure films of all time. The ground-breaking visual effects back in 1993 were more effective and superior even to the 2015's 'Jurassic World'.","
            10/10
            "
"splat-2","13 September 1998","Jurassic Park is a perfect movie, and perhaps the best film ever made.  Not only does it feature a gripping storyline, memoribile characters, and non -stop action, but it also featured the amazing special-effects which revolutionized special effects, specificially CGI effects, in future movies.Jurassic Park was not just a movie, it was an experience.","
            9/10
            "
"christophershobris","23 September 2015","What an impact this film has had and still has. Never before have we seen dinosaurs on the screen in this magnitude. Even today nothing and nobody has done to dinosaurs what this film has done a film that unlike Jaws were not necessarily terrified to go into the water or in this case a zoo. With this we feel awed like we are looking over the Grand Canyon when we first see Jurassic Park. When I go to watch I don't just watch it for the casual sake of doing so because when I watch this it is an unbelievable and exhilarating experience that can appeal to the likes of anybody with a pulse. Another stand out is John Williams outstanding score that will be listened to for years to come even after 20 years it still holds up and that is the magic of Steven Spielberg as only he can bring us such a one of a kind experience and a film that gives a reason why we love films in the first place. The only negative I would have to say is the performance by Ariana Richards as Lex and Bob Peck performance is a bit overdone. Other then that this is a near perfect film. Now to grade. Story: B Characters: B+ Acting: B- Visual Effects (for 1993): A Music: A+ Scenes: A Overall: A-","
            7/10
            "
"CinemaClown","8 September 2013","An undisputed masterpiece of imagination, creativity, suspense, science & cinematic magic and a breathtaking sci-fi adventure that remains in a league of its own, Jurassic Park is a landmark motion picture that, today, is widely regarded as one of the greatest achievements of its genre for it didn't just add a new chapter to the manual of filmmaking but also opened a whole new world of possibilities with its groundbreaking use of computer effects.","
            10/10
            "
"lisafordeay","5 July 2020","I haven't seen this film in years till now. Jurassic Park is a 1993 Sci Fi movie starring Sam Neill (Bicentennial Man),Laura Dern(Fios),and Jeff Goldblum(The Fly),and tells the story of a group of architects who find cloned dinosaurs at a theme park dedicated to them while they go rampage.The special effects are really good,story was easy enough to follow and the acting was good. The score is so memorable the minute you hear it you go oh that's the Jurassic Park theme by John Williams.Also stars Wayne Knight and a very young Samuel L Jackson along with B.D Wong","
            10/10
            "
"moviemattb","14 June 2015","""Jurassic Park"" has been around for twenty two years, and it has been one of those movies that has always been part of my childhood and it is definitely one of my all time favorite movies. This is the best of best, because none of the sequels lived up to the original. So the story is about an old man name John Hammond, who invites three doctors alongside with a lawyer to show them that dinosaurs are alive and real, and shows them how they were actually created after they were extinct sixty five million years ago (If anyone knows math on what I just typed). So he sets up a tour for them, but things go haywire as dinosaurs start to break loose when the power goes out during the storm, and it is a chance for our main characters to survive and to get off an island that is filled with dinosaurs. I did not see on the big screen back in 1993, but only saw it on home video. However, I was able to have the opportunity to see it on the big screen, but only this time in 3D as it came out back in 2013 for honoring the film's twentieth anniversary and I really had a blast to see it like I never had before. I love this movie, and it just never ages for me. To me, it feels timeless as if this movie was made today or any other time that was made. Of course, this movie was famous for its use of groundbreaking digital technology, and I know many filmmakers when nuts about this and it does upset many people that they choose to use CGI over practical effects. Although not many filmmakers overuse CGI as they decide to remain old school, but still use CGI if its done right. With that said, I thought it had a very good story from beginning to end as you first introduce the characters, then you show the island and how it went wrong, and you see how these characters are able to survive. The characters are very good, and likable at the same time. Sam Neill; Jeff Goldblum; Laura Dern and Richard Attenborough all gave out such terrific performances on their own; they may not be three dimensional, but there is still enough characterization in the movie and still to care about. The two child actors all did great too. The movie is filled with wonders, excitements and having some pretty good actions. Steven Spielberg has made such beautiful looking movie, and knows how to make a movie about how much we like about dinosaurs. John Williams' music is so darn memorable, and it is completely unforgettable. The special effects done by Stan Winston Studios and Industrial Light & Magic are top notch perfect for the use of practical and CGI effects. They continue to look impressive as I watch it, and it never feels dated for my own personal taste. If I had to pick what is my favorite dinosaur, I would say the T-Rex which it is obvious that everyone loves the T- Rex. I do love the scene where we first meet T-Rex as it has perfect build up that is perfectly suspense, and it is perfectly well edited together. Heck, the movie doesn't bored me and it was always keeps my interest. The ending that everyone remembers when the T- Rex saves Dr. Grant and the others by Raptors was awesome. I do love how the movie ends, where they finally go home in a helicopter and it gives you that good feeling as Williams' music plays along as the movie ends. I love ""Jurassic Park"" so much, and this classic twenty two year old movie is still awesome! I give it a perfect 10 out of 10.","
            8/10
            "
"lesleyharris30","2 December 2012","Jurassic Park is a brilliant movie with a great storyline,characters,cast,thrills and suspense.The film was directed by Steven Spielberg,I,like many movie buffs,am a huge fan of him.No movie this man has directed,wrote or produced has disappointed me (some exceptions but,whatever).This movie is brilliant and there where two other installments,The Lost World:Jurassic Park and Jurassic Park 3,they where nowhere as good as the original,but,Steven Spielberg is currently in talks for a fourth Jurassic Park,and it seems very likely that there will be one by 2014.I will definitely go see one,I don't wanna give my hopes up but I for some reason feel it will be better than the second and third,lets hope so.A man takes a preview of a new theme park with his family that he is positive to sponsor.The theme park involves real cloned dinosaurs,trapped in cages.But after a power breakdown,the dinosaurs escape,and no one is safe.","
            9/10
            "
"sol-","24 January 2016","It might sound like little more than 'Jaws' with dinosaurs as this Steven Spielberg thriller focuses on mayhem at an amusement park where dinosaurs have been brought back to life, but 'Jurassic Park' a unique and exciting thriller in its own right and one that stands up to multiple viewings. The dinosaurs are quite breathtaking CGI creations, and more than that, they are menacing at all the right times. The dinosaur attacks are very well done with Spielberg not relying on music (sort of the opposite of 'Jaws') and instead dead silence to render the attacks frightening. Spielberg throws a lot of neat directing tricks in the mix too, such as extreme close-ups on Samuel L. Jackson's technician and decent doses of humour, like an 'objects in mirror are closer than they appear' warning visible as a dinosaur roars into an automobile side mirror. Not so successful are the film's attempts to drill home messages such as the risks of tampering with nature, all spelled out through character dialogue. The way the child-hating Sam Neill eventually learns to bond with kids is also so forced and obvious from early on that it never really works despite a credible turn from Ariana Richards as a surrogate daughter of sorts. In fact, the film is very well acted overall, give or take Wayne Knight's inappropriately comical performance as the closest the film has a human antagonist. The strongest of the cast is Jeff Goldblum as a mathematician who finds himself often talking to himself, but Jackson, Neill and Richard Attenborough as the amusement park owner have their strong moments too.","
            8/10
            "
"leplatypus","19 May 2011","This is the great joke of Spielberg seeing the famous stick of Hammond and its mosquito trapped in the sap! Beyond the special effects, this movie remains for me a essential milestone: it speaks about the power of nature, the childish ingenuity of man, human relationships. I forget that it is also funny with the boy character and lines. John William's score is another masterpiece from him because it rejoices ancestral, primitive melody with powerful and peaceful theme.There are also a lot of remarkable ideas: dealing with dinosaurs today is fascinating but mixing them with the theme park and locating all this on a remote island is a great chain of genius. And the best thing is the parallelism between the technology resurrecting extinct animals and the same technology making extinct the traditional craft of special effects. In this field, there is a before and after JP and the first attack of the T-Rex will be on pantheon of filmmaking! However, the extras of the DVD offer a glimpse of puppets velociraptors (made by Tipett) and they are surprisingly cool as well.Having finishing reading the book, I can say that novel and movie are very close: it's like the same story told by two witnesses even if there are some changes. Having the author writing the script seems to be the golden rule of a decent adaptation. But you can understand also the strength of each medium: ""T-Rex roars and attacks the jeep"" is better seen than read. On the opposite, all the remarkable speeches of Malcom about chaos and science are better read than heard!","
            10/10
            "
"Mrman69420","4 January 2019","100% 💯
One of the best movies of all time.
The cast, acting, action and mostly visuals are spectacular!!! Most of the sequels are also amazing!!!","
            10/10
            "
